,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,-1.0,9138602.0,10665722.0,16542687.0,19674502.0,20801977.0,22461401.0,22943747.0,30860369.0,33235771.0,37777426.0,40585382.0,49147239.0,50302428.0,55837229.0,59587240.0,62010699.0,66680811.0,86976234.0,98730352.0,101824385.0,106942163.0,144444748.0,148061595.0,148708206.0,156647839.0,161980094.0,192477353.0,204672760.0,215728577.0,216004978.0,223251188.0,232823702.0,234986986.0,234987253.0,235002936.0,235023116.0,235027659.0,235031383.0,235035889.0,235038511.0,235061645.0,235066704.0,235133815.0,235144644.0,235202088.0,235239044.0,235244721.0,235252116.0,235327570.0,235327869.0,235356588.0,235361998.0,235371205.0,235378492.0,235381655.0,235390852.0,235396430.0,235412941.0,235426208.0,235431252.0,235573919.0,235579309.0,235581178.0,235582604.0,235585808.0,235589107.0,235590945.0,235600534.0,235617791.0,235621009.0,235621226.0,235623809.0,235627963.0,235628211.0,235628521.0,235632067.0,235633785.0,235635319.0,235635664.0,235636649.0,235636944.0,235637445.0,235642668.0,235644513.0,235649193.0,235653830.0,235654863.0,235656055.0,235658791.0,235659706.0,235659779.0,235661827.0,235663710.0,235667201.0,235671204.0,235674459.0,235675462.0,235676104.0,235677728.0,235677956.0,235682468.0,235682772.0,235683160.0,235684360.0,235685482.0,235689519.0,235691456.0,235693397.0,235693981.0,235699108.0,235700121.0,235701489.0,235703766.0,245428753.0,247182392.0,253484651.0,253917357.0,256444687.0,258416202.0,261873475.0,267777284.0,268225276.0,269680826.0,269927326.0,271490852.0,277248326.0,286791919.0,297298791.0,300056967.0,309601412.0,310092693.0,314048797.0,316449522.0,321431481.0,322881349.0,323991512.0,327257051.0,338676684.0,339537305.0,345875168.0,351444505.0,352755265.0,387368241.0,391712058.0,394285779.0,401651305.0,402892880.0,410993099.0,430530678.0
1,9138602.0,0.0,23.0,17.0,23.0,114.0,2.0,62.0,40.0,55.0,36.0,19.0,32.0,15.0,62.0,21.0,171.0,35.0,41.0,28.0,0.0,24.0,38.0,31.0,53.0,40.0,77.0,105.0,20.0,9.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,44.0,93.0,7.0,20.0,12.0,9.0,21.0,5.0,0.0,25.0,7.0,238.0,103.0,34.0,7.0,19.0,4.0,0.0,0.0,6.0,11.0,5.0,39.0,25.0,19.0,20.0,1.0,0.0,13.0,26.0,78.0,47.0,0.0,12.0,51.0
2,10665722.0,23.0,0.0,10.0,25.0,30.0,1.0,93.0,19.0,94.0,37.0,21.0,13.0,12.0,4.0,10.0,38.0,29.0,19.0,11.0,2.0,18.0,4.0,23.0,11.0,2.0,19.0,101.0,6.0,9.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,1.0,2.0,10.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,105.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,5.0,13.0,0.0,16.0,1.0,4.0,8.0,0.0,0.0,41.0,20.0,13.0,22.0,0.0,0.0,27.0
3,16542687.0,17.0,10.0,0.0,10.0,137.0,13.0,44.0,9.0,46.0,9.0,23.0,7.0,31.0,6.0,165.0,21.0,61.0,111.0,23.0,1.0,20.0,6.0,15.0,9.0,3.0,13.0,256.0,12.0,1.0,11.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,45.0,3.0,5.0,40.0,2.0,5.0,3.0,3.0,0.0,10.0,3.0,31.0,3.0,10.0,12.0,6.0,3.0,0.0,0.0,8.0,30.0,0.0,10.0,0.0,4.0,25.0,2.0,2.0,11.0,3.0,7.0,29.0,0.0,0.0,12.0
4,19674502.0,23.0,25.0,10.0,0.0,55.0,0.0,98.0,7.0,79.0,15.0,22.0,15.0,18.0,5.0,24.0,33.0,19.0,35.0,25.0,0.0,38.0,4.0,19.0,14.0,1.0,27.0,115.0,14.0,11.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,59.0,2.0,8.0,32.0,1.0,4.0,2.0,1.0,0.0,7.0,1.0,70.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,7.0,9.0,0.0,19.0,0.0,4.0,7.0,1.0,0.0,14.0,8.0,12.0,7.0,0.0,0.0,27.0
5,20801977.0,114.0,30.0,137.0,55.0,0.0,23.0,165.0,79.0,251.0,50.0,68.0,45.0,66.0,45.0,238.0,98.0,146.0,148.0,128.0,0.0,142.0,43.0,33.0,102.0,31.0,103.0,585.0,31.0,7.0,25.0,78.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20.0,349.0,30.0,15.0,72.0,11.0,13.0,5.0,22.0,0.0,46.0,5.0,256.0,12.0,23.0,18.0,15.0,5.0,0.0,0.0,13.0,27.0,0.0,54.0,2.0,14.0,80.0,9.0,4.0,52.0,49.0,130.0,140.0,0.0,2.0,30.0
6,22461401.0,2.0,1.0,13.0,0.0,23.0,0.0,11.0,2.0,4.0,0.0,8.0,1.0,7.0,0.0,38.0,3.0,22.0,8.0,2.0,0.0,2.0,0.0,6.0,2.0,0.0,2.0,74.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,33.0,0.0,0.0,0.0
7,22943747.0,62.0,93.0,44.0,98.0,165.0,11.0,0.0,28.0,247.0,48.0,79.0,29.0,111.0,14.0,174.0,76.0,71.0,82.0,26.0,0.0,91.0,10.0,42.0,26.0,5.0,50.0,499.0,23.0,17.0,6.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,99.0,3.0,13.0,82.0,2.0,5.0,2.0,4.0,0.0,8.0,1.0,245.0,6.0,10.0,13.0,3.0,0.0,0.0,0.0,14.0,28.0,0.0,38.0,0.0,5.0,19.0,1.0,0.0,71.0,28.0,23.0,62.0,0.0,0.0,39.0
8,30860369.0,40.0,19.0,9.0,7.0,79.0,2.0,28.0,0.0,50.0,33.0,13.0,12.0,13.0,6.0,22.0,32.0,27.0,22.0,16.0,1.0,36.0,11.0,9.0,22.0,12.0,27.0,77.0,18.0,3.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,59.0,6.0,9.0,34.0,4.0,4.0,2.0,2.0,0.0,5.0,2.0,66.0,1.0,10.0,6.0,5.0,1.0,0.0,0.0,3.0,5.0,0.0,24.0,3.0,3.0,19.0,0.0,0.0,12.0,16.0,28.0,34.0,0.0,1.0,14.0
9,33235771.0,55.0,94.0,46.0,79.0,251.0,4.0,247.0,50.0,0.0,48.0,68.0,37.0,51.0,18.0,77.0,80.0,78.0,62.0,34.0,4.0,115.0,10.0,36.0,35.0,6.0,64.0,593.0,26.0,16.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,163.0,5.0,15.0,75.0,3.0,6.0,2.0,6.0,0.0,12.0,3.0,246.0,2.0,18.0,10.0,5.0,1.0,0.0,0.0,15.0,19.0,0.0,49.0,1.0,7.0,33.0,2.0,1.0,146.0,33.0,40.0,59.0,0.0,0.0,32.0
