,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
0,-1.0,5858532.0,8182262.0,11449812.0,14048901.0,14645744.0,15441546.0,15797425.0,16520056.0,17037382.0,17550245.0,22540492.0,24436542.0,25286086.0,26140273.0,26903410.0,27187343.0,27799851.0,31922032.0,32623318.0,38700230.0,42171470.0,44070912.0,44859460.0,45275775.0,52696957.0,53507617.0,58711646.0,59289456.0,60585863.0,69772862.0,70405281.0,71294722.0,72761871.0,74462547.0,78099334.0,81257432.0,84600122.0,89140368.0,90462707.0,93637575.0,97983226.0,99731681.0,108978874.0,116496187.0,117482917.0,120489857.0,122801586.0,122928586.0,131306836.0,132158439.0,132203703.0,136217719.0,140740307.0,146987367.0,148078870.0,152245756.0,153564072.0,155832368.0,164043563.0,185762285.0,188737021.0,189836970.0,193275333.0,207026848.0,210824047.0,215739292.0,222433506.0,223251188.0,228027288.0,229499273.0,231223129.0,233176350.0,234925810.0,235372141.0,238751342.0,241314646.0,244023927.0,245027772.0,245756822.0,246081514.0,246435539.0,246875675.0,249913746.0,250334613.0,251795129.0,253615639.0,253970151.0,254271915.0,255630029.0,255643560.0,258019953.0,259105109.0,261905897.0,263273880.0,263563673.0,268870600.0,269680826.0,270622245.0,270762885.0,271787365.0,278440078.0,280908871.0,282259323.0,283535949.0,284143616.0,288006394.0,288148735.0,289508193.0,290600223.0,291524481.0,298070708.0,298110296.0,302144631.0,304547526.0,304860890.0,305549322.0,306296054.0,307251688.0,308630331.0,309319438.0,313615483.0,314048797.0,317262357.0,319085150.0,319225412.0,322281109.0,326334924.0,326336700.0,328918888.0,329317681.0,331438823.0,334472942.0,335226555.0,335837860.0,338067793.0,338124660.0,339034131.0,344018400.0,354708537.0,362118201.0,364571256.0,370501016.0,370892386.0,376095674.0,377011275.0,378550330.0,378632065.0,380975014.0,381768890.0,382031546.0,383455813.0,384008062.0,394559570.0,395445890.0,395911020.0,399488833.0,404747145.0,406404771.0,406992771.0,408636160.0,411999037.0,419400912.0,427111253.0,434096108.0,444162912.0,444329669.0,444814270.0,445933848.0
1,5858532.0,0.0,0.0,11.0,171.0,29.0,58.0,9.0,118.0,117.0,8.0,2.0,24.0,1.0,7.0,41.0,72.0,18.0,97.0,4.0,12.0,7.0,60.0,103.0,9.0,35.0,8.0,85.0,1.0,2.0,0.0,34.0,5.0,12.0,22.0,3.0,8.0,6.0,1.0,39.0,119.0,39.0,13.0,55.0,10.0,16.0,0.0,2.0,70.0,0.0,9.0,17.0,15.0,5.0,19.0,15.0,163.0,5.0,5.0,3.0,34.0,9.0,0.0,19.0,1.0,14.0,1.0,30.0,22.0,1.0,3.0,2.0,5.0,27.0,0.0,67.0,61.0,8.0,6.0,2.0,0.0,8.0,56.0,5.0,35.0,0.0,0.0,4.0,0.0,3.0,4.0,6.0,24.0,17.0,0.0,27.0,1.0,0.0,13.0,14.0,42.0,36.0,38.0,0.0,3.0,0.0,4.0,13.0,57.0,0.0,71.0,0.0,15.0,6.0,1.0,4.0,0.0,22.0,1.0,7.0,12.0,18.0,0.0,0.0,2.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,0.0,1.0,4.0,0.0,3.0,3.0,30.0,1.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,20.0,5.0,18.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2,8182262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11449812.0,11.0,0.0,0.0,13.0,9.0,17.0,4.0,18.0,32.0,6.0,2.0,17.0,1.0,1.0,9.0,47.0,6.0,21.0,12.0,5.0,0.0,2.0,13.0,3.0,11.0,8.0,16.0,3.0,0.0,0.0,5.0,2.0,5.0,16.0,3.0,3.0,6.0,1.0,7.0,13.0,4.0,10.0,8.0,2.0,10.0,3.0,1.0,27.0,1.0,2.0,2.0,9.0,2.0,0.0,15.0,27.0,3.0,1.0,1.0,11.0,12.0,0.0,1.0,1.0,2.0,0.0,12.0,9.0,7.0,0.0,1.0,2.0,50.0,0.0,10.0,18.0,5.0,3.0,3.0,1.0,1.0,5.0,0.0,7.0,15.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,4.0,0.0,7.0,0.0,0.0,4.0,3.0,11.0,12.0,2.0,0.0,2.0,0.0,2.0,2.0,7.0,1.0,18.0,0.0,2.0,1.0,0.0,2.0,0.0,6.0,2.0,6.0,4.0,3.0,0.0,1.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,1.0,3.0,3.0,1.0,4.0,1.0,11.0,2.0,1.0,4.0,4.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,9.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
4,14048901.0,171.0,0.0,13.0,0.0,46.0,163.0,46.0,109.0,361.0,3.0,3.0,49.0,0.0,4.0,78.0,229.0,82.0,216.0,6.0,70.0,4.0,47.0,157.0,7.0,37.0,26.0,139.0,4.0,0.0,2.0,37.0,1.0,8.0,86.0,2.0,7.0,9.0,0.0,58.0,91.0,22.0,11.0,55.0,3.0,37.0,1.0,0.0,121.0,0.0,11.0,10.0,22.0,0.0,26.0,11.0,216.0,13.0,4.0,0.0,74.0,38.0,1.0,33.0,0.0,4.0,0.0,44.0,85.0,0.0,0.0,1.0,10.0,46.0,0.0,90.0,71.0,5.0,12.0,3.0,0.0,2.0,32.0,3.0,40.0,0.0,0.0,7.0,0.0,4.0,3.0,1.0,11.0,10.0,0.0,32.0,0.0,0.0,8.0,5.0,70.0,56.0,15.0,0.0,4.0,0.0,1.0,4.0,25.0,4.0,120.0,0.0,10.0,4.0,1.0,2.0,0.0,19.0,0.0,8.0,8.0,8.0,0.0,0.0,1.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,36.0,5.0,0.0,0.0,38.0,0.0,2.0,2.0,0.0,34.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,44.0,6.0,57.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
5,14645744.0,29.0,0.0,9.0,46.0,0.0,35.0,5.0,89.0,41.0,12.0,5.0,40.0,0.0,5.0,82.0,64.0,22.0,155.0,14.0,20.0,13.0,5.0,75.0,7.0,31.0,3.0,64.0,7.0,0.0,1.0,16.0,4.0,3.0,19.0,2.0,9.0,4.0,0.0,38.0,107.0,70.0,11.0,68.0,20.0,13.0,9.0,1.0,132.0,0.0,7.0,8.0,30.0,3.0,4.0,27.0,93.0,14.0,15.0,6.0,35.0,19.0,0.0,47.0,1.0,8.0,0.0,24.0,12.0,12.0,1.0,7.0,2.0,14.0,0.0,39.0,64.0,14.0,5.0,8.0,1.0,5.0,28.0,1.0,14.0,0.0,1.0,1.0,0.0,0.0,4.0,21.0,12.0,12.0,0.0,114.0,0.0,0.0,52.0,26.0,36.0,36.0,25.0,0.0,33.0,0.0,16.0,7.0,14.0,8.0,213.0,0.0,17.0,1.0,6.0,23.0,0.0,49.0,7.0,15.0,84.0,55.0,0.0,1.0,5.0,1.0,23.0,0.0,0.0,0.0,0.0,1.0,19.0,16.0,6.0,2.0,3.0,8.0,2.0,2.0,2.0,18.0,1.0,1.0,4.0,10.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,18.0,19.0,29.0,2.0,26.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0
6,15441546.0,58.0,0.0,17.0,163.0,35.0,0.0,79.0,93.0,353.0,5.0,15.0,116.0,1.0,13.0,65.0,322.0,200.0,363.0,37.0,280.0,4.0,21.0,206.0,29.0,72.0,16.0,93.0,19.0,0.0,7.0,13.0,21.0,13.0,124.0,2.0,20.0,8.0,0.0,64.0,64.0,20.0,20.0,36.0,3.0,94.0,8.0,0.0,126.0,0.0,13.0,7.0,36.0,0.0,15.0,21.0,209.0,15.0,3.0,2.0,139.0,155.0,2.0,17.0,1.0,3.0,5.0,54.0,108.0,2.0,1.0,2.0,12.0,46.0,0.0,99.0,77.0,0.0,8.0,1.0,0.0,7.0,14.0,21.0,49.0,1.0,0.0,7.0,0.0,0.0,4.0,10.0,5.0,8.0,0.0,25.0,1.0,0.0,18.0,6.0,185.0,111.0,11.0,0.0,7.0,0.0,3.0,1.0,18.0,12.0,94.0,0.0,13.0,18.0,2.0,5.0,0.0,26.0,0.0,23.0,10.0,6.0,0.0,0.0,0.0,1.0,105.0,0.0,0.0,0.0,0.0,0.0,52.0,12.0,5.0,0.0,1.0,0.0,0.0,33.0,1.0,125.0,9.0,1.0,0.0,74.0,0.0,0.0,10.0,0.0,95.0,0.0,0.0,0.0,0.0,28.0,1.0,6.0,109.0,16.0,202.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
7,15797425.0,9.0,0.0,4.0,46.0,5.0,79.0,0.0,23.0,104.0,7.0,7.0,11.0,0.0,0.0,36.0,65.0,118.0,50.0,12.0,339.0,23.0,6.0,24.0,178.0,82.0,0.0,33.0,0.0,11.0,4.0,2.0,2.0,99.0,2.0,2.0,16.0,7.0,0.0,4.0,6.0,5.0,8.0,32.0,0.0,16.0,4.0,0.0,22.0,0.0,51.0,0.0,16.0,5.0,3.0,2.0,57.0,22.0,1.0,1.0,67.0,284.0,0.0,5.0,0.0,4.0,0.0,32.0,106.0,1.0,0.0,0.0,4.0,10.0,0.0,44.0,17.0,2.0,7.0,2.0,0.0,0.0,15.0,102.0,4.0,0.0,1.0,25.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,5.0,1.0,0.0,33.0,2.0,5.0,13.0,6.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,16.0,0.0,4.0,0.0,2.0,4.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,550.0,4.0,0.0,0.0,0.0,8.0,0.0,490.0,2.0,30.0,0.0,4.0,0.0,9.0,1.0,22.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,75.0,1.0,2.0,1.0,36.0,181.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
8,16520056.0,118.0,0.0,18.0,109.0,89.0,93.0,23.0,0.0,156.0,5.0,10.0,94.0,4.0,15.0,111.0,97.0,27.0,229.0,20.0,27.0,4.0,42.0,148.0,14.0,98.0,16.0,145.0,6.0,0.0,2.0,27.0,15.0,17.0,66.0,2.0,16.0,7.0,3.0,75.0,92.0,39.0,19.0,92.0,6.0,51.0,17.0,0.0,157.0,0.0,20.0,14.0,55.0,2.0,24.0,17.0,191.0,23.0,8.0,4.0,74.0,40.0,1.0,27.0,1.0,21.0,1.0,60.0,38.0,10.0,0.0,1.0,4.0,58.0,0.0,73.0,95.0,12.0,7.0,3.0,2.0,8.0,63.0,13.0,44.0,1.0,0.0,11.0,0.0,3.0,9.0,17.0,29.0,22.0,0.0,67.0,1.0,0.0,38.0,23.0,127.0,81.0,56.0,0.0,9.0,0.0,11.0,9.0,91.0,8.0,171.0,0.0,29.0,8.0,8.0,8.0,0.0,36.0,6.0,19.0,30.0,26.0,0.0,1.0,2.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,30.0,24.0,6.0,2.0,2.0,8.0,0.0,17.0,7.0,64.0,3.0,0.0,2.0,27.0,1.0,3.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,7.0,6.0,14.0,155.0,8.0,60.0,8.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0
9,17037382.0,117.0,0.0,32.0,361.0,41.0,353.0,104.0,156.0,0.0,9.0,14.0,132.0,1.0,17.0,125.0,464.0,198.0,389.0,33.0,158.0,6.0,76.0,277.0,28.0,136.0,43.0,264.0,18.0,1.0,4.0,19.0,8.0,22.0,150.0,4.0,27.0,19.0,2.0,69.0,44.0,35.0,36.0,119.0,5.0,100.0,18.0,0.0,200.0,0.0,26.0,5.0,71.0,0.0,31.0,28.0,453.0,26.0,10.0,3.0,114.0,163.0,0.0,25.0,0.0,12.0,4.0,74.0,113.0,8.0,1.0,1.0,22.0,103.0,0.0,129.0,98.0,6.0,31.0,8.0,0.0,9.0,51.0,14.0,53.0,3.0,0.0,13.0,0.0,1.0,7.0,13.0,14.0,16.0,0.0,26.0,1.0,0.0,29.0,19.0,214.0,111.0,34.0,0.0,6.0,0.0,1.0,4.0,58.0,6.0,204.0,0.0,22.0,7.0,9.0,5.0,1.0,27.0,3.0,17.0,5.0,6.0,0.0,1.0,2.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0,2.0,0.0,1.0,2.0,1.0,8.0,9.0,77.0,5.0,0.0,0.0,50.0,1.0,0.0,3.0,0.0,52.0,1.0,0.0,0.0,0.0,19.0,3.0,5.0,101.0,7.0,211.0,18.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0
