,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
0,-1.0,6332882.0,9138602.0,15138684.0,15179702.0,16067592.0,17230082.0,18484284.0,18594520.0,19712559.0,22299984.0,23792734.0,25927032.0,26048553.0,28565521.0,29750612.0,30211072.0,32358289.0,41560467.0,43688214.0,47247868.0,48495906.0,48959778.0,49817093.0,49928961.0,54675238.0,69048174.0,69772862.0,70468048.0,73052821.0,74481416.0,86828262.0,87250666.0,91747884.0,108021761.0,109982213.0,117482917.0,123610994.0,124203870.0,125797024.0,126410054.0,132001846.0,135643063.0,142770380.0,150881077.0,156277913.0,159644517.0,175109934.0,186485330.0,194594896.0,220119286.0,225185044.0,226590372.0,230637111.0,238169051.0,244042517.0,244152633.0,244529400.0,245027772.0,246312432.0,247251614.0,250334613.0,254766784.0,255343133.0,257747817.0,263022323.0,263515257.0,263607988.0,266620405.0,267190152.0,268529448.0,269680826.0,279039469.0,283022885.0,284342900.0,288599704.0,289975846.0,290039931.0,290748225.0,292999669.0,293461847.0,294280010.0,294523668.0,302114430.0,302144631.0,304677043.0,313799444.0,318368471.0,321612773.0,358127799.0,359509980.0,365900601.0,369028288.0,370501016.0,374225825.0,381696542.0,388082574.0,388466657.0,389823625.0,402037439.0,405174180.0,406558256.0,412575180.0,416174910.0,416701673.0,425840443.0,430123127.0,434626652.0,439616909.0
1,6332882.0,0.0,3.0,9.0,2.0,7.0,11.0,3.0,1.0,0.0,3.0,4.0,0.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,2.0,6.0,6.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,9.0,2.0,12.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,0.0,10.0,1.0,0.0,2.0,0.0,8.0,0.0,7.0,6.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,16.0,1.0,0.0,1.0,0.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,12.0,2.0,7.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,5.0,2.0,0.0
2,9138602.0,3.0,0.0,78.0,1.0,84.0,64.0,58.0,18.0,0.0,20.0,29.0,0.0,55.0,5.0,31.0,21.0,23.0,20.0,44.0,26.0,61.0,48.0,133.0,103.0,35.0,55.0,0.0,15.0,154.0,47.0,9.0,4.0,18.0,16.0,75.0,12.0,9.0,99.0,78.0,8.0,4.0,47.0,17.0,22.0,119.0,111.0,21.0,14.0,55.0,0.0,30.0,98.0,25.0,77.0,19.0,59.0,60.0,11.0,63.0,36.0,27.0,2.0,51.0,17.0,54.0,7.0,59.0,6.0,44.0,63.0,0.0,54.0,18.0,30.0,0.0,9.0,84.0,16.0,1.0,17.0,22.0,0.0,13.0,2.0,1.0,3.0,13.0,3.0,189.0,20.0,19.0,44.0,0.0,0.0,12.0,3.0,137.0,7.0,45.0,15.0,0.0,11.0,19.0,25.0,1.0,13.0,57.0,0.0
3,15138684.0,9.0,78.0,0.0,11.0,424.0,504.0,87.0,45.0,3.0,31.0,86.0,6.0,283.0,40.0,109.0,9.0,106.0,47.0,21.0,32.0,242.0,104.0,419.0,31.0,52.0,43.0,1.0,17.0,294.0,98.0,14.0,16.0,65.0,20.0,228.0,71.0,24.0,165.0,207.0,34.0,15.0,24.0,33.0,119.0,32.0,18.0,89.0,25.0,209.0,0.0,69.0,601.0,31.0,94.0,3.0,165.0,80.0,25.0,25.0,102.0,39.0,4.0,97.0,48.0,210.0,39.0,105.0,5.0,8.0,166.0,0.0,41.0,116.0,41.0,0.0,13.0,240.0,50.0,7.0,14.0,103.0,0.0,6.0,13.0,2.0,0.0,9.0,0.0,186.0,67.0,17.0,89.0,3.0,1.0,19.0,1.0,73.0,4.0,191.0,18.0,0.0,36.0,18.0,27.0,6.0,16.0,226.0,0.0
4,15179702.0,2.0,1.0,11.0,0.0,1.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,58.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,22.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,3.0,42.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,35.0,1.0,9.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0
5,16067592.0,7.0,84.0,424.0,1.0,0.0,643.0,76.0,49.0,7.0,32.0,84.0,4.0,289.0,33.0,111.0,19.0,128.0,37.0,32.0,49.0,392.0,124.0,499.0,41.0,67.0,41.0,13.0,19.0,326.0,112.0,22.0,25.0,67.0,16.0,294.0,120.0,17.0,222.0,221.0,16.0,20.0,24.0,43.0,148.0,53.0,18.0,146.0,12.0,190.0,0.0,48.0,264.0,28.0,171.0,4.0,184.0,118.0,27.0,38.0,70.0,71.0,8.0,134.0,35.0,258.0,40.0,141.0,10.0,18.0,202.0,0.0,76.0,122.0,57.0,0.0,29.0,326.0,64.0,11.0,34.0,101.0,0.0,11.0,26.0,2.0,3.0,13.0,0.0,238.0,148.0,21.0,118.0,5.0,1.0,22.0,4.0,83.0,16.0,259.0,24.0,0.0,27.0,18.0,25.0,5.0,13.0,273.0,0.0
6,17230082.0,11.0,64.0,504.0,4.0,643.0,0.0,117.0,57.0,10.0,54.0,116.0,14.0,344.0,63.0,227.0,20.0,159.0,37.0,33.0,57.0,504.0,186.0,844.0,35.0,45.0,53.0,16.0,29.0,259.0,162.0,15.0,76.0,95.0,23.0,475.0,97.0,39.0,255.0,490.0,32.0,27.0,29.0,43.0,286.0,66.0,16.0,80.0,25.0,502.0,0.0,108.0,428.0,34.0,98.0,12.0,337.0,119.0,36.0,41.0,151.0,60.0,4.0,105.0,48.0,246.0,121.0,218.0,11.0,25.0,252.0,0.0,67.0,202.0,61.0,0.0,28.0,498.0,57.0,7.0,31.0,175.0,0.0,8.0,32.0,2.0,2.0,15.0,0.0,330.0,224.0,18.0,212.0,6.0,1.0,35.0,5.0,118.0,9.0,434.0,35.0,0.0,65.0,22.0,25.0,8.0,15.0,406.0,0.0
7,18484284.0,3.0,58.0,87.0,3.0,76.0,117.0,0.0,17.0,21.0,22.0,28.0,34.0,43.0,10.0,37.0,6.0,34.0,14.0,11.0,57.0,46.0,52.0,119.0,42.0,24.0,37.0,0.0,22.0,80.0,58.0,14.0,14.0,10.0,22.0,124.0,44.0,8.0,42.0,48.0,19.0,23.0,17.0,24.0,111.0,14.0,17.0,8.0,15.0,56.0,0.0,52.0,127.0,34.0,30.0,16.0,69.0,26.0,13.0,31.0,54.0,56.0,2.0,41.0,35.0,42.0,77.0,56.0,9.0,4.0,27.0,0.0,8.0,17.0,23.0,0.0,5.0,60.0,7.0,2.0,3.0,30.0,0.0,1.0,86.0,0.0,9.0,20.0,0.0,95.0,83.0,14.0,130.0,17.0,0.0,19.0,13.0,28.0,8.0,32.0,11.0,1.0,12.0,17.0,34.0,9.0,14.0,39.0,0.0
8,18594520.0,1.0,18.0,45.0,2.0,49.0,57.0,17.0,0.0,2.0,2.0,8.0,0.0,21.0,1.0,16.0,2.0,10.0,10.0,4.0,1.0,16.0,17.0,43.0,10.0,16.0,13.0,1.0,6.0,36.0,12.0,4.0,1.0,8.0,1.0,52.0,15.0,7.0,23.0,18.0,14.0,7.0,4.0,6.0,33.0,12.0,5.0,16.0,1.0,25.0,0.0,14.0,46.0,5.0,8.0,3.0,19.0,12.0,5.0,1.0,23.0,12.0,0.0,11.0,10.0,15.0,16.0,16.0,1.0,1.0,23.0,0.0,5.0,7.0,3.0,0.0,1.0,23.0,2.0,0.0,1.0,13.0,0.0,1.0,5.0,0.0,0.0,7.0,0.0,31.0,28.0,9.0,38.0,2.0,0.0,1.0,5.0,17.0,2.0,16.0,0.0,0.0,4.0,1.0,3.0,3.0,5.0,20.0,0.0
9,19712559.0,0.0,0.0,3.0,0.0,7.0,10.0,21.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,23.0,12.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,29.0,1.0,0.0,1.0,0.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,27.0,0.0,0.0,14.0,1.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,28.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
