,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
0,-1.0,11277572.0,16166657.0,17682351.0,20263645.0,30368137.0,30709612.0,32792712.0,39953073.0,41507212.0,47870267.0,48959778.0,51035932.0,52077473.0,52915212.0,55169560.0,55837229.0,58430383.0,69583235.0,71207287.0,74120884.0,75055396.0,84669536.0,108021761.0,125343949.0,126130919.0,130104044.0,144105935.0,152988012.0,153992051.0,162151197.0,183138723.0,194920096.0,198093342.0,209651406.0,210824047.0,222816980.0,225185044.0,228637188.0,235097780.0,235683308.0,244042517.0,247247093.0,250373044.0,252991272.0,253601596.0,255107141.0,256927558.0,258536563.0,259337896.0,260883187.0,263022323.0,269244408.0,269680826.0,271344336.0,272259832.0,272308325.0,275115527.0,279154506.0,282636043.0,292447173.0,292999669.0,293967375.0,294523668.0,296148236.0,297864735.0,298112519.0,302144631.0,302481554.0,306072972.0,309930491.0,312169108.0,313124247.0,317262357.0,325774787.0,330994588.0,335473582.0,335508833.0,339034131.0,349146547.0,369028288.0,370501016.0,379047891.0,380198878.0,383455813.0,384671106.0,402037439.0,409731314.0,428556210.0,428999682.0,430530678.0,436267341.0,442439190.0
1,11277572.0,0.0,8.0,13.0,17.0,26.0,6.0,33.0,1.0,11.0,1.0,10.0,1.0,17.0,43.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,32.0,12.0,8.0,3.0,0.0,0.0,55.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,20.0,16.0,18.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,18.0,0.0,6.0,1.0,0.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,10.0,11.0,2.0,1.0,144.0,11.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
2,16166657.0,8.0,0.0,152.0,5.0,18.0,8.0,72.0,16.0,29.0,4.0,40.0,6.0,17.0,41.0,27.0,49.0,1.0,21.0,66.0,147.0,8.0,13.0,8.0,24.0,0.0,7.0,17.0,7.0,15.0,30.0,5.0,20.0,21.0,40.0,24.0,3.0,25.0,12.0,11.0,1.0,9.0,26.0,28.0,13.0,4.0,10.0,47.0,141.0,0.0,3.0,131.0,22.0,0.0,15.0,5.0,37.0,18.0,27.0,4.0,16.0,8.0,18.0,0.0,11.0,4.0,23.0,3.0,7.0,3.0,23.0,12.0,12.0,0.0,19.0,0.0,38.0,11.0,29.0,52.0,44.0,2.0,3.0,48.0,5.0,119.0,63.0,2.0,3.0,0.0,32.0,0.0,0.0
3,17682351.0,13.0,152.0,0.0,10.0,149.0,18.0,196.0,2.0,44.0,23.0,81.0,6.0,22.0,78.0,11.0,22.0,1.0,22.0,48.0,89.0,12.0,21.0,8.0,19.0,1.0,4.0,5.0,12.0,149.0,45.0,5.0,44.0,11.0,15.0,9.0,0.0,84.0,1.0,3.0,5.0,2.0,13.0,23.0,3.0,0.0,1.0,129.0,155.0,3.0,5.0,283.0,2.0,0.0,2.0,3.0,11.0,1.0,7.0,11.0,5.0,5.0,68.0,0.0,26.0,1.0,1.0,11.0,0.0,0.0,56.0,1.0,0.0,0.0,76.0,0.0,61.0,55.0,4.0,17.0,140.0,3.0,0.0,3.0,0.0,48.0,148.0,2.0,0.0,0.0,29.0,0.0,0.0
4,20263645.0,17.0,5.0,10.0,0.0,16.0,2.0,27.0,1.0,1.0,1.0,6.0,0.0,7.0,19.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,2.0,9.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,11.0,8.0,7.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,16.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,14.0,0.0,3.0,73.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0
5,30368137.0,26.0,18.0,149.0,16.0,0.0,6.0,29.0,2.0,34.0,3.0,19.0,4.0,10.0,51.0,1.0,5.0,0.0,5.0,12.0,14.0,4.0,1.0,7.0,7.0,0.0,0.0,2.0,4.0,5.0,5.0,12.0,13.0,5.0,7.0,2.0,0.0,42.0,0.0,2.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,22.0,26.0,2.0,7.0,104.0,2.0,0.0,1.0,5.0,1.0,2.0,0.0,3.0,0.0,0.0,67.0,0.0,16.0,0.0,1.0,14.0,0.0,1.0,6.0,2.0,0.0,0.0,4.0,0.0,15.0,29.0,0.0,5.0,106.0,5.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0
6,30709612.0,6.0,8.0,18.0,2.0,6.0,0.0,16.0,14.0,24.0,4.0,11.0,0.0,0.0,10.0,0.0,6.0,0.0,8.0,1.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,0.0,4.0,3.0,2.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,16.0,4.0,0.0,0.0,2.0,14.0,2.0,1.0,27.0,0.0,0.0,1.0,0.0,2.0,1.0,29.0,0.0,0.0,0.0,113.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,5.0,3.0,36.0,1.0,48.0,4.0,0.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
7,32792712.0,33.0,72.0,196.0,27.0,29.0,16.0,0.0,10.0,63.0,29.0,162.0,1.0,46.0,100.0,8.0,18.0,1.0,29.0,44.0,107.0,11.0,6.0,48.0,51.0,1.0,1.0,36.0,31.0,50.0,9.0,28.0,72.0,70.0,33.0,12.0,0.0,90.0,2.0,2.0,1.0,13.0,21.0,28.0,12.0,2.0,3.0,60.0,224.0,3.0,16.0,168.0,5.0,0.0,4.0,15.0,21.0,6.0,4.0,5.0,14.0,4.0,98.0,0.0,63.0,0.0,5.0,23.0,1.0,0.0,98.0,9.0,2.0,1.0,124.0,0.0,75.0,91.0,14.0,53.0,191.0,3.0,0.0,7.0,0.0,34.0,210.0,1.0,0.0,0.0,35.0,0.0,0.0
8,39953073.0,1.0,16.0,2.0,1.0,2.0,14.0,10.0,0.0,5.0,1.0,12.0,0.0,14.0,7.0,3.0,4.0,0.0,6.0,7.0,18.0,2.0,1.0,2.0,9.0,0.0,4.0,6.0,9.0,1.0,2.0,0.0,15.0,5.0,30.0,10.0,2.0,4.0,2.0,2.0,1.0,10.0,8.0,1.0,14.0,17.0,13.0,2.0,22.0,0.0,1.0,5.0,4.0,0.0,18.0,1.0,10.0,177.0,270.0,2.0,2.0,0.0,9.0,0.0,5.0,57.0,22.0,1.0,0.0,66.0,1.0,8.0,14.0,0.0,1.0,0.0,141.0,4.0,348.0,8.0,10.0,0.0,47.0,59.0,1.0,21.0,7.0,0.0,19.0,0.0,7.0,0.0,0.0
9,41507212.0,11.0,29.0,44.0,1.0,34.0,24.0,63.0,5.0,0.0,10.0,41.0,12.0,12.0,33.0,4.0,7.0,3.0,10.0,14.0,42.0,8.0,4.0,9.0,13.0,0.0,0.0,6.0,6.0,24.0,3.0,1.0,18.0,17.0,8.0,1.0,0.0,43.0,0.0,2.0,6.0,3.0,3.0,12.0,2.0,0.0,0.0,16.0,43.0,4.0,2.0,51.0,1.0,0.0,1.0,4.0,6.0,0.0,2.0,3.0,0.0,1.0,177.0,0.0,19.0,0.0,2.0,3.0,0.0,0.0,8.0,1.0,1.0,2.0,5.0,0.0,32.0,20.0,6.0,17.0,47.0,1.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,18.0,0.0,0.0
