,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,-1.0,20791292.0,37593470.0,39051261.0,52842945.0,81136269.0,100664808.0,101457389.0,113855131.0,148708206.0,186398196.0,201372142.0,209651406.0,210021971.0,222816980.0,229761604.0,232181027.0,235327570.0,235356588.0,235585808.0,235621009.0,235623809.0,235667782.0,235685482.0,235698786.0,243997708.0,246701967.0,248891587.0,253714495.0,255408158.0,258744432.0,262067630.0,262647765.0,264140888.0,264429719.0,268809866.0,269927326.0,271984723.0,272308325.0,274246546.0,275661557.0,278431499.0,280492439.0,283718439.0,287755830.0,292999669.0,305549322.0,306016676.0,317262357.0,326219839.0,338067793.0,342708375.0,344697893.0,351983486.0,359179176.0,363038494.0,369028288.0,374893717.0,383602088.0,383905250.0,396823485.0,412663554.0
1,20791292.0,0.0,78.0,22.0,10.0,90.0,0.0,17.0,1.0,32.0,4.0,3.0,6.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,57.0,1.0,13.0,16.0,3.0,5.0,0.0,14.0,1.0,0.0,14.0,2.0,3.0,7.0,3.0,0.0,21.0,0.0,58.0,1.0,0.0,2.0,0.0,10.0,0.0,1.0,9.0,22.0,5.0,4.0,35.0,2.0,26.0,1.0,9.0,5.0
2,37593470.0,78.0,0.0,23.0,62.0,83.0,1.0,7.0,5.0,34.0,4.0,0.0,10.0,9.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,68.0,0.0,2.0,17.0,1.0,3.0,2.0,3.0,0.0,0.0,9.0,2.0,8.0,22.0,0.0,2.0,9.0,3.0,76.0,3.0,0.0,0.0,1.0,14.0,1.0,0.0,5.0,23.0,11.0,1.0,128.0,0.0,42.0,1.0,17.0,7.0
3,39051261.0,22.0,23.0,0.0,13.0,66.0,2.0,156.0,6.0,29.0,15.0,81.0,20.0,17.0,4.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,136.0,41.0,122.0,26.0,71.0,100.0,11.0,181.0,5.0,1.0,161.0,96.0,14.0,26.0,68.0,9.0,138.0,2.0,49.0,1.0,4.0,88.0,1.0,190.0,1.0,24.0,216.0,35.0,15.0,39.0,42.0,38.0,41.0,30.0,20.0,4.0
4,52842945.0,10.0,62.0,13.0,0.0,11.0,0.0,3.0,1.0,8.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,6.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,6.0,0.0,1.0,2.0,2.0,19.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,8.0,6.0,2.0,18.0,0.0,14.0,1.0,7.0,2.0
5,81136269.0,90.0,83.0,66.0,11.0,0.0,12.0,30.0,15.0,73.0,15.0,5.0,33.0,19.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,174.0,1.0,21.0,39.0,7.0,9.0,4.0,19.0,1.0,0.0,32.0,4.0,20.0,38.0,3.0,3.0,16.0,4.0,83.0,2.0,0.0,3.0,1.0,34.0,1.0,0.0,19.0,71.0,16.0,37.0,101.0,4.0,59.0,3.0,32.0,8.0
6,100664808.0,0.0,1.0,2.0,0.0,12.0,0.0,5.0,10.0,2.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,1.0,8.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,7.0,6.0,8.0,5.0,0.0,0.0,0.0,3.0,0.0
7,101457389.0,17.0,7.0,156.0,3.0,30.0,5.0,0.0,6.0,19.0,19.0,56.0,21.0,13.0,3.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,86.0,37.0,80.0,18.0,37.0,58.0,9.0,151.0,10.0,1.0,104.0,49.0,11.0,14.0,54.0,2.0,93.0,3.0,25.0,0.0,10.0,79.0,0.0,130.0,2.0,18.0,150.0,20.0,7.0,30.0,19.0,27.0,33.0,21.0,6.0,3.0
8,113855131.0,1.0,5.0,6.0,1.0,15.0,10.0,6.0,0.0,3.0,8.0,2.0,39.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,0.0,2.0,22.0,4.0,3.0,5.0,7.0,7.0,0.0,2.0,0.0,32.0,12.0,2.0,0.0,4.0,1.0,29.0,3.0,1.0,3.0,1.0,11.0,4.0,0.0,4.0,17.0,11.0,24.0,0.0,0.0,10.0,2.0,15.0,5.0
9,148708206.0,32.0,34.0,29.0,8.0,73.0,2.0,19.0,3.0,0.0,4.0,2.0,13.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,63.0,0.0,6.0,19.0,3.0,3.0,1.0,6.0,0.0,0.0,14.0,1.0,4.0,13.0,2.0,1.0,17.0,2.0,29.0,2.0,0.0,2.0,1.0,10.0,1.0,0.0,8.0,28.0,7.0,10.0,37.0,2.0,24.0,2.0,11.0,2.0
10,186398196.0,4.0,4.0,15.0,5.0,15.0,0.0,19.0,8.0,4.0,0.0,1.0,20.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,56.0,0.0,7.0,15.0,2.0,3.0,25.0,19.0,10.0,0.0,1.0,3.0,19.0,11.0,1.0,1.0,15.0,0.0,15.0,0.0,11.0,3.0,0.0,21.0,3.0,0.0,18.0,27.0,11.0,105.0,6.0,0.0,26.0,2.0,5.0,4.0
