,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,-1.0,15427580.0,16179034.0,16594871.0,24677504.0,32358289.0,32838781.0,49923648.0,59002693.0,84920261.0,148711787.0,177561786.0,180261346.0,195339956.0,241314646.0,243948513.0,244152633.0,244811156.0,257849174.0,274246546.0,276228017.0,281553266.0,283718439.0,291113631.0,315997012.0,327408048.0,335473582.0,336076027.0,339474731.0,344839662.0,346585747.0,347873395.0,362115130.0,369028288.0,369039876.0,406647184.0,412282117.0,412663554.0
1,15427580.0,0.0,0.0,14.0,1.0,57.0,5.0,62.0,41.0,62.0,1.0,43.0,40.0,56.0,106.0,82.0,55.0,147.0,2.0,28.0,1.0,15.0,3.0,62.0,1.0,12.0,39.0,20.0,3.0,2.0,0.0,17.0,0.0,40.0,8.0,1.0,3.0,5.0
2,16179034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16594871.0,14.0,0.0,0.0,0.0,13.0,3.0,17.0,11.0,13.0,0.0,7.0,6.0,28.0,16.0,7.0,14.0,20.0,2.0,4.0,0.0,1.0,2.0,6.0,0.0,1.0,31.0,3.0,0.0,0.0,1.0,5.0,0.0,9.0,1.0,1.0,1.0,2.0
4,24677504.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,7.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0
5,32358289.0,57.0,0.0,13.0,20.0,0.0,0.0,36.0,65.0,72.0,1.0,36.0,21.0,18.0,55.0,97.0,43.0,129.0,2.0,6.0,0.0,8.0,0.0,49.0,0.0,6.0,24.0,13.0,1.0,6.0,0.0,2.0,0.0,56.0,12.0,0.0,6.0,2.0
6,32838781.0,5.0,0.0,3.0,0.0,0.0,0.0,26.0,4.0,5.0,1.0,6.0,5.0,4.0,28.0,3.0,16.0,7.0,10.0,5.0,1.0,3.0,0.0,7.0,0.0,13.0,12.0,3.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0
7,49923648.0,62.0,0.0,17.0,0.0,36.0,26.0,0.0,16.0,72.0,3.0,40.0,19.0,65.0,69.0,27.0,61.0,72.0,23.0,35.0,6.0,5.0,2.0,50.0,1.0,14.0,52.0,16.0,0.0,4.0,0.0,18.0,0.0,51.0,15.0,1.0,0.0,10.0
8,59002693.0,41.0,0.0,11.0,3.0,65.0,4.0,16.0,0.0,62.0,1.0,27.0,18.0,16.0,48.0,73.0,25.0,113.0,0.0,8.0,0.0,3.0,0.0,42.0,0.0,10.0,11.0,4.0,1.0,1.0,0.0,1.0,0.0,23.0,3.0,0.0,7.0,2.0
9,84920261.0,62.0,0.0,13.0,0.0,72.0,5.0,72.0,62.0,0.0,0.0,55.0,23.0,42.0,28.0,12.0,30.0,83.0,3.0,17.0,1.0,0.0,1.0,24.0,0.0,1.0,43.0,19.0,0.0,6.0,1.0,11.0,0.0,54.0,2.0,0.0,1.0,3.0
10,148711787.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,177561786.0,43.0,0.0,7.0,0.0,36.0,6.0,40.0,27.0,55.0,1.0,0.0,21.0,38.0,26.0,40.0,57.0,60.0,1.0,15.0,0.0,2.0,2.0,50.0,0.0,1.0,26.0,16.0,1.0,7.0,1.0,6.0,0.0,56.0,6.0,3.0,1.0,7.0
12,180261346.0,40.0,0.0,6.0,2.0,21.0,5.0,19.0,18.0,23.0,0.0,21.0,0.0,56.0,70.0,19.0,21.0,99.0,3.0,13.0,0.0,24.0,3.0,13.0,0.0,7.0,34.0,55.0,8.0,20.0,2.0,12.0,0.0,168.0,5.0,3.0,5.0,2.0
13,195339956.0,56.0,0.0,28.0,0.0,18.0,4.0,65.0,16.0,42.0,1.0,38.0,56.0,0.0,43.0,24.0,53.0,72.0,3.0,23.0,0.0,1.0,4.0,32.0,1.0,6.0,55.0,38.0,0.0,13.0,3.0,22.0,0.0,105.0,11.0,6.0,12.0,2.0
14,241314646.0,106.0,0.0,16.0,6.0,55.0,28.0,69.0,48.0,28.0,1.0,26.0,70.0,43.0,0.0,78.0,52.0,156.0,17.0,22.0,3.0,210.0,1.0,57.0,0.0,44.0,60.0,30.0,49.0,7.0,1.0,16.0,1.0,83.0,10.0,1.0,3.0,4.0
15,243948513.0,82.0,0.0,7.0,9.0,97.0,3.0,27.0,73.0,12.0,0.0,40.0,19.0,24.0,78.0,0.0,53.0,221.0,0.0,16.0,0.0,7.0,0.0,72.0,0.0,11.0,12.0,18.0,4.0,9.0,0.0,4.0,0.0,48.0,4.0,0.0,10.0,5.0
16,244152633.0,55.0,0.0,14.0,1.0,43.0,16.0,61.0,25.0,30.0,3.0,57.0,21.0,53.0,52.0,53.0,0.0,85.0,10.0,41.0,3.0,2.0,4.0,114.0,0.0,5.0,29.0,30.0,3.0,5.0,3.0,12.0,0.0,74.0,21.0,5.0,4.0,13.0
