,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,-1.0,16166657.0,16520056.0,20778778.0,36414339.0,38956977.0,39953073.0,39971043.0,47962856.0,62403925.0,68492468.0,74481416.0,76888172.0,77685623.0,86835353.0,101250325.0,104900245.0,111596475.0,113855131.0,124407978.0,124872294.0,144065119.0,152988012.0,188130856.0,188669923.0,199227570.0,201372142.0,202957118.0,209651406.0,210021971.0,211993075.0,222816980.0,226129696.0,229364623.0,229761604.0,232181027.0,232517722.0,233140023.0,235097780.0,236100413.0,241314646.0,243168252.0,243997708.0,246223044.0,247178120.0,247247093.0,251196980.0,253244593.0,253601596.0,255107141.0,255408158.0,255566546.0,258744432.0,259342010.0,259403457.0,260663685.0,262647765.0,267301026.0,268260100.0,268445390.0,268472302.0,268809866.0,271344336.0,271618974.0,271630118.0,271791007.0,271941454.0,271984723.0,272259832.0,272308325.0,274104571.0,275115527.0,275523472.0,275661557.0,278431499.0,278893978.0,280078772.0,280868115.0,280978003.0,281425389.0,282636043.0,283718439.0,283864451.0,286198366.0,294272565.0,294521931.0,294759042.0,295530892.0,297864735.0,305787501.0,305840713.0,306072972.0,307028953.0,316073841.0,316449522.0,317262357.0,319894020.0,323278429.0,323348308.0,330398551.0,338067793.0,339034131.0,339474731.0,346711272.0,348662448.0,354538008.0,354708537.0,359179176.0,360987449.0,362418374.0,362982252.0,363038494.0,368554948.0,369028288.0,376624739.0,379047891.0,379753339.0,383905250.0,388230819.0,395520618.0,410993099.0,411985379.0,411999037.0,415931947.0,422880270.0,424509446.0,425059264.0,428556210.0,430530678.0
1,16166657.0,0.0,101.0,18.0,11.0,24.0,16.0,1.0,29.0,73.0,15.0,35.0,19.0,101.0,20.0,61.0,29.0,3.0,20.0,50.0,25.0,19.0,7.0,0.0,6.0,14.0,4.0,2.0,40.0,24.0,9.0,3.0,2.0,17.0,14.0,0.0,3.0,7.0,11.0,5.0,113.0,2.0,50.0,3.0,3.0,26.0,36.0,7.0,4.0,10.0,46.0,130.0,8.0,36.0,5.0,0.0,17.0,13.0,17.0,26.0,48.0,2.0,15.0,34.0,3.0,16.0,6.0,7.0,5.0,37.0,9.0,18.0,23.0,3.0,1.0,19.0,0.0,51.0,8.0,1.0,4.0,2.0,30.0,0.0,2.0,0.0,21.0,12.0,4.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,2.0,9.0,4.0,5.0,3.0,29.0,1.0,15.0,0.0,5.0,24.0,25.0,0.0,0.0,14.0,101.0,12.0,44.0,6.0,3.0,1.0,5.0,0.0,15.0,5.0,7.0,9.0,29.0,3.0,2.0,0.0,3.0,32.0
2,16520056.0,101.0,0.0,7.0,8.0,11.0,11.0,1.0,64.0,25.0,41.0,66.0,11.0,58.0,31.0,44.0,54.0,9.0,17.0,31.0,5.0,27.0,10.0,0.0,5.0,4.0,10.0,9.0,26.0,19.0,28.0,0.0,1.0,2.0,16.0,0.0,0.0,4.0,1.0,0.0,95.0,0.0,65.0,4.0,1.0,9.0,23.0,2.0,0.0,1.0,45.0,65.0,13.0,7.0,0.0,0.0,4.0,5.0,15.0,72.0,13.0,0.0,1.0,31.0,0.0,31.0,1.0,8.0,8.0,23.0,2.0,4.0,3.0,9.0,2.0,14.0,0.0,26.0,8.0,1.0,6.0,2.0,28.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,8.0,5.0,0.0,0.0,0.0,17.0,25.0,0.0,0.0,14.0,20.0,3.0,94.0,2.0,0.0,0.0,5.0,0.0,6.0,3.0,0.0,8.0,45.0,0.0,12.0,0.0,0.0,25.0
3,20778778.0,18.0,7.0,0.0,8.0,7.0,3.0,2.0,36.0,15.0,6.0,6.0,4.0,20.0,33.0,1.0,33.0,6.0,1.0,2.0,2.0,18.0,3.0,0.0,1.0,2.0,0.0,2.0,4.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,0.0,7.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,5.0,7.0,1.0,4.0,1.0,0.0,3.0,0.0,4.0,5.0,2.0,0.0,3.0,17.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,65.0,1.0,0.0,0.0,2.0,8.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0
4,36414339.0,11.0,8.0,8.0,0.0,3.0,1.0,4.0,37.0,1.0,4.0,0.0,2.0,5.0,13.0,0.0,43.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,1.0,1.0,0.0,44.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
5,38956977.0,24.0,11.0,7.0,3.0,0.0,76.0,2.0,4.0,48.0,6.0,23.0,56.0,100.0,14.0,7.0,14.0,3.0,8.0,4.0,19.0,12.0,25.0,4.0,24.0,9.0,3.0,1.0,14.0,14.0,5.0,7.0,1.0,15.0,2.0,0.0,8.0,24.0,1.0,3.0,18.0,3.0,9.0,3.0,14.0,9.0,7.0,19.0,15.0,12.0,16.0,30.0,4.0,57.0,7.0,1.0,57.0,2.0,6.0,4.0,11.0,2.0,9.0,26.0,17.0,2.0,45.0,0.0,3.0,12.0,40.0,85.0,27.0,2.0,0.0,3.0,3.0,102.0,0.0,2.0,3.0,1.0,3.0,0.0,2.0,0.0,19.0,5.0,26.0,0.0,2.0,31.0,5.0,7.0,0.0,0.0,2.0,35.0,8.0,25.0,8.0,78.0,1.0,27.0,0.0,3.0,14.0,7.0,0.0,0.0,3.0,42.0,54.0,11.0,16.0,22.0,0.0,2.0,0.0,36.0,1.0,0.0,2.0,9.0,2.0,0.0,0.0,10.0,26.0
6,39953073.0,16.0,11.0,3.0,1.0,76.0,0.0,1.0,4.0,44.0,3.0,8.0,70.0,69.0,4.0,9.0,6.0,1.0,9.0,3.0,24.0,5.0,9.0,26.0,10.0,14.0,4.0,2.0,30.0,7.0,4.0,2.0,1.0,15.0,1.0,0.0,7.0,10.0,2.0,5.0,11.0,5.0,7.0,5.0,15.0,8.0,5.0,21.0,17.0,13.0,8.0,27.0,2.0,89.0,13.0,5.0,74.0,4.0,7.0,4.0,13.0,5.0,18.0,27.0,32.0,1.0,79.0,0.0,1.0,10.0,21.0,177.0,44.0,3.0,0.0,3.0,5.0,127.0,1.0,1.0,2.0,1.0,5.0,0.0,2.0,0.0,62.0,7.0,57.0,0.0,4.0,66.0,7.0,5.0,0.0,0.0,5.0,82.0,8.0,43.0,14.0,348.0,0.0,15.0,0.0,5.0,56.0,6.0,0.0,0.0,4.0,58.0,195.0,10.0,43.0,47.0,0.0,3.0,0.0,63.0,3.0,0.0,0.0,4.0,3.0,1.0,0.0,19.0,7.0
7,39971043.0,1.0,1.0,2.0,4.0,2.0,1.0,0.0,17.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,47962856.0,29.0,64.0,36.0,37.0,4.0,4.0,17.0,0.0,6.0,60.0,9.0,2.0,10.0,110.0,1.0,82.0,65.0,1.0,5.0,0.0,164.0,3.0,0.0,0.0,0.0,6.0,6.0,11.0,7.0,30.0,0.0,4.0,1.0,7.0,0.0,1.0,1.0,2.0,0.0,75.0,1.0,20.0,2.0,0.0,16.0,4.0,1.0,0.0,0.0,1.0,9.0,4.0,1.0,0.0,0.0,1.0,6.0,1.0,12.0,1.0,0.0,0.0,13.0,0.0,23.0,1.0,7.0,30.0,1.0,0.0,1.0,1.0,2.0,3.0,9.0,0.0,7.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,10.0,4.0,1.0,453.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,7.0,0.0,3.0,0.0,0.0,1.0
9,62403925.0,73.0,25.0,15.0,1.0,48.0,44.0,1.0,6.0,0.0,22.0,39.0,43.0,241.0,23.0,38.0,21.0,2.0,20.0,35.0,63.0,19.0,7.0,6.0,46.0,55.0,11.0,1.0,67.0,28.0,11.0,21.0,1.0,120.0,19.0,0.0,18.0,78.0,38.0,20.0,121.0,8.0,39.0,5.0,8.0,64.0,16.0,9.0,3.0,20.0,34.0,74.0,10.0,147.0,40.0,2.0,76.0,19.0,25.0,7.0,63.0,1.0,70.0,68.0,9.0,5.0,19.0,9.0,7.0,39.0,91.0,71.0,54.0,3.0,6.0,15.0,13.0,146.0,12.0,11.0,17.0,3.0,22.0,0.0,5.0,0.0,129.0,9.0,7.0,0.0,0.0,22.0,41.0,22.0,0.0,0.0,38.0,27.0,23.0,16.0,3.0,62.0,3.0,57.0,0.0,26.0,31.0,19.0,4.0,0.0,41.0,239.0,41.0,14.0,18.0,20.0,0.0,5.0,1.0,70.0,12.0,22.0,8.0,14.0,33.0,3.0,0.0,4.0,33.0
10,68492468.0,15.0,41.0,6.0,4.0,6.0,3.0,2.0,60.0,22.0,0.0,3.0,6.0,12.0,10.0,1.0,11.0,4.0,0.0,2.0,2.0,12.0,1.0,3.0,0.0,5.0,40.0,3.0,9.0,2.0,42.0,1.0,1.0,3.0,40.0,0.0,5.0,2.0,1.0,1.0,93.0,1.0,12.0,17.0,0.0,12.0,1.0,1.0,0.0,2.0,2.0,10.0,30.0,5.0,1.0,0.0,1.0,44.0,2.0,3.0,1.0,0.0,3.0,59.0,0.0,7.0,0.0,33.0,7.0,1.0,2.0,1.0,3.0,25.0,17.0,26.0,0.0,16.0,10.0,14.0,31.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,13.0,3.0,0.0,2.0,9.0,1.0,0.0,0.0,47.0,12.0,0.0,49.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,2.0,1.0,6.0,0.0,44.0,0.0,0.0,2.0
11,74481416.0,35.0,66.0,6.0,0.0,23.0,8.0,0.0,9.0,39.0,3.0,0.0,5.0,89.0,20.0,41.0,13.0,5.0,15.0,43.0,10.0,18.0,9.0,0.0,9.0,19.0,2.0,1.0,17.0,26.0,1.0,2.0,0.0,5.0,10.0,0.0,0.0,3.0,5.0,2.0,55.0,2.0,61.0,1.0,3.0,14.0,29.0,3.0,3.0,8.0,44.0,28.0,1.0,17.0,4.0,0.0,22.0,9.0,11.0,74.0,13.0,0.0,6.0,16.0,1.0,5.0,4.0,2.0,7.0,23.0,10.0,8.0,9.0,1.0,3.0,7.0,0.0,40.0,3.0,5.0,4.0,1.0,21.0,0.0,0.0,0.0,13.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,15.0,0.0,13.0,0.0,3.0,4.0,17.0,0.0,0.0,5.0,30.0,6.0,38.0,4.0,1.0,0.0,2.0,0.0,7.0,2.0,2.0,8.0,29.0,0.0,0.0,0.0,1.0,136.0
