,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
0,-1.0,11688082.0,14799078.0,17738439.0,18014005.0,18529435.0,20097381.0,20439936.0,20801977.0,21856757.0,23056672.0,26596698.0,29171727.0,29251278.0,32838781.0,33806698.0,34699794.0,42843711.0,46751760.0,47379932.0,48495906.0,48959778.0,49323761.0,49817093.0,54308395.0,55312035.0,55837229.0,56436151.0,56655188.0,57072321.0,57811254.0,58711646.0,63579041.0,64149875.0,67964859.0,70115569.0,71207287.0,71294722.0,74481416.0,78787098.0,78985632.0,80791048.0,83465789.0,87250666.0,94647128.0,96894552.0,101824385.0,107913356.0,115000873.0,124203870.0,124407978.0,126568681.0,133010319.0,139670833.0,140198531.0,145226468.0,145401113.0,148653311.0,156277913.0,161268794.0,162650265.0,176797045.0,198848442.0,203533542.0,206815044.0,209651406.0,210585182.0,210824047.0,217078361.0,225618759.0,230637111.0,230844017.0,232891887.0,238051431.0,238169051.0,239154848.0,242656943.0,244896607.0,244966270.0,245901604.0,245985411.0,247182392.0,248185799.0,248762736.0,248854980.0,250998591.0,251196980.0,253204705.0,253742998.0,255007697.0,258047934.0,258124716.0,258536563.0,259105109.0,260162879.0,260314188.0,263555244.0,266562398.0,267088381.0,268445390.0,269266951.0,270592241.0,272259832.0,272524094.0,272926719.0,274982664.0,276676924.0,277483604.0,279947636.0,280612028.0,281628306.0,281669464.0,282637031.0,284596068.0,284645097.0,286444953.0,287715229.0,288479798.0,289104235.0,289975846.0,290039931.0,290698882.0,290994539.0,294476644.0,294523668.0,296532899.0,296939494.0,299140160.0,300918727.0,302144631.0,304659133.0,304988603.0,304993789.0,311191337.0,312304468.0,313176788.0,315491431.0,316144548.0,316654348.0,317262357.0,320944422.0,325802464.0,330185697.0,330229987.0,330519993.0,335219110.0,346905694.0,348223934.0,350390490.0,351433159.0,352740764.0,353940982.0,354800471.0,361525299.0,367808555.0,369028288.0,369727395.0,381696542.0,385384315.0,388466657.0,402037439.0,405452697.0,406558256.0,409731314.0,409763432.0,415931947.0,418834841.0,421837588.0,427266765.0,436963116.0
1,11688082.0,0.0,6.0,8.0,18.0,12.0,19.0,59.0,18.0,19.0,6.0,13.0,14.0,18.0,13.0,53.0,8.0,58.0,8.0,1.0,22.0,3.0,20.0,41.0,39.0,69.0,4.0,80.0,3.0,3.0,4.0,21.0,2.0,30.0,16.0,78.0,10.0,6.0,104.0,13.0,1.0,9.0,9.0,6.0,0.0,0.0,0.0,2.0,12.0,14.0,15.0,8.0,9.0,40.0,7.0,10.0,12.0,52.0,6.0,4.0,47.0,3.0,27.0,46.0,4.0,3.0,7.0,5.0,19.0,16.0,3.0,11.0,47.0,2.0,29.0,9.0,19.0,6.0,24.0,64.0,29.0,7.0,3.0,10.0,20.0,3.0,6.0,1.0,0.0,15.0,25.0,5.0,19.0,3.0,76.0,14.0,0.0,5.0,11.0,10.0,5.0,0.0,5.0,10.0,90.0,10.0,13.0,3.0,3.0,1.0,3.0,15.0,0.0,12.0,13.0,1.0,1.0,13.0,4.0,1.0,23.0,20.0,2.0,0.0,0.0,2.0,29.0,3.0,0.0,7.0,7.0,16.0,4.0,4.0,0.0,18.0,3.0,0.0,17.0,0.0,6.0,1.0,5.0,1.0,0.0,6.0,0.0,3.0,2.0,7.0,0.0,1.0,17.0,0.0,8.0,20.0,2.0,38.0,5.0,9.0,11.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,10.0,1.0
2,14799078.0,6.0,0.0,35.0,54.0,40.0,60.0,46.0,131.0,64.0,44.0,9.0,26.0,39.0,1.0,156.0,56.0,2.0,16.0,9.0,140.0,56.0,83.0,153.0,84.0,69.0,13.0,14.0,0.0,2.0,60.0,130.0,2.0,19.0,13.0,7.0,22.0,3.0,32.0,100.0,1.0,65.0,49.0,42.0,0.0,0.0,2.0,2.0,14.0,90.0,18.0,22.0,17.0,10.0,46.0,4.0,2.0,75.0,25.0,16.0,12.0,13.0,55.0,135.0,37.0,10.0,3.0,8.0,84.0,118.0,11.0,16.0,32.0,17.0,79.0,77.0,25.0,75.0,94.0,61.0,4.0,148.0,31.0,14.0,39.0,5.0,11.0,9.0,2.0,100.0,13.0,42.0,67.0,11.0,2.0,105.0,5.0,2.0,43.0,48.0,27.0,1.0,0.0,40.0,45.0,65.0,58.0,0.0,25.0,1.0,33.0,35.0,0.0,69.0,52.0,4.0,2.0,17.0,14.0,11.0,130.0,65.0,16.0,0.0,0.0,6.0,67.0,6.0,1.0,1.0,77.0,31.0,9.0,42.0,16.0,11.0,11.0,4.0,24.0,0.0,3.0,5.0,41.0,26.0,0.0,3.0,0.0,10.0,27.0,4.0,0.0,26.0,90.0,0.0,4.0,44.0,0.0,8.0,5.0,27.0,85.0,4.0,1.0,2.0,1.0,33.0,13.0,0.0,10.0,3.0
3,17738439.0,8.0,35.0,0.0,19.0,21.0,1.0,26.0,62.0,34.0,29.0,18.0,21.0,41.0,5.0,65.0,27.0,3.0,12.0,17.0,68.0,34.0,76.0,77.0,42.0,51.0,15.0,27.0,2.0,2.0,28.0,115.0,11.0,11.0,4.0,28.0,29.0,5.0,29.0,35.0,5.0,26.0,45.0,6.0,0.0,0.0,0.0,2.0,16.0,47.0,15.0,20.0,10.0,24.0,25.0,22.0,15.0,45.0,18.0,16.0,3.0,21.0,36.0,61.0,20.0,16.0,13.0,5.0,58.0,63.0,12.0,9.0,48.0,6.0,38.0,37.0,23.0,25.0,54.0,56.0,10.0,40.0,47.0,22.0,18.0,10.0,10.0,21.0,2.0,48.0,21.0,59.0,58.0,17.0,2.0,41.0,3.0,3.0,22.0,16.0,39.0,5.0,3.0,37.0,7.0,40.0,30.0,9.0,10.0,13.0,20.0,11.0,1.0,50.0,56.0,8.0,2.0,23.0,10.0,5.0,54.0,43.0,18.0,0.0,0.0,2.0,33.0,14.0,5.0,2.0,49.0,29.0,6.0,26.0,13.0,0.0,8.0,1.0,37.0,1.0,3.0,5.0,36.0,12.0,6.0,9.0,0.0,16.0,27.0,5.0,0.0,4.0,29.0,0.0,5.0,22.0,4.0,4.0,13.0,27.0,38.0,3.0,1.0,0.0,0.0,23.0,5.0,9.0,12.0,12.0
4,18014005.0,18.0,54.0,19.0,0.0,101.0,13.0,39.0,250.0,255.0,51.0,6.0,63.0,78.0,2.0,347.0,28.0,9.0,17.0,1.0,206.0,44.0,145.0,233.0,150.0,120.0,15.0,20.0,3.0,4.0,86.0,117.0,0.0,17.0,19.0,15.0,22.0,2.0,85.0,86.0,0.0,17.0,21.0,15.0,0.0,0.0,0.0,3.0,10.0,101.0,37.0,28.0,14.0,17.0,41.0,4.0,2.0,178.0,30.0,16.0,48.0,13.0,129.0,317.0,118.0,6.0,18.0,13.0,47.0,108.0,3.0,122.0,28.0,21.0,53.0,51.0,35.0,82.0,284.0,388.0,9.0,126.0,11.0,8.0,73.0,6.0,12.0,8.0,9.0,72.0,19.0,14.0,78.0,12.0,9.0,138.0,6.0,4.0,86.0,100.0,42.0,0.0,0.0,59.0,74.0,33.0,146.0,1.0,23.0,2.0,31.0,52.0,0.0,112.0,77.0,3.0,3.0,54.0,20.0,7.0,280.0,54.0,15.0,0.0,0.0,11.0,191.0,0.0,5.0,2.0,32.0,23.0,13.0,29.0,18.0,1.0,11.0,0.0,26.0,0.0,4.0,5.0,45.0,16.0,0.0,1.0,0.0,10.0,17.0,0.0,0.0,8.0,200.0,0.0,1.0,29.0,0.0,15.0,2.0,30.0,184.0,3.0,0.0,1.0,1.0,22.0,11.0,0.0,16.0,2.0
5,18529435.0,12.0,40.0,21.0,101.0,0.0,15.0,37.0,133.0,102.0,35.0,7.0,23.0,57.0,2.0,161.0,26.0,14.0,24.0,2.0,113.0,24.0,81.0,188.0,84.0,84.0,33.0,28.0,5.0,2.0,48.0,66.0,6.0,37.0,18.0,34.0,46.0,4.0,55.0,55.0,4.0,40.0,28.0,11.0,0.0,0.0,0.0,4.0,41.0,101.0,39.0,38.0,22.0,10.0,51.0,13.0,4.0,88.0,52.0,32.0,16.0,8.0,96.0,179.0,54.0,17.0,30.0,16.0,39.0,90.0,2.0,32.0,73.0,27.0,56.0,52.0,17.0,66.0,149.0,138.0,5.0,82.0,6.0,12.0,57.0,34.0,24.0,4.0,3.0,78.0,40.0,10.0,101.0,20.0,3.0,79.0,4.0,3.0,69.0,76.0,65.0,0.0,2.0,83.0,33.0,32.0,92.0,5.0,41.0,3.0,56.0,34.0,3.0,99.0,82.0,9.0,12.0,68.0,37.0,15.0,175.0,96.0,42.0,0.0,0.0,18.0,87.0,1.0,19.0,7.0,18.0,14.0,34.0,38.0,17.0,1.0,30.0,2.0,55.0,0.0,7.0,10.0,42.0,39.0,0.0,5.0,0.0,30.0,17.0,0.0,1.0,8.0,140.0,0.0,8.0,34.0,4.0,6.0,7.0,36.0,119.0,3.0,0.0,1.0,1.0,17.0,14.0,1.0,28.0,10.0
6,20097381.0,19.0,60.0,1.0,13.0,15.0,0.0,13.0,107.0,18.0,7.0,14.0,45.0,11.0,0.0,127.0,40.0,1.0,2.0,0.0,140.0,41.0,16.0,48.0,118.0,16.0,8.0,4.0,1.0,3.0,5.0,18.0,1.0,26.0,11.0,3.0,3.0,4.0,10.0,29.0,0.0,56.0,25.0,35.0,0.0,0.0,0.0,0.0,13.0,33.0,3.0,17.0,1.0,1.0,32.0,1.0,2.0,14.0,9.0,2.0,12.0,2.0,13.0,60.0,17.0,5.0,3.0,5.0,91.0,22.0,10.0,6.0,5.0,3.0,56.0,39.0,1.0,29.0,26.0,49.0,0.0,74.0,3.0,5.0,35.0,3.0,9.0,5.0,1.0,34.0,3.0,7.0,35.0,2.0,6.0,18.0,1.0,0.0,7.0,29.0,9.0,0.0,1.0,9.0,15.0,45.0,12.0,0.0,6.0,0.0,6.0,31.0,0.0,28.0,24.0,1.0,0.0,6.0,3.0,2.0,73.0,26.0,3.0,0.0,0.0,2.0,9.0,2.0,1.0,3.0,12.0,22.0,4.0,17.0,0.0,89.0,2.0,2.0,1.0,0.0,0.0,1.0,12.0,15.0,0.0,3.0,0.0,3.0,11.0,10.0,2.0,1.0,39.0,0.0,7.0,51.0,1.0,7.0,0.0,10.0,23.0,1.0,0.0,0.0,0.0,9.0,4.0,1.0,5.0,1.0
7,20439936.0,59.0,46.0,26.0,39.0,37.0,13.0,0.0,133.0,58.0,38.0,25.0,28.0,61.0,35.0,98.0,37.0,30.0,27.0,7.0,87.0,37.0,67.0,140.0,79.0,94.0,20.0,65.0,6.0,2.0,55.0,75.0,10.0,38.0,17.0,105.0,52.0,5.0,127.0,48.0,4.0,32.0,51.0,7.0,0.0,0.0,2.0,10.0,35.0,85.0,33.0,33.0,24.0,30.0,36.0,17.0,12.0,82.0,33.0,28.0,18.0,34.0,71.0,110.0,34.0,29.0,47.0,18.0,78.0,78.0,12.0,21.0,91.0,20.0,54.0,50.0,34.0,61.0,102.0,107.0,38.0,85.0,9.0,42.0,23.0,16.0,21.0,15.0,5.0,57.0,70.0,13.0,101.0,24.0,35.0,72.0,5.0,7.0,58.0,42.0,53.0,3.0,1.0,66.0,69.0,62.0,69.0,19.0,34.0,14.0,41.0,24.0,0.0,76.0,67.0,15.0,7.0,59.0,29.0,15.0,105.0,87.0,24.0,0.0,0.0,12.0,69.0,16.0,8.0,5.0,40.0,27.0,25.0,55.0,11.0,4.0,16.0,2.0,66.0,1.0,20.0,6.0,34.0,32.0,2.0,8.0,2.0,18.0,33.0,3.0,5.0,5.0,86.0,0.0,7.0,26.0,8.0,42.0,17.0,40.0,76.0,8.0,0.0,1.0,1.0,30.0,15.0,7.0,39.0,11.0
8,20801977.0,18.0,131.0,62.0,250.0,133.0,107.0,133.0,0.0,275.0,97.0,54.0,86.0,163.0,12.0,582.0,102.0,11.0,53.0,33.0,436.0,186.0,231.0,510.0,309.0,186.0,45.0,59.0,4.0,8.0,146.0,215.0,7.0,36.0,31.0,55.0,67.0,4.0,135.0,190.0,11.0,146.0,143.0,66.0,0.0,0.0,0.0,8.0,54.0,230.0,64.0,59.0,42.0,74.0,116.0,32.0,14.0,219.0,82.0,42.0,61.0,74.0,189.0,455.0,127.0,38.0,36.0,25.0,316.0,292.0,30.0,98.0,84.0,30.0,199.0,178.0,84.0,152.0,327.0,413.0,20.0,349.0,35.0,86.0,115.0,24.0,27.0,49.0,18.0,184.0,74.0,42.0,240.0,39.0,8.0,243.0,15.0,6.0,103.0,159.0,86.0,5.0,4.0,103.0,52.0,205.0,168.0,8.0,64.0,16.0,76.0,118.0,1.0,272.0,215.0,16.0,7.0,84.0,42.0,30.0,421.0,163.0,33.0,0.0,0.0,17.0,273.0,36.0,13.0,4.0,103.0,127.0,28.0,112.0,50.0,19.0,29.0,7.0,82.0,1.0,7.0,20.0,149.0,57.0,5.0,12.0,3.0,51.0,93.0,13.0,1.0,15.0,312.0,0.0,13.0,103.0,5.0,11.0,16.0,82.0,312.0,18.0,3.0,2.0,2.0,65.0,27.0,12.0,41.0,30.0
9,21856757.0,19.0,64.0,34.0,255.0,102.0,18.0,58.0,275.0,0.0,57.0,20.0,61.0,89.0,7.0,326.0,38.0,12.0,15.0,13.0,197.0,64.0,159.0,308.0,181.0,114.0,19.0,37.0,3.0,10.0,118.0,174.0,10.0,28.0,18.0,40.0,32.0,6.0,91.0,104.0,5.0,60.0,64.0,20.0,0.0,0.0,2.0,2.0,19.0,111.0,34.0,34.0,10.0,30.0,89.0,22.0,9.0,190.0,33.0,30.0,62.0,30.0,138.0,298.0,135.0,16.0,17.0,11.0,108.0,160.0,15.0,73.0,56.0,16.0,58.0,58.0,40.0,78.0,315.0,327.0,9.0,138.0,13.0,55.0,59.0,8.0,16.0,26.0,4.0,121.0,24.0,26.0,121.0,18.0,6.0,118.0,7.0,2.0,68.0,94.0,63.0,3.0,5.0,66.0,58.0,84.0,111.0,6.0,18.0,10.0,33.0,43.0,4.0,156.0,112.0,7.0,4.0,51.0,21.0,10.0,256.0,82.0,22.0,0.0,0.0,10.0,174.0,11.0,6.0,4.0,46.0,63.0,9.0,41.0,21.0,1.0,8.0,0.0,35.0,2.0,6.0,2.0,78.0,21.0,4.0,13.0,1.0,22.0,53.0,0.0,1.0,14.0,163.0,0.0,4.0,49.0,2.0,16.0,13.0,55.0,158.0,5.0,0.0,0.0,0.0,37.0,12.0,9.0,18.0,8.0
