,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,-1.0,16520056.0,159167229.0,161863994.0,210824047.0,254766784.0,255683222.0,279947636.0,280881691.0,307216925.0,357807943.0,369028288.0,394285779.0,395267071.0
1,16520056.0,0.0,0.0,225.0,21.0,3.0,113.0,60.0,7.0,4.0,8.0,94.0,111.0,402.0
2,159167229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,161863994.0,225.0,0.0,0.0,24.0,7.0,140.0,70.0,5.0,7.0,10.0,146.0,157.0,249.0
4,210824047.0,21.0,0.0,24.0,0.0,8.0,30.0,32.0,20.0,0.0,21.0,2.0,44.0,25.0
5,254766784.0,3.0,0.0,7.0,8.0,0.0,9.0,12.0,1.0,2.0,1.0,2.0,5.0,4.0
6,255683222.0,113.0,0.0,140.0,30.0,9.0,0.0,135.0,17.0,2.0,26.0,19.0,135.0,89.0
7,279947636.0,60.0,0.0,70.0,32.0,12.0,135.0,0.0,13.0,2.0,22.0,7.0,102.0,54.0
8,280881691.0,7.0,0.0,5.0,20.0,1.0,17.0,13.0,0.0,0.0,18.0,1.0,16.0,5.0
9,307216925.0,4.0,0.0,7.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,6.0,5.0
10,357807943.0,8.0,0.0,10.0,21.0,1.0,26.0,22.0,18.0,0.0,0.0,0.0,38.0,7.0
11,369028288.0,94.0,0.0,146.0,2.0,2.0,19.0,7.0,1.0,1.0,0.0,0.0,21.0,204.0
12,394285779.0,111.0,0.0,157.0,44.0,5.0,135.0,102.0,16.0,6.0,38.0,21.0,0.0,104.0
13,395267071.0,402.0,0.0,249.0,25.0,4.0,89.0,54.0,5.0,5.0,7.0,204.0,104.0,0.0
