,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-1.0,15471305.0,16542687.0,17415305.0,18603111.0,20801977.0,30819117.0,46285992.0,48959778.0,50645038.0,93773295.0,117874804.0,122322553.0,147053731.0,156277913.0,192477353.0,198118966.0,224285412.0,232823702.0,254672485.0,258035581.0,269680826.0,271791007.0,293452799.0,318114016.0,320565200.0,344843392.0,371045468.0,373157754.0,380409830.0,381909729.0,394285779.0,401651305.0,406855411.0,425842620.0,430530678.0
1,15471305.0,0.0,24.0,15.0,61.0,133.0,0.0,25.0,55.0,149.0,33.0,7.0,60.0,8.0,15.0,409.0,35.0,76.0,0.0,38.0,0.0,0.0,49.0,10.0,83.0,13.0,0.0,93.0,15.0,51.0,10.0,17.0,191.0,0.0,16.0,14.0
2,16542687.0,24.0,0.0,67.0,34.0,137.0,0.0,4.0,30.0,130.0,9.0,9.0,2.0,3.0,6.0,256.0,9.0,7.0,0.0,19.0,0.0,0.0,17.0,3.0,23.0,25.0,3.0,14.0,7.0,2.0,1.0,7.0,29.0,0.0,7.0,12.0
3,17415305.0,15.0,67.0,0.0,14.0,19.0,0.0,1.0,4.0,78.0,57.0,1.0,0.0,0.0,1.0,490.0,54.0,18.0,0.0,3.0,1.0,0.0,7.0,0.0,22.0,83.0,2.0,15.0,0.0,1.0,3.0,0.0,26.0,0.0,4.0,0.0
4,18603111.0,61.0,34.0,14.0,0.0,97.0,0.0,28.0,46.0,118.0,14.0,74.0,7.0,17.0,12.0,217.0,41.0,16.0,0.0,35.0,1.0,0.0,17.0,14.0,30.0,4.0,6.0,38.0,10.0,4.0,8.0,23.0,48.0,0.0,26.0,26.0
5,20801977.0,133.0,137.0,19.0,97.0,0.0,0.0,23.0,185.0,386.0,15.0,38.0,7.0,35.0,82.0,587.0,34.0,23.0,0.0,96.0,1.0,0.0,37.0,39.0,69.0,32.0,23.0,95.0,102.0,19.0,18.0,130.0,140.0,1.0,60.0,30.0
6,30819117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,46285992.0,25.0,4.0,1.0,28.0,23.0,0.0,0.0,8.0,23.0,5.0,4.0,3.0,2.0,1.0,43.0,12.0,4.0,0.0,8.0,0.0,0.0,12.0,3.0,13.0,0.0,0.0,12.0,1.0,4.0,3.0,5.0,10.0,0.0,7.0,6.0
8,48959778.0,55.0,30.0,4.0,46.0,185.0,0.0,8.0,0.0,157.0,11.0,10.0,6.0,29.0,32.0,178.0,12.0,13.0,0.0,36.0,1.0,0.0,14.0,19.0,26.0,12.0,3.0,41.0,44.0,6.0,9.0,59.0,66.0,0.0,32.0,23.0
9,50645038.0,149.0,130.0,78.0,118.0,386.0,0.0,23.0,157.0,0.0,39.0,37.0,15.0,36.0,38.0,661.0,56.0,38.0,0.0,105.0,1.0,0.0,38.0,24.0,78.0,30.0,7.0,90.0,36.0,22.0,12.0,63.0,123.0,0.0,63.0,75.0
10,93773295.0,33.0,9.0,57.0,14.0,15.0,0.0,5.0,11.0,39.0,0.0,0.0,11.0,2.0,5.0,160.0,10.0,24.0,0.0,2.0,0.0,0.0,11.0,3.0,39.0,2.0,0.0,43.0,2.0,4.0,3.0,3.0,13.0,0.0,4.0,7.0
11,117874804.0,7.0,9.0,1.0,74.0,38.0,0.0,4.0,10.0,37.0,0.0,0.0,0.0,1.0,4.0,116.0,2.0,1.0,0.0,11.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,6.0,2.0,0.0,1.0,11.0,12.0,0.0,7.0,3.0
12,122322553.0,60.0,2.0,0.0,7.0,7.0,0.0,3.0,6.0,15.0,11.0,0.0,0.0,0.0,6.0,45.0,4.0,44.0,0.0,5.0,0.0,0.0,14.0,2.0,23.0,0.0,0.0,17.0,2.0,15.0,5.0,1.0,21.0,0.0,1.0,0.0
13,147053731.0,8.0,3.0,0.0,17.0,35.0,0.0,2.0,29.0,36.0,2.0,1.0,0.0,0.0,11.0,32.0,4.0,6.0,0.0,3.0,0.0,0.0,3.0,10.0,6.0,0.0,1.0,10.0,7.0,0.0,1.0,29.0,4.0,0.0,15.0,10.0
14,156277913.0,15.0,6.0,1.0,12.0,82.0,0.0,1.0,32.0,38.0,5.0,4.0,6.0,11.0,0.0,33.0,6.0,4.0,0.0,9.0,2.0,0.0,7.0,58.0,10.0,1.0,2.0,7.0,17.0,2.0,1.0,122.0,15.0,8.0,21.0,8.0
15,192477353.0,409.0,256.0,490.0,217.0,587.0,0.0,43.0,178.0,661.0,160.0,116.0,45.0,32.0,33.0,0.0,72.0,113.0,0.0,185.0,3.0,0.0,129.0,31.0,216.0,213.0,4.0,296.0,84.0,123.0,33.0,57.0,504.0,0.0,59.0,59.0
16,198118966.0,35.0,9.0,54.0,41.0,34.0,0.0,12.0,12.0,56.0,10.0,2.0,4.0,4.0,6.0,72.0,0.0,9.0,0.0,26.0,0.0,0.0,11.0,1.0,20.0,0.0,0.0,24.0,3.0,4.0,5.0,8.0,25.0,0.0,8.0,7.0
17,224285412.0,76.0,7.0,18.0,16.0,23.0,0.0,4.0,13.0,38.0,24.0,1.0,44.0,6.0,4.0,113.0,9.0,0.0,0.0,10.0,0.0,0.0,20.0,1.0,33.0,5.0,0.0,45.0,3.0,8.0,4.0,9.0,52.0,0.0,5.0,3.0
18,232823702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,254672485.0,38.0,19.0,3.0,35.0,96.0,0.0,8.0,36.0,105.0,2.0,11.0,5.0,3.0,9.0,185.0,26.0,10.0,0.0,0.0,0.0,0.0,8.0,4.0,19.0,0.0,0.0,24.0,10.0,6.0,3.0,19.0,42.0,0.0,21.0,15.0
20,258035581.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,3.0,3.0
21,269680826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,271791007.0,49.0,17.0,7.0,17.0,37.0,0.0,12.0,14.0,38.0,11.0,2.0,14.0,3.0,7.0,129.0,11.0,20.0,0.0,8.0,0.0,0.0,0.0,1.0,58.0,6.0,1.0,85.0,4.0,24.0,19.0,10.0,93.0,0.0,4.0,5.0
23,293452799.0,10.0,3.0,0.0,14.0,39.0,0.0,3.0,19.0,24.0,3.0,0.0,2.0,10.0,58.0,31.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,9.0,0.0,4.0,9.0,2.0,0.0,5.0,24.0,12.0,3.0,7.0,6.0
24,318114016.0,83.0,23.0,22.0,30.0,69.0,0.0,13.0,26.0,78.0,39.0,4.0,23.0,6.0,10.0,216.0,20.0,33.0,0.0,19.0,0.0,0.0,58.0,9.0,0.0,21.0,1.0,128.0,9.0,28.0,20.0,16.0,195.0,0.0,11.0,8.0
