,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
0,-1.0,257593.0,14072706.0,14555736.0,15288901.0,16022940.0,16166657.0,16615248.0,17730464.0,26048553.0,26404828.0,27092533.0,29230161.0,29967556.0,31097219.0,34920781.0,38127193.0,47981160.0,48827911.0,49817093.0,50481378.0,51210273.0,51677597.0,52076024.0,59433520.0,60585863.0,61992906.0,67208397.0,72468436.0,76237140.0,88955642.0,90975145.0,100664808.0,107021215.0,107545214.0,110430185.0,130052572.0,130434830.0,139670833.0,144617059.0,153518811.0,154539987.0,158452263.0,172020921.0,176123374.0,181691022.0,188319573.0,188477081.0,196019843.0,207026848.0,210824047.0,215966785.0,232670192.0,235662702.0,237519969.0,241314646.0,243977223.0,245756822.0,246291063.0,248148576.0,251326389.0,253592305.0,253599608.0,254271915.0,255630029.0,256979835.0,259404960.0,264871850.0,266426774.0,269680826.0,269951391.0,270762885.0,271428783.0,272353870.0,273419771.0,276160804.0,280661466.0,283535949.0,287545443.0,288236616.0,289103836.0,289239049.0,289298003.0,289490684.0,289945109.0,294476644.0,295725607.0,302864870.0,303339174.0,306296054.0,309878861.0,311544605.0,315169332.0,318523147.0,321854073.0,322281109.0,326332745.0,326334924.0,326336700.0,329103482.0,329111037.0,329327535.0,330396208.0,338297532.0,339034131.0,353278529.0,354708537.0,355956600.0,367921832.0,368055505.0,370501016.0,374893717.0,378419883.0,378550330.0,382586885.0,382736213.0,384239667.0,395434687.0,395445890.0,404044738.0,404864404.0,406626641.0,408554407.0,410668019.0,411623346.0,420285181.0,420653865.0,426039339.0,436609517.0,439495158.0,448348023.0,448416310.0
1,257593.0,0.0,26.0,0.0,69.0,48.0,168.0,55.0,25.0,303.0,2.0,92.0,6.0,205.0,248.0,27.0,5.0,75.0,0.0,301.0,17.0,39.0,212.0,19.0,1.0,3.0,130.0,35.0,16.0,47.0,11.0,11.0,11.0,35.0,432.0,95.0,37.0,72.0,63.0,49.0,23.0,159.0,100.0,176.0,8.0,35.0,31.0,40.0,0.0,6.0,26.0,128.0,7.0,0.0,166.0,210.0,14.0,40.0,230.0,9.0,3.0,2.0,0.0,0.0,4.0,3.0,73.0,15.0,2.0,0.0,12.0,57.0,94.0,182.0,13.0,3.0,0.0,52.0,85.0,2.0,106.0,12.0,50.0,14.0,34.0,0.0,6.0,107.0,125.0,98.0,110.0,38.0,14.0,71.0,8.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,46.0,94.0,225.0,217.0,32.0,342.0,11.0,8.0,1.0,8.0,14.0,63.0,95.0,3.0,2.0,11.0,9.0,10.0,41.0,3.0,2.0,116.0,3.0,11.0,1.0,2.0,20.0,0.0
2,14072706.0,26.0,0.0,0.0,1.0,15.0,5.0,0.0,7.0,24.0,0.0,8.0,7.0,10.0,7.0,2.0,0.0,5.0,0.0,10.0,3.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,20.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,9.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,1.0,3.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,14555736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15288901.0,69.0,1.0,0.0,0.0,10.0,34.0,5.0,6.0,49.0,1.0,5.0,7.0,31.0,9.0,2.0,0.0,8.0,0.0,80.0,0.0,12.0,62.0,26.0,0.0,1.0,7.0,12.0,4.0,2.0,20.0,2.0,5.0,4.0,16.0,33.0,8.0,50.0,41.0,10.0,3.0,59.0,30.0,31.0,1.0,71.0,13.0,13.0,0.0,3.0,11.0,29.0,8.0,0.0,16.0,80.0,16.0,8.0,46.0,28.0,0.0,0.0,2.0,0.0,0.0,2.0,41.0,19.0,8.0,0.0,51.0,46.0,45.0,45.0,8.0,7.0,0.0,38.0,71.0,2.0,27.0,27.0,18.0,1.0,34.0,0.0,0.0,4.0,190.0,56.0,15.0,2.0,0.0,9.0,4.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,26.0,41.0,43.0,36.0,8.0,3.0,12.0,0.0,2.0,65.0,12.0,53.0,8.0,0.0,1.0,19.0,1.0,19.0,13.0,0.0,21.0,5.0,17.0,2.0,1.0,0.0,0.0
5,16022940.0,48.0,15.0,0.0,10.0,0.0,18.0,30.0,59.0,29.0,4.0,12.0,44.0,54.0,31.0,4.0,2.0,12.0,0.0,82.0,0.0,5.0,56.0,7.0,0.0,0.0,8.0,18.0,4.0,1.0,3.0,3.0,0.0,4.0,24.0,19.0,12.0,8.0,13.0,14.0,10.0,41.0,37.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,16.0,24.0,2.0,1.0,54.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,3.0,11.0,11.0,16.0,7.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,12.0,6.0,0.0,0.0,2.0,1.0,19.0,16.0,5.0,10.0,1.0,24.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,38.0,9.0,19.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,14.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
6,16166657.0,168.0,5.0,0.0,34.0,18.0,0.0,28.0,12.0,126.0,1.0,15.0,7.0,49.0,40.0,31.0,0.0,14.0,0.0,146.0,0.0,8.0,172.0,4.0,0.0,0.0,8.0,17.0,12.0,1.0,14.0,2.0,12.0,4.0,29.0,47.0,16.0,67.0,59.0,24.0,6.0,132.0,26.0,45.0,2.0,30.0,14.0,13.0,0.0,1.0,24.0,93.0,9.0,0.0,85.0,113.0,11.0,10.0,78.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,37.0,8.0,1.0,0.0,10.0,37.0,70.0,88.0,1.0,4.0,0.0,39.0,104.0,1.0,49.0,1.0,69.0,1.0,17.0,0.0,0.0,7.0,66.0,45.0,41.0,9.0,11.0,21.0,8.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,29.0,39.0,24.0,79.0,18.0,14.0,2.0,2.0,0.0,2.0,12.0,12.0,59.0,6.0,0.0,1.0,26.0,3.0,74.0,4.0,1.0,63.0,3.0,2.0,1.0,2.0,13.0,0.0
7,16615248.0,55.0,0.0,0.0,5.0,30.0,28.0,0.0,10.0,31.0,7.0,4.0,4.0,40.0,21.0,4.0,0.0,16.0,0.0,52.0,0.0,8.0,41.0,2.0,7.0,0.0,3.0,14.0,2.0,0.0,3.0,5.0,0.0,4.0,25.0,201.0,7.0,12.0,16.0,13.0,9.0,37.0,37.0,6.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,12.0,1.0,0.0,23.0,25.0,5.0,2.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,2.0,10.0,15.0,20.0,5.0,1.0,0.0,4.0,4.0,0.0,9.0,1.0,11.0,4.0,4.0,0.0,0.0,1.0,22.0,17.0,8.0,5.0,5.0,14.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,33.0,8.0,21.0,2.0,5.0,0.0,1.0,0.0,0.0,3.0,2.0,20.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0
8,17730464.0,25.0,7.0,0.0,6.0,59.0,12.0,10.0,0.0,6.0,1.0,8.0,25.0,14.0,8.0,5.0,1.0,3.0,0.0,15.0,0.0,0.0,28.0,2.0,0.0,1.0,15.0,5.0,2.0,0.0,1.0,3.0,0.0,0.0,4.0,15.0,9.0,0.0,7.0,5.0,4.0,15.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,14.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,7.0,7.0,13.0,5.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,12.0,1.0,1.0,0.0,1.0,1.0,8.0,7.0,3.0,4.0,2.0,10.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,21.0,3.0,13.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,6.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26048553.0,303.0,24.0,0.0,49.0,29.0,126.0,31.0,6.0,0.0,1.0,46.0,6.0,119.0,97.0,24.0,1.0,34.0,0.0,374.0,8.0,10.0,88.0,4.0,0.0,1.0,41.0,25.0,4.0,34.0,6.0,5.0,4.0,19.0,176.0,48.0,52.0,56.0,18.0,18.0,23.0,38.0,23.0,46.0,1.0,4.0,17.0,8.0,0.0,1.0,11.0,124.0,0.0,0.0,155.0,123.0,1.0,3.0,117.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,2.0,14.0,54.0,43.0,3.0,0.0,0.0,9.0,16.0,2.0,16.0,2.0,18.0,11.0,4.0,0.0,2.0,19.0,11.0,24.0,33.0,21.0,6.0,29.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,89.0,20.0,154.0,1.0,89.0,2.0,5.0,1.0,1.0,5.0,38.0,22.0,0.0,0.0,4.0,1.0,3.0,9.0,1.0,0.0,45.0,5.0,0.0,0.0,0.0,20.0,0.0
10,26404828.0,2.0,0.0,0.0,1.0,4.0,1.0,7.0,1.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,3.0,0.0,8.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,11.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,27092533.0,92.0,8.0,0.0,5.0,12.0,15.0,4.0,8.0,46.0,0.0,0.0,1.0,43.0,53.0,8.0,6.0,14.0,0.0,43.0,4.0,2.0,24.0,4.0,0.0,0.0,71.0,8.0,4.0,3.0,0.0,2.0,0.0,7.0,50.0,14.0,4.0,10.0,4.0,8.0,6.0,10.0,17.0,10.0,0.0,3.0,7.0,7.0,0.0,1.0,4.0,11.0,1.0,0.0,19.0,31.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,5.0,15.0,28.0,2.0,0.0,0.0,2.0,2.0,0.0,12.0,0.0,6.0,4.0,1.0,0.0,0.0,3.0,7.0,9.0,17.0,3.0,2.0,19.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,22.0,3.0,19.0,2.0,51.0,5.0,0.0,1.0,0.0,1.0,22.0,11.0,0.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
12,29230161.0,6.0,7.0,0.0,7.0,44.0,7.0,4.0,25.0,6.0,2.0,1.0,0.0,5.0,3.0,0.0,1.0,4.0,0.0,13.0,0.0,0.0,9.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,2.0,26.0,3.0,10.0,1.0,8.0,11.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,29967556.0,205.0,10.0,0.0,31.0,54.0,49.0,40.0,14.0,119.0,4.0,43.0,5.0,0.0,82.0,9.0,2.0,24.0,0.0,269.0,2.0,16.0,104.0,8.0,2.0,0.0,33.0,32.0,6.0,9.0,6.0,5.0,4.0,16.0,104.0,42.0,22.0,36.0,42.0,31.0,31.0,73.0,71.0,19.0,4.0,16.0,16.0,13.0,0.0,8.0,10.0,48.0,3.0,0.0,36.0,74.0,5.0,6.0,171.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,48.0,3.0,0.0,0.0,2.0,42.0,65.0,59.0,9.0,0.0,0.0,19.0,17.0,1.0,29.0,2.0,21.0,13.0,9.0,0.0,4.0,3.0,52.0,49.0,26.0,14.0,6.0,31.0,3.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,61.0,11.0,70.0,11.0,47.0,0.0,3.0,1.0,0.0,5.0,31.0,41.0,1.0,2.0,3.0,3.0,3.0,31.0,1.0,0.0,12.0,2.0,3.0,3.0,0.0,4.0,0.0
14,31097219.0,248.0,7.0,0.0,9.0,31.0,40.0,21.0,8.0,97.0,3.0,53.0,3.0,82.0,0.0,11.0,1.0,25.0,0.0,127.0,6.0,11.0,79.0,4.0,0.0,0.0,58.0,22.0,10.0,15.0,1.0,8.0,4.0,31.0,102.0,34.0,42.0,7.0,14.0,12.0,14.0,36.0,33.0,13.0,5.0,1.0,9.0,9.0,0.0,0.0,3.0,19.0,0.0,0.0,72.0,71.0,1.0,5.0,67.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0.0,0.0,10.0,28.0,65.0,7.0,0.0,0.0,2.0,7.0,1.0,20.0,0.0,10.0,7.0,1.0,0.0,9.0,30.0,16.0,18.0,28.0,27.0,2.0,45.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,60.0,20.0,73.0,0.0,113.0,4.0,1.0,1.0,1.0,2.0,35.0,21.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,4.0,0.0
15,34920781.0,27.0,2.0,0.0,2.0,4.0,31.0,4.0,5.0,24.0,0.0,8.0,0.0,9.0,11.0,0.0,1.0,4.0,0.0,19.0,7.0,1.0,18.0,1.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,18.0,6.0,2.0,6.0,0.0,2.0,3.0,7.0,5.0,5.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,17.0,16.0,0.0,1.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,8.0,14.0,2.0,0.0,0.0,2.0,5.0,0.0,5.0,1.0,4.0,1.0,2.0,0.0,0.0,3.0,6.0,1.0,8.0,4.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,12.0,1.0,14.0,2.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
