,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,-1.0,18060557.0,24921240.0,26457380.0,31622418.0,31668901.0,34699794.0,41555288.0,43610956.0,48516077.0,48959778.0,49416159.0,49817093.0,49923648.0,52434723.0,54577514.0,59002693.0,62783007.0,67964859.0,69104195.0,74481416.0,80291509.0,84805126.0,94626353.0,96894552.0,97534492.0,98914416.0,101250325.0,101710782.0,106001054.0,109392688.0,111950228.0,112279899.0,113855131.0,115000873.0,124407978.0,126568681.0,132158439.0,140198531.0,142555961.0,145068025.0,145401113.0,150881077.0,176015466.0,196019843.0,199227570.0,210824047.0,217078361.0,225618759.0,230844017.0,234460214.0,239065881.0,244152633.0,244529400.0,244623022.0,244896607.0,245650642.0,246411237.0,247012412.0,248029247.0,248185799.0,249740668.0,253436491.0,253596281.0,254688158.0,254785112.0,257849174.0,258536563.0,260314188.0,263022323.0,266586628.0,267676613.0,268506803.0,270618254.0,272308325.0,274985804.0,275519557.0,279947636.0,283022885.0,287755830.0,288599704.0,289104235.0,290039931.0,290994539.0,293452799.0,293967375.0,294523668.0,296358688.0,296526287.0,298209264.0,301537287.0,302144631.0,306977093.0,309930491.0,311371515.0,312702669.0,314048797.0,315673304.0,316006382.0,316620374.0,344630481.0,349146547.0,353312460.0,359509980.0,366307789.0,369028288.0,370501016.0,373420192.0,377220892.0,382368139.0,383602088.0,384671106.0,396823485.0,402037439.0,405452697.0,406558256.0,409763432.0,411999037.0,412663554.0,438541165.0
1,18060557.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,6.0,4.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,1.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,4.0,3.0,2.0,10.0,2.0,14.0,1.0,3.0,29.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,1.0,6.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1.0,0.0,25.0,0.0,19.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,11.0
2,24921240.0,5.0,0.0,8.0,9.0,19.0,8.0,1.0,7.0,7.0,13.0,11.0,46.0,23.0,5.0,12.0,6.0,2.0,0.0,0.0,7.0,7.0,3.0,4.0,0.0,14.0,0.0,2.0,0.0,0.0,3.0,9.0,9.0,1.0,5.0,0.0,3.0,3.0,7.0,2.0,2.0,1.0,5.0,10.0,0.0,0.0,2.0,17.0,23.0,0.0,10.0,18.0,9.0,2.0,41.0,6.0,30.0,0.0,11.0,27.0,2.0,18.0,1.0,0.0,1.0,6.0,0.0,20.0,1.0,17.0,5.0,0.0,9.0,0.0,2.0,8.0,3.0,1.0,4.0,19.0,0.0,0.0,24.0,0.0,5.0,7.0,0.0,21.0,9.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,9.0,0.0,1.0,22.0,0.0,16.0,3.0,5.0,3.0,4.0,0.0,0.0,6.0,0.0,27.0
3,26457380.0,2.0,8.0,0.0,43.0,366.0,34.0,184.0,127.0,10.0,50.0,84.0,361.0,160.0,25.0,77.0,19.0,123.0,31.0,64.0,84.0,110.0,2.0,4.0,0.0,124.0,179.0,197.0,18.0,138.0,96.0,57.0,58.0,51.0,236.0,168.0,22.0,21.0,31.0,204.0,3.0,36.0,24.0,128.0,0.0,49.0,76.0,80.0,72.0,96.0,42.0,223.0,110.0,163.0,134.0,85.0,91.0,48.0,172.0,44.0,12.0,42.0,64.0,0.0,315.0,91.0,28.0,279.0,97.0,89.0,83.0,1.0,346.0,17.0,82.0,164.0,58.0,105.0,66.0,149.0,0.0,97.0,260.0,83.0,46.0,20.0,0.0,72.0,45.0,20.0,141.0,4.0,11.0,35.0,24.0,63.0,0.0,78.0,50.0,3.0,0.0,70.0,18.0,16.0,55.0,23.0,0.0,4.0,6.0,0.0,48.0,166.0,42.0,131.0,4.0,1.0,4.0,13.0,16.0,46.0
4,31622418.0,0.0,9.0,43.0,0.0,38.0,21.0,8.0,33.0,13.0,21.0,24.0,72.0,38.0,14.0,40.0,16.0,24.0,1.0,5.0,32.0,12.0,2.0,6.0,0.0,41.0,5.0,7.0,1.0,4.0,37.0,20.0,19.0,7.0,10.0,7.0,7.0,15.0,34.0,20.0,10.0,7.0,25.0,21.0,0.0,26.0,5.0,48.0,56.0,2.0,17.0,40.0,30.0,19.0,60.0,16.0,107.0,53.0,36.0,24.0,6.0,55.0,9.0,2.0,16.0,5.0,2.0,48.0,12.0,34.0,12.0,1.0,54.0,0.0,8.0,21.0,9.0,4.0,11.0,37.0,0.0,9.0,46.0,10.0,12.0,8.0,0.0,48.0,10.0,1.0,5.0,3.0,8.0,7.0,15.0,5.0,0.0,20.0,5.0,8.0,0.0,13.0,19.0,13.0,4.0,14.0,1.0,7.0,3.0,0.0,35.0,12.0,10.0,22.0,3.0,0.0,0.0,12.0,5.0,39.0
5,31668901.0,2.0,19.0,366.0,38.0,0.0,58.0,191.0,127.0,15.0,86.0,107.0,445.0,128.0,40.0,111.0,30.0,112.0,37.0,64.0,82.0,117.0,5.0,10.0,0.0,148.0,176.0,198.0,10.0,143.0,109.0,85.0,56.0,62.0,269.0,182.0,35.0,28.0,49.0,158.0,9.0,25.0,35.0,154.0,0.0,36.0,86.0,114.0,119.0,90.0,64.0,242.0,131.0,211.0,198.0,127.0,93.0,47.0,219.0,86.0,18.0,62.0,72.0,0.0,318.0,119.0,23.0,372.0,167.0,129.0,115.0,2.0,287.0,8.0,100.0,203.0,74.0,150.0,87.0,219.0,0.0,113.0,334.0,104.0,56.0,23.0,0.0,73.0,62.0,27.0,146.0,7.0,17.0,53.0,16.0,60.0,0.0,73.0,44.0,5.0,1.0,92.0,22.0,26.0,47.0,37.0,3.0,9.0,16.0,0.0,76.0,163.0,58.0,197.0,9.0,1.0,6.0,18.0,19.0,64.0
6,34699794.0,1.0,8.0,34.0,21.0,58.0,0.0,11.0,16.0,5.0,61.0,28.0,111.0,23.0,67.0,78.0,46.0,12.0,15.0,4.0,22.0,24.0,2.0,0.0,0.0,65.0,8.0,15.0,0.0,2.0,33.0,65.0,10.0,6.0,34.0,10.0,55.0,11.0,43.0,12.0,4.0,4.0,24.0,16.0,0.0,3.0,13.0,93.0,82.0,7.0,65.0,35.0,42.0,33.0,162.0,51.0,55.0,1.0,60.0,87.0,27.0,55.0,4.0,0.0,31.0,35.0,3.0,95.0,74.0,112.0,23.0,4.0,29.0,0.0,9.0,38.0,11.0,25.0,34.0,72.0,0.0,13.0,119.0,9.0,13.0,34.0,0.0,37.0,16.0,1.0,12.0,5.0,14.0,31.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,14.0,16.0,24.0,5.0,39.0,6.0,2.0,17.0,0.0,27.0,18.0,16.0,48.0,3.0,0.0,2.0,10.0,5.0,35.0
7,41555288.0,0.0,1.0,184.0,8.0,191.0,11.0,0.0,50.0,6.0,10.0,43.0,180.0,56.0,7.0,26.0,6.0,67.0,10.0,50.0,23.0,49.0,0.0,1.0,0.0,41.0,115.0,126.0,12.0,147.0,27.0,27.0,28.0,42.0,216.0,113.0,13.0,5.0,2.0,153.0,0.0,13.0,1.0,70.0,0.0,24.0,39.0,25.0,25.0,52.0,10.0,116.0,40.0,81.0,41.0,34.0,16.0,47.0,76.0,16.0,5.0,7.0,63.0,1.0,239.0,49.0,13.0,181.0,46.0,26.0,43.0,0.0,186.0,9.0,57.0,128.0,38.0,76.0,21.0,81.0,0.0,63.0,98.0,63.0,31.0,2.0,0.0,17.0,31.0,30.0,125.0,0.0,1.0,13.0,19.0,50.0,0.0,57.0,14.0,8.0,0.0,49.0,9.0,5.0,27.0,4.0,0.0,3.0,1.0,0.0,16.0,159.0,27.0,60.0,2.0,0.0,3.0,2.0,10.0,5.0
8,43610956.0,0.0,7.0,127.0,33.0,127.0,16.0,50.0,0.0,15.0,57.0,59.0,200.0,127.0,8.0,53.0,11.0,112.0,14.0,35.0,93.0,86.0,1.0,13.0,0.0,97.0,72.0,76.0,10.0,22.0,78.0,24.0,62.0,30.0,65.0,59.0,10.0,18.0,32.0,78.0,12.0,38.0,33.0,75.0,0.0,31.0,32.0,83.0,63.0,28.0,48.0,123.0,115.0,79.0,107.0,56.0,82.0,46.0,135.0,35.0,5.0,47.0,44.0,0.0,108.0,38.0,29.0,162.0,57.0,56.0,40.0,0.0,229.0,2.0,53.0,67.0,38.0,40.0,59.0,93.0,0.0,47.0,151.0,51.0,24.0,18.0,0.0,74.0,31.0,8.0,49.0,0.0,8.0,32.0,7.0,48.0,0.0,23.0,53.0,2.0,2.0,49.0,15.0,10.0,50.0,26.0,0.0,10.0,5.0,0.0,64.0,61.0,29.0,97.0,5.0,1.0,1.0,8.0,9.0,42.0
9,48516077.0,2.0,7.0,10.0,13.0,15.0,5.0,6.0,15.0,0.0,18.0,7.0,26.0,17.0,2.0,6.0,2.0,11.0,1.0,1.0,8.0,6.0,2.0,8.0,0.0,12.0,2.0,2.0,0.0,1.0,7.0,6.0,15.0,2.0,2.0,0.0,6.0,5.0,10.0,4.0,0.0,5.0,9.0,17.0,0.0,0.0,1.0,24.0,17.0,1.0,10.0,20.0,20.0,4.0,25.0,4.0,19.0,1.0,12.0,14.0,1.0,14.0,0.0,0.0,4.0,1.0,1.0,19.0,3.0,9.0,4.0,0.0,35.0,0.0,2.0,5.0,2.0,1.0,1.0,18.0,0.0,2.0,16.0,4.0,6.0,5.0,0.0,18.0,8.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,1.0,8.0,0.0,2.0,3.0,0.0,17.0,9.0,6.0,4.0,1.0,0.0,0.0,4.0,1.0,17.0
