,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
0,-1.0,2797701.0,14538960.0,15236350.0,15486485.0,15968617.0,16093403.0,16151235.0,16959340.0,18594520.0,18609566.0,19712559.0,20644763.0,20791292.0,21485514.0,21751900.0,21985529.0,22195472.0,22764187.0,41224717.0,41330546.0,41560467.0,43282075.0,43846591.0,43995095.0,46358909.0,48495906.0,49388157.0,49541109.0,53223847.0,53507617.0,53554114.0,55837229.0,57166994.0,58711646.0,59835403.0,80293889.0,96894552.0,99197604.0,100118234.0,101250325.0,101457389.0,103247646.0,104900245.0,105580789.0,106311646.0,107736469.0,109982213.0,125797024.0,132158439.0,136588759.0,150413331.0,150881077.0,151058995.0,157434563.0,159167229.0,161863994.0,174266535.0,177002568.0,185467042.0,189806241.0,191761809.0,192477353.0,197509029.0,199211047.0,211390583.0,225423130.0,225618759.0,226590372.0,230920600.0,238367325.0,245059632.0,246442148.0,246875675.0,247733964.0,252258284.0,254640843.0,258536563.0,260656699.0,261885661.0,261905897.0,263022323.0,266562398.0,267822363.0,268529448.0,269296241.0,270622245.0,270934983.0,271791007.0,272937332.0,274982664.0,276669698.0,279947636.0,280522436.0,281930659.0,282259323.0,283022885.0,287755830.0,288599704.0,289104235.0,290039931.0,290751321.0,290840403.0,292999669.0,295878517.0,296358688.0,302144631.0,306380299.0,313379422.0,313799444.0,315474461.0,317268919.0,317401345.0,327844651.0,329409390.0,349146547.0,359174134.0,362973396.0,368712590.0,369028288.0,370501016.0,371026175.0,373157754.0,374225825.0,385135079.0,387368241.0,388466657.0,402037439.0,405452697.0,412663554.0,425840443.0,428140124.0,428463995.0,432922414.0
1,2797701.0,0.0,0.0,0.0,122.0,40.0,8.0,7.0,2.0,16.0,0.0,4.0,0.0,47.0,9.0,0.0,3.0,17.0,40.0,4.0,3.0,11.0,10.0,8.0,8.0,11.0,30.0,85.0,0.0,33.0,9.0,0.0,4.0,1.0,29.0,3.0,1.0,0.0,22.0,11.0,4.0,12.0,12.0,12.0,1.0,5.0,15.0,103.0,25.0,8.0,1.0,1.0,47.0,22.0,0.0,0.0,44.0,5.0,67.0,0.0,31.0,12.0,120.0,11.0,0.0,12.0,26.0,34.0,41.0,0.0,51.0,14.0,11.0,7.0,18.0,8.0,4.0,26.0,5.0,44.0,4.0,29.0,1.0,27.0,20.0,11.0,6.0,0.0,5.0,1.0,38.0,30.0,3.0,8.0,0.0,0.0,14.0,20.0,0.0,1.0,31.0,7.0,10.0,0.0,1.0,12.0,4.0,5.0,24.0,52.0,14.0,5.0,47.0,0.0,2.0,6.0,2.0,45.0,5.0,64.0,3.0,2.0,7.0,0.0,7.0,4.0,14.0,10.0,2.0,0.0,8.0,8.0,0.0,2.0
2,14538960.0,0.0,0.0,1.0,15.0,10.0,8.0,3.0,5.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,10.0,4.0,7.0,2.0,5.0,1.0,5.0,0.0,3.0,6.0,4.0,15.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,6.0,3.0,0.0,7.0,9.0,11.0,7.0,5.0,4.0,12.0,2.0,2.0,0.0,2.0,8.0,4.0,2.0,0.0,13.0,0.0,12.0,0.0,4.0,5.0,22.0,0.0,0.0,4.0,7.0,6.0,9.0,0.0,10.0,4.0,3.0,2.0,2.0,3.0,2.0,8.0,2.0,7.0,3.0,9.0,0.0,12.0,2.0,2.0,2.0,0.0,5.0,1.0,8.0,10.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,9.0,1.0,1.0,0.0,5.0,6.0,0.0,2.0,8.0,1.0,3.0,2.0,9.0,0.0,2.0,2.0,5.0,9.0,0.0,7.0,0.0,5.0,2.0,0.0,2.0,2.0,5.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0
3,15236350.0,0.0,1.0,0.0,34.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,23.0,0.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,8.0,4.0,1.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,9.0,0.0,2.0,6.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,8.0,0.0,6.0,2.0,5.0,1.0,0.0,1.0,8.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,2.0,4.0,0.0,2.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,4.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
4,15486485.0,122.0,15.0,34.0,0.0,643.0,239.0,53.0,110.0,56.0,2.0,4.0,23.0,219.0,143.0,1.0,65.0,212.0,149.0,115.0,32.0,64.0,101.0,0.0,11.0,268.0,356.0,999.0,5.0,121.0,23.0,6.0,28.0,15.0,377.0,57.0,9.0,0.0,234.0,136.0,25.0,57.0,194.0,326.0,239.0,40.0,109.0,574.0,259.0,89.0,11.0,11.0,247.0,430.0,49.0,0.0,672.0,26.0,569.0,0.0,714.0,82.0,1230.0,30.0,1.0,185.0,193.0,384.0,517.0,0.0,459.0,97.0,99.0,75.0,111.0,48.0,150.0,184.0,29.0,430.0,33.0,410.0,1.0,242.0,201.0,48.0,42.0,0.0,202.0,74.0,277.0,147.0,29.0,59.0,0.0,0.0,128.0,155.0,0.0,25.0,306.0,42.0,61.0,7.0,53.0,208.0,38.0,33.0,210.0,56.0,88.0,61.0,308.0,3.0,55.0,36.0,47.0,429.0,10.0,255.0,4.0,25.0,123.0,6.0,50.0,181.0,74.0,166.0,132.0,9.0,10.0,120.0,9.0,22.0
5,15968617.0,40.0,10.0,3.0,643.0,0.0,107.0,40.0,38.0,20.0,1.0,0.0,9.0,107.0,100.0,0.0,36.0,107.0,101.0,74.0,33.0,38.0,97.0,9.0,9.0,147.0,262.0,1743.0,5.0,88.0,10.0,3.0,30.0,9.0,260.0,9.0,11.0,0.0,214.0,84.0,26.0,35.0,264.0,148.0,59.0,69.0,85.0,255.0,151.0,49.0,9.0,3.0,114.0,154.0,27.0,0.0,428.0,26.0,475.0,0.0,635.0,79.0,1491.0,29.0,0.0,111.0,108.0,273.0,233.0,0.0,206.0,99.0,90.0,67.0,404.0,38.0,108.0,175.0,19.0,314.0,21.0,410.0,4.0,202.0,131.0,44.0,37.0,0.0,73.0,55.0,224.0,87.0,33.0,57.0,0.0,0.0,90.0,149.0,0.0,20.0,279.0,33.0,77.0,7.0,9.0,187.0,9.0,22.0,106.0,52.0,82.0,35.0,229.0,0.0,32.0,37.0,21.0,251.0,7.0,169.0,3.0,19.0,51.0,0.0,33.0,240.0,77.0,145.0,16.0,9.0,5.0,107.0,6.0,22.0
6,16093403.0,8.0,8.0,3.0,239.0,107.0,0.0,25.0,28.0,8.0,1.0,0.0,4.0,44.0,36.0,1.0,19.0,36.0,35.0,29.0,14.0,21.0,28.0,1.0,5.0,39.0,56.0,156.0,2.0,7.0,0.0,0.0,7.0,4.0,82.0,5.0,8.0,0.0,64.0,34.0,8.0,15.0,78.0,66.0,40.0,14.0,27.0,85.0,28.0,11.0,3.0,1.0,25.0,48.0,14.0,0.0,161.0,11.0,106.0,0.0,108.0,16.0,170.0,4.0,1.0,61.0,36.0,95.0,121.0,0.0,58.0,11.0,28.0,27.0,5.0,21.0,41.0,55.0,8.0,97.0,13.0,83.0,1.0,62.0,34.0,22.0,17.0,0.0,47.0,16.0,61.0,43.0,7.0,14.0,0.0,0.0,21.0,44.0,0.0,10.0,61.0,11.0,15.0,1.0,10.0,67.0,1.0,4.0,32.0,3.0,20.0,18.0,72.0,2.0,21.0,14.0,11.0,74.0,2.0,28.0,0.0,10.0,4.0,0.0,21.0,31.0,29.0,35.0,19.0,6.0,2.0,24.0,4.0,4.0
7,16151235.0,7.0,3.0,3.0,53.0,40.0,25.0,0.0,6.0,2.0,0.0,0.0,0.0,21.0,16.0,0.0,6.0,18.0,21.0,19.0,11.0,7.0,15.0,0.0,5.0,16.0,19.0,63.0,3.0,1.0,0.0,0.0,4.0,1.0,15.0,1.0,5.0,0.0,32.0,13.0,3.0,10.0,41.0,28.0,14.0,11.0,18.0,31.0,13.0,9.0,1.0,1.0,11.0,11.0,5.0,0.0,44.0,10.0,34.0,0.0,20.0,11.0,63.0,2.0,0.0,17.0,38.0,33.0,46.0,0.0,16.0,3.0,14.0,15.0,2.0,10.0,19.0,37.0,1.0,41.0,14.0,25.0,0.0,27.0,5.0,11.0,9.0,0.0,8.0,14.0,27.0,12.0,4.0,6.0,0.0,0.0,2.0,25.0,0.0,3.0,27.0,7.0,8.0,1.0,4.0,25.0,4.0,1.0,18.0,0.0,11.0,5.0,37.0,0.0,4.0,14.0,5.0,22.0,2.0,16.0,1.0,9.0,2.0,0.0,11.0,19.0,17.0,9.0,3.0,1.0,1.0,8.0,2.0,1.0
8,16959340.0,2.0,5.0,2.0,110.0,38.0,28.0,6.0,0.0,3.0,0.0,0.0,1.0,8.0,5.0,0.0,10.0,0.0,12.0,1.0,3.0,2.0,9.0,0.0,2.0,6.0,15.0,117.0,1.0,5.0,0.0,1.0,2.0,0.0,19.0,10.0,0.0,0.0,9.0,3.0,3.0,6.0,59.0,91.0,70.0,2.0,1.0,28.0,7.0,3.0,1.0,1.0,3.0,4.0,2.0,0.0,35.0,0.0,9.0,0.0,39.0,5.0,69.0,4.0,0.0,49.0,2.0,18.0,9.0,0.0,14.0,8.0,3.0,4.0,3.0,0.0,17.0,8.0,3.0,14.0,2.0,30.0,0.0,8.0,10.0,5.0,1.0,0.0,38.0,2.0,10.0,6.0,3.0,3.0,0.0,0.0,6.0,8.0,0.0,2.0,20.0,5.0,3.0,0.0,8.0,10.0,1.0,3.0,5.0,1.0,6.0,4.0,12.0,0.0,22.0,0.0,6.0,21.0,2.0,19.0,0.0,5.0,7.0,1.0,1.0,13.0,4.0,7.0,16.0,0.0,1.0,1.0,0.0,5.0
9,18594520.0,16.0,3.0,1.0,56.0,20.0,8.0,2.0,3.0,0.0,0.0,2.0,0.0,25.0,18.0,0.0,6.0,13.0,24.0,10.0,2.0,10.0,8.0,0.0,2.0,5.0,16.0,21.0,0.0,2.0,1.0,0.0,5.0,0.0,21.0,1.0,1.0,0.0,18.0,9.0,4.0,10.0,8.0,14.0,8.0,6.0,7.0,52.0,18.0,2.0,0.0,3.0,33.0,28.0,2.0,0.0,31.0,3.0,19.0,0.0,21.0,10.0,31.0,7.0,0.0,13.0,12.0,29.0,46.0,0.0,38.0,10.0,15.0,6.0,0.0,16.0,4.0,28.0,3.0,37.0,4.0,15.0,0.0,36.0,23.0,5.0,4.0,0.0,7.0,7.0,12.0,18.0,5.0,11.0,0.0,0.0,7.0,13.0,0.0,4.0,23.0,3.0,7.0,0.0,3.0,22.0,5.0,5.0,17.0,0.0,13.0,8.0,30.0,0.0,5.0,11.0,4.0,23.0,5.0,38.0,2.0,9.0,4.0,0.0,7.0,2.0,17.0,16.0,4.0,1.0,3.0,10.0,0.0,2.0
