,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,-1.0,11277572.0,14749971.0,18607210.0,21993481.0,22240612.0,32841180.0,37593470.0,42332041.0,46441095.0,52696957.0,72286165.0,80473367.0,89179715.0,94647128.0,98724873.0,117482917.0,150121038.0,165404712.0,192534012.0,194008664.0,210824047.0,217078361.0,217207174.0,240401589.0,241314646.0,244646001.0,246194449.0,246223044.0,246698340.0,247494866.0,253512128.0,254181639.0,254397078.0,258047934.0,260258650.0,262320091.0,263937073.0,264649934.0,269348194.0,270626776.0,272259832.0,273325600.0,278440078.0,283718439.0,285115375.0,294017046.0,294238829.0,295123952.0,298112519.0,302144631.0,305787501.0,306904326.0,310769612.0,317262357.0,317713433.0,321539119.0,328933147.0,336076027.0,336185509.0,339474731.0,343657212.0,353318286.0,369028288.0,369171106.0,375451125.0,382368139.0,383602088.0,402037439.0,405957127.0,412282117.0,424069162.0,424822889.0,425840443.0
1,11277572.0,0.0,29.0,5.0,1.0,0.0,32.0,11.0,13.0,6.0,15.0,18.0,23.0,5.0,0.0,0.0,14.0,1.0,8.0,5.0,7.0,0.0,30.0,5.0,25.0,14.0,15.0,4.0,0.0,4.0,2.0,8.0,23.0,1.0,2.0,1.0,23.0,3.0,1.0,0.0,2.0,14.0,0.0,18.0,5.0,1.0,0.0,0.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3.0,0.0,32.0,3.0,144.0,0.0,37.0,0.0,31.0,3.0,3.0,2.0,5.0,6.0,7.0
2,14749971.0,29.0,0.0,4.0,40.0,4.0,36.0,208.0,17.0,462.0,206.0,25.0,302.0,209.0,0.0,3.0,94.0,30.0,125.0,11.0,144.0,30.0,237.0,140.0,47.0,284.0,102.0,143.0,17.0,72.0,35.0,22.0,259.0,20.0,157.0,61.0,13.0,30.0,51.0,33.0,39.0,21.0,44.0,148.0,6.0,10.0,19.0,9.0,155.0,17.0,36.0,0.0,2.0,46.0,1.0,15.0,91.0,47.0,53.0,59.0,14.0,20.0,34.0,170.0,0.0,66.0,0.0,120.0,217.0,9.0,4.0,49.0,5.0,5.0
3,18607210.0,5.0,4.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,3.0,1.0,8.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,0.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,12.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
4,21993481.0,1.0,40.0,2.0,0.0,0.0,6.0,13.0,4.0,29.0,27.0,4.0,39.0,15.0,0.0,0.0,5.0,2.0,122.0,4.0,17.0,3.0,39.0,11.0,6.0,31.0,17.0,8.0,0.0,1.0,2.0,5.0,20.0,3.0,8.0,5.0,3.0,4.0,4.0,3.0,6.0,2.0,0.0,18.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,7.0,10.0,0.0,0.0,8.0,13.0,0.0,2.0,0.0,18.0,15.0,3.0,2.0,12.0,1.0,2.0
5,22240612.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
6,32841180.0,32.0,36.0,2.0,6.0,0.0,0.0,98.0,45.0,19.0,40.0,53.0,24.0,24.0,0.0,2.0,29.0,4.0,44.0,2.0,10.0,5.0,44.0,8.0,60.0,29.0,22.0,4.0,1.0,5.0,106.0,20.0,31.0,3.0,5.0,2.0,11.0,3.0,2.0,2.0,2.0,9.0,0.0,22.0,3.0,26.0,0.0,0.0,2.0,1.0,16.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,52.0,4.0,0.0,44.0,2.0,137.0,0.0,30.0,0.0,23.0,4.0,8.0,9.0,6.0,5.0,3.0
7,37593470.0,11.0,208.0,3.0,13.0,0.0,98.0,0.0,27.0,96.0,171.0,19.0,211.0,178.0,0.0,1.0,88.0,0.0,93.0,4.0,65.0,11.0,220.0,30.0,47.0,29.0,18.0,20.0,0.0,21.0,60.0,22.0,32.0,3.0,24.0,3.0,5.0,5.0,0.0,2.0,5.0,6.0,1.0,29.0,3.0,41.0,0.0,0.0,9.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,36.0,3.0,0.0,22.0,3.0,128.0,0.0,29.0,0.0,42.0,126.0,7.0,6.0,13.0,3.0,2.0
8,42332041.0,13.0,17.0,1.0,4.0,0.0,45.0,27.0,0.0,7.0,19.0,15.0,19.0,3.0,0.0,0.0,13.0,0.0,15.0,4.0,5.0,1.0,13.0,8.0,13.0,10.0,8.0,2.0,0.0,3.0,21.0,11.0,11.0,1.0,3.0,1.0,6.0,4.0,2.0,1.0,2.0,5.0,0.0,14.0,4.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,23.0,4.0,0.0,5.0,2.0,314.0,0.0,8.0,0.0,18.0,4.0,3.0,2.0,7.0,2.0,2.0
9,46441095.0,6.0,462.0,0.0,29.0,5.0,19.0,96.0,7.0,0.0,108.0,11.0,191.0,127.0,0.0,2.0,55.0,29.0,103.0,5.0,95.0,15.0,181.0,57.0,24.0,165.0,72.0,57.0,14.0,52.0,31.0,19.0,141.0,11.0,73.0,33.0,4.0,25.0,31.0,19.0,24.0,7.0,18.0,89.0,3.0,6.0,7.0,8.0,47.0,10.0,9.0,0.0,2.0,32.0,1.0,11.0,55.0,30.0,22.0,48.0,10.0,6.0,28.0,70.0,0.0,16.0,0.0,63.0,115.0,4.0,6.0,45.0,3.0,5.0
