,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,-1.0,11277572.0,16046588.0,17243582.0,18447907.0,24265642.0,41432870.0,48984831.0,51967057.0,55837229.0,71516564.0,97534492.0,102490561.0,104900245.0,177561786.0,194677466.0,230844017.0,235252116.0,235653027.0,247535605.0,251196980.0,253204705.0,255408158.0,258536563.0,267088381.0,269031038.0,269894344.0,269927326.0,270762885.0,284955639.0,290039931.0,290994539.0,295125390.0,296891403.0,298298729.0,316144548.0,323559063.0,328933147.0,344638727.0,359179176.0,362973396.0,371734648.0,375451125.0,414270817.0,446905411.0
1,11277572.0,0.0,13.0,11.0,45.0,10.0,7.0,5.0,0.0,1.0,8.0,7.0,0.0,16.0,6.0,1.0,0.0,0.0,0.0,7.0,0.0,8.0,3.0,14.0,1.0,1.0,1.0,1.0,1.0,7.0,10.0,0.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,2.0,20.0,0.0,37.0,2.0,0.0
2,16046588.0,13.0,0.0,186.0,89.0,64.0,145.0,20.0,0.0,18.0,6.0,76.0,0.0,47.0,39.0,10.0,12.0,0.0,0.0,60.0,11.0,31.0,33.0,85.0,28.0,11.0,23.0,7.0,19.0,36.0,76.0,19.0,18.0,17.0,0.0,4.0,5.0,0.0,2.0,11.0,78.0,6.0,7.0,16.0,0.0
3,17243582.0,11.0,186.0,0.0,97.0,181.0,524.0,29.0,0.0,21.0,13.0,185.0,2.0,63.0,219.0,11.0,35.0,0.0,0.0,102.0,13.0,35.0,37.0,182.0,97.0,22.0,34.0,33.0,34.0,342.0,259.0,34.0,45.0,9.0,0.0,5.0,11.0,1.0,5.0,17.0,182.0,4.0,12.0,34.0,0.0
4,18447907.0,45.0,89.0,97.0,0.0,110.0,89.0,54.0,0.0,12.0,22.0,75.0,1.0,116.0,44.0,19.0,2.0,0.0,0.0,73.0,4.0,37.0,22.0,100.0,12.0,6.0,32.0,8.0,29.0,42.0,91.0,8.0,21.0,36.0,1.0,0.0,15.0,2.0,2.0,12.0,129.0,8.0,15.0,35.0,0.0
5,24265642.0,10.0,64.0,181.0,110.0,0.0,98.0,31.0,0.0,7.0,15.0,88.0,1.0,30.0,59.0,6.0,10.0,0.0,0.0,61.0,2.0,26.0,19.0,73.0,17.0,5.0,32.0,7.0,31.0,74.0,86.0,9.0,23.0,14.0,0.0,0.0,32.0,0.0,1.0,14.0,83.0,2.0,12.0,24.0,0.0
6,41432870.0,7.0,145.0,524.0,89.0,98.0,0.0,24.0,0.0,13.0,9.0,53.0,0.0,89.0,49.0,4.0,6.0,0.0,0.0,72.0,2.0,13.0,29.0,96.0,6.0,3.0,30.0,4.0,22.0,59.0,85.0,5.0,18.0,29.0,1.0,2.0,6.0,0.0,1.0,13.0,90.0,6.0,3.0,44.0,0.0
7,48984831.0,5.0,20.0,29.0,54.0,31.0,24.0,0.0,0.0,10.0,13.0,22.0,0.0,21.0,16.0,8.0,2.0,0.0,0.0,28.0,4.0,17.0,17.0,43.0,8.0,4.0,13.0,2.0,14.0,7.0,47.0,5.0,9.0,13.0,1.0,1.0,5.0,1.0,0.0,12.0,40.0,1.0,6.0,17.0,0.0
8,51967057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,55837229.0,1.0,18.0,21.0,12.0,7.0,13.0,10.0,0.0,0.0,3.0,43.0,1.0,10.0,5.0,2.0,45.0,0.0,0.0,13.0,113.0,7.0,47.0,189.0,66.0,87.0,1.0,3.0,39.0,1.0,122.0,57.0,10.0,0.0,0.0,2.0,7.0,6.0,12.0,30.0,14.0,0.0,2.0,7.0,0.0
10,71516564.0,8.0,6.0,13.0,22.0,15.0,9.0,13.0,0.0,3.0,0.0,18.0,0.0,15.0,9.0,3.0,1.0,0.0,0.0,15.0,1.0,10.0,4.0,26.0,1.0,2.0,8.0,3.0,12.0,7.0,12.0,2.0,8.0,4.0,1.0,0.0,9.0,4.0,4.0,3.0,15.0,2.0,13.0,10.0,0.0
11,97534492.0,7.0,76.0,185.0,75.0,88.0,53.0,22.0,0.0,43.0,18.0,0.0,1.0,39.0,76.0,14.0,50.0,0.0,0.0,69.0,38.0,37.0,60.0,194.0,133.0,41.0,24.0,34.0,54.0,72.0,319.0,53.0,69.0,14.0,3.0,4.0,14.0,5.0,5.0,28.0,121.0,6.0,11.0,18.0,0.0
12,102490561.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,42.0,2.0,0.0,0.0,0.0,1.0,0.0
13,104900245.0,16.0,47.0,63.0,116.0,30.0,89.0,21.0,0.0,10.0,15.0,39.0,1.0,0.0,20.0,15.0,2.0,0.0,0.0,62.0,2.0,21.0,24.0,58.0,3.0,4.0,15.0,5.0,10.0,126.0,56.0,2.0,11.0,15.0,2.0,0.0,4.0,2.0,0.0,10.0,96.0,3.0,13.0,25.0,0.0
14,177561786.0,6.0,39.0,219.0,44.0,59.0,49.0,16.0,0.0,5.0,9.0,76.0,1.0,20.0,0.0,3.0,24.0,0.0,0.0,51.0,7.0,22.0,15.0,73.0,50.0,4.0,12.0,9.0,8.0,102.0,96.0,7.0,35.0,10.0,1.0,1.0,10.0,0.0,1.0,8.0,76.0,2.0,12.0,8.0,0.0
15,194677466.0,1.0,10.0,11.0,19.0,6.0,4.0,8.0,0.0,2.0,3.0,14.0,0.0,15.0,3.0,0.0,1.0,0.0,0.0,10.0,1.0,5.0,3.0,14.0,3.0,1.0,6.0,1.0,1.0,4.0,19.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,1.0,10.0,0.0
