,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0,-1.0,14216583.0,20285223.0,27277336.0,34903105.0,38817113.0,49019128.0,53726295.0,57166994.0,63831819.0,68492468.0,70757523.0,85878730.0,97446183.0,97752537.0,98310966.0,101250325.0,103303369.0,103591569.0,106311646.0,113855131.0,131853211.0,132158439.0,150307113.0,156277913.0,157008437.0,166350461.0,176015466.0,193802516.0,207194384.0,210824047.0,215267228.0,229364623.0,232663395.0,241314646.0,243368411.0,243671182.0,247672324.0,247863100.0,253436491.0,253804764.0,254688158.0,254766784.0,259337896.0,270762885.0,271397016.0,271428783.0,272308325.0,272323854.0,274937626.0,281563592.0,281669464.0,285094191.0,287709447.0,289513787.0,291694790.0,292655292.0,292700867.0,292701683.0,292702777.0,292703780.0,293550520.0,295342500.0,298110296.0,302225899.0,303073117.0,304008017.0,304993789.0,305646820.0,307251688.0,308082090.0,309296874.0,312702669.0,313828135.0,314048797.0,319763766.0,326452920.0,328925471.0,330573001.0,339071633.0,342626800.0,346760056.0,348741039.0,352800057.0,355897168.0,357807943.0,359924816.0,361422375.0,362737922.0,367642701.0,367857650.0,369394266.0,370247548.0,370501016.0,373216805.0,384264924.0,396449208.0,405030459.0,415028754.0,418992848.0,431365565.0,431786594.0,434432803.0,439386662.0,440344735.0,440382722.0,441155820.0
1,14216583.0,0.0,6.0,27.0,17.0,16.0,20.0,25.0,1.0,3.0,5.0,7.0,10.0,3.0,36.0,8.0,26.0,0.0,0.0,25.0,10.0,14.0,7.0,48.0,68.0,38.0,1.0,50.0,88.0,3.0,9.0,14.0,14.0,25.0,51.0,0.0,62.0,11.0,1.0,14.0,192.0,54.0,1.0,0.0,30.0,29.0,70.0,12.0,3.0,41.0,22.0,16.0,0.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,1.0,25.0,17.0,20.0,4.0,9.0,1.0,4.0,32.0,4.0,0.0,22.0,16.0,35.0,11.0,5.0,0.0,1.0,24.0,0.0,30.0,14.0,38.0,31.0,18.0,6.0,7.0,0.0,22.0,0.0,13.0,22.0,9.0,17.0,2.0,1.0,31.0,42.0,2.0,2.0,10.0,8.0,20.0
2,20285223.0,6.0,0.0,24.0,2.0,6.0,1.0,10.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,27.0,16.0,0.0,0.0,9.0,1.0,3.0,3.0,14.0,40.0,12.0,1.0,20.0,17.0,0.0,7.0,2.0,0.0,39.0,4.0,0.0,18.0,1.0,0.0,1.0,0.0,50.0,2.0,0.0,10.0,6.0,12.0,4.0,0.0,22.0,0.0,19.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,26.0,5.0,0.0,4.0,1.0,0.0,1.0,0.0,29.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0
3,27277336.0,27.0,24.0,0.0,18.0,20.0,20.0,80.0,2.0,9.0,9.0,9.0,10.0,3.0,18.0,29.0,75.0,0.0,0.0,52.0,24.0,24.0,11.0,44.0,88.0,22.0,3.0,45.0,63.0,3.0,33.0,3.0,5.0,92.0,39.0,1.0,73.0,9.0,1.0,23.0,14.0,110.0,6.0,2.0,37.0,25.0,56.0,37.0,6.0,53.0,7.0,23.0,0.0,111.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,8.0,58.0,55.0,4.0,7.0,1.0,3.0,20.0,1.0,0.0,56.0,67.0,14.0,8.0,3.0,3.0,2.0,8.0,1.0,66.0,22.0,33.0,11.0,38.0,4.0,10.0,0.0,45.0,4.0,9.0,18.0,27.0,23.0,6.0,6.0,7.0,20.0,9.0,1.0,4.0,24.0,29.0
4,34903105.0,17.0,2.0,18.0,0.0,8.0,14.0,22.0,1.0,13.0,9.0,33.0,8.0,1.0,20.0,13.0,9.0,0.0,0.0,38.0,8.0,3.0,79.0,13.0,11.0,20.0,29.0,44.0,99.0,4.0,10.0,32.0,6.0,38.0,27.0,2.0,40.0,7.0,5.0,12.0,9.0,13.0,1.0,2.0,24.0,4.0,25.0,13.0,10.0,46.0,2.0,38.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,10.0,12.0,6.0,7.0,7.0,1.0,1.0,9.0,1.0,0.0,36.0,4.0,6.0,11.0,1.0,1.0,2.0,1.0,1.0,17.0,1.0,23.0,14.0,9.0,1.0,8.0,0.0,8.0,1.0,1.0,8.0,6.0,13.0,3.0,2.0,11.0,5.0,10.0,0.0,2.0,6.0,13.0
5,38817113.0,16.0,6.0,20.0,8.0,0.0,27.0,35.0,0.0,3.0,2.0,1.0,5.0,4.0,14.0,7.0,36.0,0.0,0.0,25.0,13.0,32.0,5.0,43.0,47.0,60.0,1.0,32.0,8.0,4.0,9.0,4.0,5.0,34.0,20.0,0.0,46.0,10.0,0.0,12.0,21.0,50.0,3.0,1.0,24.0,28.0,41.0,20.0,0.0,23.0,10.0,6.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,27.0,34.0,3.0,5.0,3.0,2.0,25.0,0.0,0.0,13.0,23.0,13.0,4.0,6.0,6.0,0.0,13.0,0.0,43.0,14.0,33.0,10.0,32.0,4.0,4.0,0.0,32.0,0.0,9.0,18.0,16.0,20.0,9.0,2.0,2.0,25.0,3.0,0.0,12.0,12.0,14.0
6,49019128.0,20.0,1.0,20.0,14.0,27.0,0.0,46.0,0.0,4.0,4.0,4.0,26.0,60.0,38.0,13.0,22.0,0.0,0.0,28.0,12.0,7.0,7.0,155.0,25.0,69.0,1.0,32.0,32.0,10.0,5.0,12.0,42.0,40.0,33.0,0.0,106.0,8.0,0.0,20.0,27.0,54.0,0.0,1.0,36.0,16.0,52.0,27.0,1.0,30.0,40.0,31.0,0.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,9.0,13.0,29.0,21.0,6.0,7.0,10.0,3.0,40.0,1.0,0.0,16.0,6.0,62.0,12.0,13.0,67.0,0.0,46.0,4.0,37.0,13.0,42.0,35.0,28.0,10.0,7.0,0.0,23.0,0.0,11.0,103.0,9.0,63.0,68.0,1.0,7.0,222.0,4.0,3.0,11.0,9.0,22.0
7,53726295.0,25.0,10.0,80.0,22.0,35.0,46.0,0.0,1.0,10.0,5.0,5.0,28.0,13.0,32.0,26.0,115.0,0.0,0.0,89.0,45.0,49.0,11.0,129.0,119.0,57.0,1.0,56.0,70.0,5.0,43.0,8.0,19.0,142.0,44.0,1.0,152.0,13.0,8.0,62.0,45.0,181.0,11.0,0.0,71.0,43.0,118.0,69.0,1.0,85.0,22.0,32.0,0.0,108.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,7.0,107.0,111.0,4.0,16.0,5.0,8.0,52.0,1.0,0.0,66.0,70.0,36.0,15.0,12.0,7.0,5.0,19.0,6.0,110.0,45.0,82.0,39.0,110.0,11.0,23.0,0.0,111.0,1.0,15.0,59.0,67.0,47.0,17.0,6.0,13.0,72.0,12.0,1.0,12.0,37.0,54.0
8,57166994.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
9,63831819.0,3.0,3.0,9.0,13.0,3.0,4.0,10.0,0.0,0.0,4.0,3.0,1.0,2.0,11.0,13.0,6.0,0.0,0.0,6.0,3.0,2.0,1.0,10.0,4.0,11.0,0.0,9.0,17.0,0.0,1.0,14.0,1.0,15.0,22.0,0.0,9.0,3.0,1.0,3.0,4.0,9.0,1.0,3.0,3.0,0.0,5.0,3.0,17.0,5.0,0.0,2.0,0.0,10.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,11.0,9.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,1.0,3.0,6.0,3.0,2.0,4.0,0.0,2.0,27.0,0.0,4.0,2.0,5.0,7.0,0.0,2.0,3.0,23.0,0.0,0.0,3.0,6.0
