,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
0,-1.0,15089713.0,17588396.0,19712795.0,24265642.0,25161342.0,26718847.0,30021860.0,36362431.0,41104285.0,41776893.0,43582896.0,46751760.0,47950082.0,48315317.0,49147239.0,49297634.0,50594829.0,51136312.0,51792690.0,52842945.0,52915212.0,60568628.0,61375366.0,65766056.0,68462641.0,69112176.0,71365276.0,72811408.0,74481416.0,79082506.0,80045234.0,80791048.0,83450668.0,87373109.0,90912957.0,105625903.0,107989214.0,109392688.0,111128133.0,114909490.0,116496187.0,116644138.0,121203411.0,122639737.0,145226468.0,158220514.0,160808011.0,163746980.0,178073925.0,180919339.0,189865768.0,196556403.0,199265518.0,202047364.0,210824047.0,211114567.0,212461192.0,227452005.0,227849231.0,231461439.0,231884535.0,235047393.0,238152760.0,238169051.0,240054584.0,240864395.0,241314646.0,243268082.0,243997708.0,244001839.0,244636039.0,246223044.0,247480780.0,247502072.0,248185799.0,249611805.0,250387966.0,250722457.0,251158349.0,252462974.0,253413650.0,253434712.0,254460428.0,254513164.0,255056286.0,255946453.0,256636470.0,259105109.0,260158753.0,260258650.0,260436196.0,260509865.0,262067630.0,262810565.0,263225101.0,263871572.0,264178578.0,265304046.0,267021042.0,270048215.0,270934983.0,271397016.0,272008601.0,272344012.0,273769880.0,274246546.0,274937626.0,278249335.0,278893978.0,278914984.0,279769034.0,280762205.0,283103568.0,283640491.0,283700262.0,286297542.0,286712696.0,288027087.0,288757838.0,288952005.0,291869142.0,294859049.0,295366074.0,298298729.0,298497667.0,299199516.0,300547922.0,302631262.0,304280606.0,305710779.0,305907724.0,306088103.0,306118544.0,306573205.0,310769612.0,312089728.0,312861587.0,314115214.0,315993982.0,317016005.0,318523147.0,318897590.0,321539119.0,321941220.0,322281109.0,325604225.0,328359889.0,328933147.0,335808029.0,336622675.0,339787526.0,341613232.0,343774331.0,344061836.0,348482502.0,352957928.0,354081262.0,354178121.0,356769726.0,358275801.0,361947583.0,362578130.0,364147931.0,369258697.0,373412121.0,376727399.0,377845302.0,384120146.0,384136892.0,385090839.0,387150138.0,387346317.0,394694673.0,395517232.0,402587662.0,405766673.0,407242040.0,407339525.0,408554407.0,415681188.0,416903261.0,427111253.0,430313507.0,434334403.0,434689597.0,435194160.0,437651082.0,438840364.0,440363465.0,441155820.0
1,15089713.0,0.0,1.0,10.0,9.0,8.0,11.0,1.0,3.0,3.0,9.0,0.0,2.0,6.0,1.0,9.0,3.0,4.0,1.0,1.0,9.0,5.0,9.0,6.0,4.0,8.0,4.0,8.0,6.0,4.0,1.0,4.0,4.0,7.0,0.0,11.0,0.0,0.0,4.0,1.0,4.0,0.0,4.0,8.0,5.0,2.0,2.0,2.0,12.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,2.0,5.0,6.0,0.0,7.0,8.0,2.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0,0.0,11.0,4.0,0.0,0.0,4.0,2.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,4.0,5.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,21.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,9.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0
2,17588396.0,1.0,0.0,4.0,6.0,1.0,15.0,6.0,7.0,4.0,12.0,0.0,0.0,2.0,0.0,1.0,7.0,23.0,7.0,15.0,2.0,7.0,3.0,8.0,44.0,0.0,30.0,25.0,4.0,6.0,26.0,6.0,5.0,7.0,0.0,10.0,8.0,0.0,12.0,1.0,14.0,10.0,1.0,13.0,39.0,7.0,1.0,1.0,5.0,9.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,7.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,12.0,9.0,2.0,1.0,15.0,3.0,5.0,45.0,0.0,1.0,26.0,46.0,5.0,0.0,12.0,0.0,0.0,3.0,26.0,1.0,8.0,10.0,8.0,10.0,8.0,23.0,1.0,0.0,5.0,5.0,1.0,5.0,6.0,3.0,0.0,10.0,1.0,5.0,0.0,1.0,2.0,17.0,2.0,1.0,3.0,0.0,3.0,11.0,5.0,10.0,0.0,1.0,7.0,10.0,8.0,0.0,9.0,0.0,7.0,4.0,0.0,3.0,4.0,0.0,0.0,9.0,19.0,0.0,1.0,29.0,0.0,0.0,1.0,5.0,3.0,0.0,3.0,8.0,4.0,7.0,5.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,6.0,0.0,4.0,0.0,4.0,12.0,0.0,2.0,0.0,1.0,0.0,4.0,21.0,3.0,0.0,0.0,10.0,0.0,11.0,0.0,2.0,1.0,21.0,19.0,5.0,0.0,1.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,6.0
3,19712795.0,10.0,4.0,0.0,47.0,32.0,45.0,1.0,4.0,29.0,42.0,0.0,3.0,21.0,2.0,19.0,15.0,31.0,3.0,4.0,15.0,27.0,20.0,28.0,6.0,10.0,10.0,31.0,18.0,17.0,1.0,16.0,55.0,8.0,0.0,45.0,4.0,0.0,11.0,3.0,10.0,3.0,37.0,28.0,16.0,9.0,4.0,31.0,34.0,10.0,0.0,1.0,2.0,12.0,0.0,2.0,0.0,21.0,31.0,0.0,0.0,3.0,0.0,6.0,23.0,0.0,0.0,37.0,18.0,14.0,7.0,10.0,0.0,27.0,34.0,4.0,3.0,0.0,4.0,8.0,2.0,16.0,1.0,3.0,23.0,15.0,5.0,1.0,5.0,3.0,5.0,32.0,5.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,20.0,0.0,0.0,21.0,15.0,22.0,3.0,81.0,10.0,0.0,2.0,2.0,2.0,8.0,1.0,3.0,6.0,0.0,29.0,2.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,15.0,0.0,1.0,2.0,101.0,2.0,14.0,1.0,0.0,1.0,2.0,0.0,10.0,0.0,18.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,8.0,33.0,19.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,44.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,7.0,0.0,4.0
4,24265642.0,9.0,6.0,47.0,0.0,98.0,125.0,0.0,5.0,34.0,30.0,0.0,7.0,70.0,13.0,24.0,13.0,26.0,8.0,5.0,16.0,36.0,47.0,67.0,7.0,21.0,15.0,40.0,20.0,43.0,5.0,14.0,42.0,8.0,0.0,82.0,1.0,0.0,42.0,8.0,30.0,3.0,36.0,62.0,17.0,15.0,4.0,9.0,60.0,12.0,0.0,1.0,8.0,10.0,0.0,2.0,7.0,46.0,46.0,0.0,0.0,6.0,0.0,3.0,31.0,0.0,0.0,40.0,29.0,49.0,16.0,25.0,0.0,19.0,54.0,4.0,1.0,1.0,9.0,24.0,3.0,17.0,2.0,16.0,40.0,33.0,6.0,1.0,8.0,5.0,7.0,83.0,9.0,2.0,0.0,1.0,2.0,1.0,11.0,3.0,0.0,0.0,0.0,26.0,0.0,0.0,20.0,23.0,39.0,4.0,5.0,24.0,0.0,3.0,2.0,3.0,8.0,2.0,0.0,8.0,0.0,42.0,0.0,48.0,0.0,0.0,2.0,0.0,5.0,1.0,12.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,5.0,10.0,0.0,1.0,8.0,105.0,2.0,24.0,0.0,0.0,4.0,2.0,0.0,13.0,0.0,30.0,0.0,3.0,6.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,51.0,29.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,117.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,11.0,0.0,16.0
5,25161342.0,8.0,1.0,32.0,98.0,0.0,262.0,2.0,6.0,48.0,97.0,2.0,57.0,192.0,45.0,26.0,43.0,36.0,7.0,19.0,8.0,42.0,246.0,203.0,8.0,29.0,14.0,49.0,25.0,109.0,3.0,24.0,98.0,57.0,0.0,203.0,0.0,0.0,149.0,13.0,77.0,7.0,102.0,136.0,35.0,28.0,7.0,29.0,54.0,26.0,0.0,4.0,42.0,46.0,0.0,26.0,17.0,38.0,105.0,0.0,2.0,6.0,1.0,12.0,259.0,0.0,0.0,115.0,42.0,151.0,104.0,25.0,1.0,15.0,111.0,49.0,24.0,11.0,11.0,50.0,6.0,23.0,12.0,33.0,50.0,111.0,18.0,4.0,41.0,3.0,7.0,81.0,12.0,5.0,7.0,8.0,19.0,2.0,10.0,19.0,0.0,0.0,15.0,27.0,0.0,0.0,50.0,69.0,106.0,19.0,29.0,24.0,0.0,5.0,3.0,5.0,19.0,5.0,3.0,14.0,3.0,91.0,1.0,134.0,1.0,0.0,4.0,2.0,14.0,1.0,16.0,1.0,0.0,11.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,21.0,2.0,2.0,6.0,100.0,7.0,14.0,4.0,2.0,10.0,1.0,0.0,20.0,3.0,40.0,0.0,6.0,6.0,2.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,5.0,93.0,16.0,1.0,0.0,47.0,1.0,3.0,0.0,1.0,1.0,9.0,27.0,488.0,1.0,2.0,6.0,0.0,6.0,1.0,1.0,10.0,1.0,27.0
6,26718847.0,11.0,15.0,45.0,125.0,262.0,0.0,6.0,27.0,63.0,78.0,10.0,34.0,146.0,57.0,74.0,71.0,115.0,44.0,61.0,31.0,83.0,320.0,189.0,35.0,34.0,80.0,199.0,26.0,352.0,13.0,54.0,111.0,45.0,0.0,278.0,10.0,0.0,294.0,23.0,158.0,83.0,84.0,237.0,158.0,75.0,9.0,28.0,66.0,54.0,0.0,18.0,46.0,33.0,0.0,45.0,35.0,69.0,196.0,0.0,1.0,27.0,32.0,24.0,121.0,0.0,0.0,178.0,82.0,242.0,218.0,223.0,8.0,32.0,239.0,34.0,12.0,56.0,76.0,88.0,28.0,71.0,24.0,42.0,119.0,410.0,51.0,26.0,46.0,32.0,46.0,262.0,21.0,22.0,19.0,19.0,38.0,18.0,68.0,45.0,4.0,0.0,22.0,44.0,3.0,0.0,51.0,97.0,224.0,32.0,17.0,53.0,6.0,24.0,7.0,17.0,65.0,17.0,1.0,41.0,14.0,146.0,10.0,196.0,14.0,7.0,37.0,5.0,25.0,14.0,23.0,0.0,7.0,50.0,3.0,25.0,13.0,0.0,19.0,4.0,33.0,38.0,11.0,46.0,60.0,153.0,36.0,34.0,29.0,17.0,24.0,18.0,0.0,65.0,12.0,59.0,16.0,17.0,43.0,9.0,24.0,15.0,3.0,46.0,0.0,23.0,6.0,5.0,245.0,28.0,0.0,4.0,102.0,17.0,43.0,21.0,0.0,14.0,66.0,76.0,384.0,0.0,31.0,54.0,0.0,17.0,4.0,9.0,15.0,6.0,64.0
7,30021860.0,1.0,6.0,1.0,0.0,2.0,6.0,0.0,32.0,5.0,2.0,0.0,0.0,3.0,2.0,4.0,5.0,8.0,2.0,4.0,1.0,3.0,4.0,4.0,6.0,0.0,16.0,12.0,2.0,2.0,5.0,3.0,3.0,8.0,0.0,3.0,2.0,0.0,4.0,0.0,5.0,5.0,1.0,6.0,14.0,4.0,1.0,1.0,2.0,7.0,0.0,5.0,2.0,0.0,12.0,0.0,5.0,0.0,4.0,0.0,0.0,18.0,2.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,4.0,4.0,1.0,5.0,16.0,0.0,0.0,7.0,9.0,17.0,3.0,3.0,0.0,1.0,6.0,9.0,1.0,10.0,6.0,11.0,3.0,7.0,23.0,4.0,1.0,1.0,3.0,0.0,3.0,1.0,6.0,0.0,6.0,1.0,2.0,0.0,0.0,3.0,8.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,7.0,0.0,1.0,4.0,4.0,2.0,0.0,2.0,0.0,5.0,6.0,0.0,2.0,6.0,1.0,0.0,4.0,10.0,0.0,2.0,7.0,0.0,0.0,0.0,5.0,3.0,0.0,8.0,6.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,2.0,1.0,33.0,2.0,2.0,2.0,10.0,8.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0
8,36362431.0,3.0,7.0,4.0,5.0,6.0,27.0,32.0,0.0,7.0,5.0,5.0,2.0,5.0,0.0,23.0,35.0,19.0,6.0,8.0,2.0,8.0,10.0,17.0,12.0,0.0,13.0,25.0,2.0,6.0,7.0,4.0,8.0,8.0,0.0,24.0,2.0,0.0,9.0,1.0,11.0,7.0,3.0,17.0,39.0,11.0,0.0,2.0,3.0,35.0,0.0,8.0,2.0,2.0,9.0,1.0,8.0,4.0,17.0,0.0,0.0,43.0,12.0,4.0,6.0,0.0,0.0,43.0,6.0,16.0,14.0,6.0,4.0,6.0,27.0,1.0,0.0,23.0,27.0,40.0,7.0,18.0,7.0,4.0,23.0,32.0,11.0,23.0,3.0,6.0,6.0,33.0,20.0,12.0,4.0,0.0,15.0,3.0,15.0,30.0,38.0,0.0,7.0,3.0,1.0,0.0,6.0,7.0,15.0,11.0,1.0,14.0,3.0,4.0,3.0,3.0,69.0,10.0,0.0,17.0,13.0,31.0,1.0,14.0,5.0,6.0,16.0,2.0,0.0,10.0,5.0,0.0,3.0,32.0,0.0,9.0,13.0,0.0,8.0,0.0,12.0,6.0,1.0,14.0,28.0,8.0,4.0,4.0,4.0,5.0,0.0,2.0,0.0,16.0,5.0,1.0,5.0,1.0,5.0,2.0,2.0,0.0,0.0,12.0,0.0,5.0,5.0,1.0,43.0,2.0,0.0,0.0,12.0,10.0,47.0,4.0,1.0,5.0,8.0,14.0,10.0,0.0,1.0,6.0,1.0,4.0,1.0,8.0,1.0,3.0,0.0
9,41104285.0,3.0,4.0,29.0,34.0,48.0,63.0,5.0,7.0,0.0,40.0,0.0,18.0,17.0,4.0,15.0,15.0,20.0,10.0,16.0,4.0,19.0,32.0,32.0,16.0,5.0,19.0,62.0,7.0,25.0,4.0,16.0,14.0,58.0,0.0,53.0,6.0,0.0,18.0,5.0,58.0,16.0,13.0,33.0,48.0,20.0,5.0,11.0,13.0,12.0,0.0,1.0,8.0,5.0,0.0,6.0,27.0,13.0,61.0,0.0,0.0,1.0,1.0,12.0,32.0,0.0,0.0,46.0,58.0,24.0,32.0,16.0,1.0,29.0,50.0,5.0,2.0,13.0,23.0,9.0,2.0,15.0,3.0,6.0,14.0,49.0,6.0,5.0,8.0,52.0,9.0,21.0,7.0,3.0,1.0,2.0,6.0,1.0,10.0,9.0,0.0,0.0,7.0,7.0,3.0,0.0,11.0,12.0,45.0,4.0,7.0,22.0,0.0,12.0,8.0,6.0,15.0,2.0,1.0,9.0,2.0,17.0,3.0,39.0,1.0,0.0,3.0,0.0,6.0,6.0,18.0,0.0,6.0,24.0,0.0,1.0,9.0,0.0,3.0,1.0,6.0,8.0,1.0,7.0,4.0,26.0,8.0,8.0,3.0,2.0,5.0,4.0,0.0,11.0,0.0,11.0,13.0,1.0,48.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,33.0,8.0,0.0,0.0,21.0,0.0,11.0,0.0,1.0,3.0,13.0,32.0,56.0,2.0,2.0,17.0,0.0,0.0,4.0,14.0,5.0,1.0,5.0
