,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-1.0,9378802.0,16010317.0,16542687.0,20097381.0,20801977.0,21487677.0,23945498.0,25849873.0,26739968.0,30887811.0,36953448.0,43789332.0,44299861.0,48959778.0,49388157.0,50552213.0,50594829.0,50645038.0,51478771.0,53223847.0,53416347.0,54182296.0,55005704.0,59219851.0,69772862.0,86976234.0,98730352.0,99731681.0,103144765.0,104771512.0,114775132.0,119664403.0,124578114.0,131526348.0,148473927.0,149084001.0,161980094.0,167163741.0,168127554.0,168497805.0,171084826.0,175139115.0,188240446.0,192477353.0,193959826.0,203533542.0,210824047.0,219225568.0,231465847.0,232308099.0,232823702.0,234849540.0,237519969.0,241186299.0,245967624.0,246698340.0,248321197.0,253087503.0,253451653.0,253766102.0,260314188.0,260927249.0,265588700.0,265980062.0,265988549.0,267207936.0,268445390.0,269680826.0,274119514.0,278528684.0,279069934.0,282080237.0,282849469.0,289974673.0,293334386.0,297961250.0,300056967.0,300333525.0,302770992.0,307216925.0,308411684.0,313176788.0,314048797.0,317262357.0,319021106.0,328041551.0,350202078.0,374543004.0,381930713.0,385119045.0,385976050.0,388505753.0,394285779.0,396271891.0,402037439.0,402892880.0,418157116.0,418992848.0,430530678.0
1,9378802.0,0.0,3.0,20.0,11.0,81.0,16.0,9.0,74.0,52.0,11.0,0.0,6.0,23.0,17.0,50.0,11.0,11.0,59.0,62.0,33.0,10.0,5.0,56.0,114.0,4.0,13.0,6.0,5.0,2.0,78.0,50.0,19.0,15.0,2.0,2.0,0.0,9.0,14.0,6.0,32.0,1.0,8.0,8.0,85.0,1.0,119.0,1.0,53.0,2.0,9.0,0.0,0.0,37.0,45.0,13.0,26.0,2.0,30.0,30.0,0.0,42.0,2.0,0.0,2.0,0.0,10.0,14.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,54.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,14.0,0.0,21.0,0.0,41.0,0.0,0.0,0.0,3.0
2,16010317.0,3.0,0.0,7.0,0.0,16.0,35.0,2.0,36.0,18.0,6.0,4.0,1.0,39.0,12.0,62.0,29.0,22.0,40.0,35.0,1.0,1.0,2.0,13.0,16.0,0.0,15.0,11.0,2.0,1.0,3.0,24.0,24.0,40.0,23.0,4.0,0.0,11.0,7.0,4.0,3.0,5.0,10.0,20.0,72.0,11.0,10.0,1.0,6.0,13.0,6.0,0.0,1.0,1.0,12.0,0.0,1.0,3.0,5.0,10.0,2.0,1.0,8.0,1.0,8.0,0.0,2.0,3.0,0.0,3.0,1.0,1.0,11.0,0.0,3.0,0.0,2.0,0.0,1.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,4.0,4.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,26.0
3,16542687.0,20.0,7.0,0.0,141.0,137.0,55.0,9.0,107.0,41.0,62.0,1.0,91.0,35.0,30.0,138.0,46.0,34.0,130.0,52.0,116.0,47.0,91.0,40.0,29.0,26.0,111.0,23.0,8.0,5.0,67.0,45.0,29.0,37.0,13.0,24.0,1.0,13.0,21.0,8.0,5.0,11.0,39.0,17.0,256.0,6.0,65.0,5.0,45.0,29.0,33.0,0.0,18.0,50.0,38.0,10.0,9.0,5.0,11.0,35.0,1.0,6.0,50.0,0.0,9.0,0.0,6.0,16.0,0.0,11.0,0.0,4.0,6.0,0.0,6.0,3.0,7.0,12.0,4.0,43.0,0.0,6.0,39.0,0.0,0.0,1.0,10.0,0.0,2.0,1.0,15.0,6.0,0.0,7.0,0.0,12.0,0.0,3.0,0.0,12.0
4,20097381.0,11.0,0.0,141.0,0.0,107.0,41.0,16.0,115.0,17.0,42.0,0.0,102.0,30.0,41.0,248.0,55.0,32.0,117.0,52.0,106.0,74.0,246.0,10.0,17.0,34.0,103.0,42.0,4.0,11.0,89.0,37.0,18.0,28.0,22.0,50.0,0.0,7.0,8.0,5.0,0.0,33.0,80.0,6.0,331.0,1.0,60.0,5.0,56.0,31.0,13.0,0.0,21.0,36.0,21.0,9.0,6.0,1.0,19.0,37.0,2.0,18.0,86.0,0.0,2.0,0.0,2.0,29.0,0.0,13.0,0.0,2.0,3.0,0.0,3.0,2.0,5.0,25.0,13.0,34.0,0.0,2.0,89.0,0.0,0.0,2.0,8.0,1.0,0.0,1.0,9.0,4.0,1.0,7.0,0.0,23.0,0.0,0.0,2.0,3.0
5,20801977.0,81.0,16.0,137.0,107.0,0.0,218.0,35.0,393.0,173.0,113.0,17.0,56.0,135.0,185.0,329.0,199.0,70.0,386.0,270.0,102.0,22.0,54.0,180.0,157.0,19.0,148.0,129.0,35.0,15.0,177.0,275.0,106.0,172.0,72.0,21.0,0.0,103.0,87.0,23.0,40.0,29.0,81.0,71.0,587.0,17.0,455.0,25.0,274.0,61.0,68.0,0.0,16.0,160.0,211.0,63.0,70.0,19.0,111.0,146.0,6.0,242.0,42.0,1.0,20.0,0.0,19.0,159.0,0.0,47.0,3.0,14.0,14.0,5.0,36.0,18.0,28.0,18.0,10.0,257.0,6.0,20.0,20.0,0.0,1.0,2.0,89.0,1.0,1.0,1.0,48.0,32.0,2.0,130.0,0.0,311.0,0.0,26.0,12.0,30.0
6,21487677.0,16.0,35.0,55.0,41.0,218.0,0.0,40.0,567.0,75.0,57.0,18.0,33.0,123.0,76.0,291.0,158.0,41.0,310.0,207.0,36.0,29.0,37.0,88.0,89.0,10.0,101.0,55.0,30.0,6.0,68.0,166.0,88.0,181.0,98.0,21.0,8.0,59.0,55.0,32.0,8.0,26.0,52.0,139.0,622.0,16.0,133.0,12.0,135.0,82.0,74.0,0.0,3.0,71.0,111.0,16.0,11.0,6.0,42.0,71.0,6.0,26.0,46.0,1.0,25.0,0.0,13.0,21.0,0.0,28.0,4.0,10.0,23.0,1.0,21.0,27.0,17.0,12.0,10.0,136.0,6.0,13.0,10.0,0.0,1.0,1.0,39.0,0.0,1.0,6.0,45.0,12.0,8.0,32.0,2.0,33.0,0.0,10.0,2.0,45.0
7,23945498.0,9.0,2.0,9.0,16.0,35.0,40.0,0.0,51.0,21.0,14.0,1.0,14.0,18.0,17.0,100.0,12.0,6.0,41.0,43.0,7.0,6.0,27.0,16.0,31.0,2.0,13.0,10.0,8.0,7.0,42.0,31.0,23.0,19.0,23.0,13.0,0.0,11.0,9.0,5.0,5.0,16.0,18.0,11.0,113.0,2.0,23.0,1.0,31.0,15.0,13.0,0.0,0.0,23.0,23.0,9.0,12.0,0.0,17.0,10.0,1.0,10.0,28.0,0.0,1.0,0.0,2.0,5.0,0.0,3.0,1.0,1.0,2.0,0.0,4.0,5.0,4.0,14.0,2.0,25.0,3.0,3.0,4.0,0.0,1.0,1.0,11.0,0.0,0.0,2.0,7.0,5.0,2.0,18.0,0.0,15.0,0.0,1.0,1.0,2.0
8,25849873.0,74.0,36.0,107.0,115.0,393.0,567.0,51.0,0.0,108.0,94.0,22.0,97.0,218.0,161.0,477.0,201.0,96.0,408.0,283.0,80.0,89.0,203.0,173.0,140.0,16.0,153.0,75.0,47.0,27.0,177.0,243.0,87.0,296.0,73.0,41.0,1.0,94.0,71.0,57.0,39.0,32.0,108.0,111.0,1069.0,11.0,276.0,28.0,298.0,84.0,83.0,0.0,24.0,121.0,174.0,37.0,42.0,7.0,120.0,147.0,6.0,151.0,124.0,1.0,26.0,0.0,30.0,73.0,0.0,43.0,4.0,10.0,16.0,5.0,34.0,26.0,22.0,37.0,20.0,237.0,7.0,16.0,50.0,0.0,1.0,1.0,71.0,2.0,1.0,1.0,77.0,47.0,8.0,84.0,0.0,143.0,0.0,14.0,7.0,53.0
9,26739968.0,52.0,18.0,41.0,17.0,173.0,75.0,21.0,108.0,0.0,32.0,8.0,2.0,61.0,48.0,90.0,75.0,107.0,148.0,101.0,27.0,0.0,6.0,176.0,94.0,2.0,39.0,30.0,24.0,3.0,97.0,309.0,87.0,79.0,22.0,0.0,0.0,55.0,96.0,14.0,9.0,1.0,22.0,26.0,151.0,101.0,165.0,11.0,91.0,19.0,17.0,0.0,1.0,84.0,202.0,55.0,30.0,36.0,54.0,158.0,28.0,33.0,16.0,24.0,50.0,0.0,12.0,31.0,0.0,85.0,6.0,73.0,49.0,27.0,23.0,11.0,87.0,6.0,2.0,440.0,2.0,76.0,1.0,0.0,1.0,3.0,50.0,15.0,11.0,3.0,29.0,17.0,0.0,45.0,1.0,50.0,0.0,45.0,2.0,63.0
