,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,-1.0,14256164.0,18424289.0,21544263.0,37277935.0,41555288.0,46584707.0,48866020.0,50645038.0,60585863.0,61567598.0,79573209.0,80801045.0,88955642.0,100664808.0,101824385.0,105465745.0,108295368.0,113381335.0,115000873.0,124578114.0,133315811.0,141198564.0,152196018.0,173204585.0,197635196.0,231923775.0,234986986.0,234987253.0,235016615.0,235027659.0,235035889.0,235120851.0,235144644.0,235244721.0,235252116.0,235371205.0,235571847.0,235576189.0,235576757.0,235582604.0,235593353.0,235600534.0,235602290.0,235602602.0,235619991.0,235628211.0,235629274.0,235632067.0,235636649.0,235637445.0,235653027.0,235656055.0,235661827.0,235665778.0,235666549.0,235674459.0,235677728.0,235677956.0,235679167.0,235684360.0,235685482.0,235689519.0,235693397.0,236100413.0,240054584.0,241314646.0,245325535.0,246392293.0,247494866.0,251082795.0,253438951.0,254920525.0,264429719.0,264745294.0,269990099.0,271428783.0,272259832.0,272353870.0,275115527.0,278440078.0,279154506.0,282603736.0,287545443.0,289104235.0,292751130.0,292804588.0,298112519.0,301514075.0,301681004.0,314098757.0,315997012.0,317262357.0,326332745.0,330994588.0,331210417.0,339034131.0,346880715.0,347873395.0,349146547.0,349217591.0,350440209.0,359179176.0,361525299.0,368229348.0,370247548.0,380979829.0,385615651.0,385935945.0,393925685.0,398177769.0,409353392.0,412663554.0,421893795.0,423782407.0,426039146.0,426106511.0,430530678.0,432308034.0,446521448.0,448416310.0
1,14256164.0,0.0,66.0,9.0,31.0,6.0,194.0,1.0,98.0,0.0,112.0,4.0,0.0,2.0,4.0,1.0,1.0,26.0,3.0,14.0,57.0,83.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,0.0,16.0,1.0,5.0,7.0,2.0,0.0,0.0,13.0,2.0,40.0,2.0,37.0,1.0,0.0,6.0,4.0,0.0,21.0,2.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,31.0,5.0,6.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,2.0,2.0,0.0,1.0,10.0,17.0,9.0,0.0,0.0
2,18424289.0,66.0,0.0,1.0,3.0,4.0,11.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,5.0,10.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,6.0,0.0,8.0,2.0,5.0,0.0,0.0,3.0,2.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0
3,21544263.0,9.0,1.0,0.0,5.0,1.0,8.0,0.0,9.0,0.0,8.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,8.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,9.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
4,37277935.0,31.0,3.0,5.0,0.0,25.0,172.0,29.0,126.0,2.0,96.0,15.0,1.0,24.0,2.0,0.0,38.0,36.0,21.0,26.0,91.0,58.0,6.0,59.0,31.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,51.0,236.0,2.0,14.0,5.0,48.0,88.0,7.0,13.0,67.0,55.0,8.0,71.0,38.0,47.0,55.0,92.0,189.0,11.0,1.0,35.0,9.0,27.0,34.0,61.0,0.0,1.0,0.0,1.0,15.0,56.0,68.0,13.0,54.0,0.0,2.0,17.0,1.0,49.0,25.0,20.0,0.0,66.0,0.0,4.0,56.0,4.0,5.0,2.0,7.0,2.0,71.0,17.0,0.0,0.0
5,41555288.0,6.0,4.0,1.0,25.0,0.0,11.0,16.0,14.0,0.0,13.0,10.0,2.0,19.0,12.0,0.0,22.0,2.0,2.0,216.0,11.0,4.0,1.0,8.0,12.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,24.0,31.0,61.0,6.0,2.0,17.0,42.0,4.0,6.0,4.0,91.0,1.0,38.0,18.0,11.0,21.0,19.0,121.0,63.0,0.0,69.0,37.0,33.0,20.0,6.0,0.0,0.0,0.0,0.0,6.0,19.0,189.0,0.0,49.0,0.0,3.0,27.0,1.0,21.0,125.0,5.0,0.0,32.0,0.0,0.0,10.0,10.0,5.0,5.0,8.0,3.0,13.0,20.0,0.0,0.0
6,46584707.0,194.0,11.0,8.0,172.0,11.0,0.0,7.0,481.0,11.0,300.0,8.0,0.0,3.0,4.0,4.0,6.0,72.0,10.0,22.0,224.0,156.0,0.0,5.0,6.0,1.0,4.0,16.0,7.0,16.0,21.0,25.0,28.0,19.0,1.0,11.0,2.0,14.0,18.0,2.0,4.0,13.0,0.0,1.0,18.0,26.0,5.0,5.0,6.0,19.0,2.0,1.0,0.0,27.0,9.0,17.0,3.0,9.0,25.0,20.0,16.0,2.0,16.0,21.0,0.0,0.0,91.0,10.0,0.0,229.0,1.0,7.0,38.0,3.0,16.0,1.0,30.0,7.0,89.0,3.0,66.0,16.0,2.0,37.0,7.0,0.0,37.0,7.0,25.0,1.0,8.0,1.0,2.0,0.0,0.0,2.0,24.0,48.0,30.0,31.0,0.0,0.0,19.0,1.0,8.0,3.0,2.0,0.0,7.0,0.0,1.0,38.0,6.0,5.0,0.0,4.0,10.0,67.0,21.0,0.0,0.0
7,48866020.0,1.0,0.0,0.0,29.0,16.0,7.0,0.0,5.0,0.0,8.0,13.0,10.0,4.0,1.0,0.0,110.0,3.0,2.0,20.0,4.0,1.0,2.0,63.0,131.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,26.0,1.0,1.0,3.0,66.0,49.0,60.0,3.0,43.0,22.0,1.0,19.0,128.0,3.0,178.0,34.0,281.0,6.0,0.0,8.0,19.0,13.0,22.0,59.0,0.0,0.0,0.0,0.0,64.0,180.0,10.0,2.0,6.0,0.0,12.0,6.0,0.0,44.0,23.0,67.0,0.0,70.0,0.0,2.0,15.0,1.0,9.0,8.0,4.0,0.0,6.0,13.0,0.0,0.0
8,50645038.0,98.0,8.0,9.0,126.0,14.0,481.0,5.0,0.0,1.0,262.0,4.0,0.0,8.0,5.0,16.0,3.0,41.0,12.0,22.0,263.0,202.0,0.0,6.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,129.0,28.0,8.0,75.0,1.0,13.0,31.0,3.0,0.0,5.0,67.0,3.0,75.0,4.0,82.0,9.0,4.0,24.0,18.0,0.0,59.0,7.0,36.0,4.0,6.0,2.0,1.0,0.0,0.0,2.0,14.0,91.0,34.0,51.0,0.0,0.0,24.0,0.0,4.0,8.0,3.0,0.0,3.0,0.0,0.0,30.0,9.0,5.0,0.0,7.0,14.0,75.0,18.0,0.0,0.0
9,60585863.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
