,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
0,-1.0,5858532.0,14057516.0,14368769.0,14555736.0,14561418.0,14962242.0,15207331.0,15288901.0,16419291.0,17132933.0,18086309.0,18484284.0,18940890.0,19074197.0,19128467.0,20865547.0,21385600.0,24617059.0,26105783.0,26376601.0,26996062.0,27427473.0,29664243.0,37225558.0,40083784.0,40121481.0,44336791.0,45631241.0,47568695.0,47603857.0,47685672.0,49147239.0,50016323.0,50825997.0,51966849.0,52350953.0,52915212.0,54509416.0,62146189.0,65858538.0,74518333.0,78773387.0,79983909.0,83203404.0,84600122.0,85878730.0,86701516.0,86713455.0,88877316.0,89906299.0,97418664.0,97983226.0,100282907.0,102934713.0,124578114.0,132158439.0,132931707.0,133395435.0,135079465.0,142744502.0,148145705.0,149015866.0,156092298.0,160241261.0,176123374.0,178407543.0,178945084.0,193600383.0,194157274.0,197635196.0,207026848.0,207420361.0,210824047.0,212950064.0,225423130.0,226164962.0,230285047.0,231223129.0,232891887.0,233254676.0,233875148.0,240031541.0,241314646.0,241867206.0,243792032.0,244606156.0,245079094.0,245358628.0,245756822.0,245996094.0,246941270.0,247335305.0,249815631.0,250646885.0,250711833.0,254196896.0,254271915.0,254470422.0,254482997.0,255056286.0,255630029.0,258536563.0,260880258.0,261905897.0,262721088.0,263101715.0,264730415.0,266079300.0,266596140.0,268236675.0,268870600.0,269680826.0,269990099.0,270762885.0,270934983.0,272323854.0,272556194.0,275195739.0,277171250.0,278440078.0,279263583.0,280522436.0,282259323.0,283987669.0,285086024.0,285793392.0,287229977.0,287848520.0,288479798.0,289116287.0,289680934.0,309097022.0,311899244.0,312702669.0,313983586.0,317262357.0,317916812.0,321854073.0,326341109.0,334472942.0,335837124.0,335837860.0,338493258.0,339034131.0,339343705.0,348741039.0,352445450.0,354708537.0,355956600.0,362538852.0,362973396.0,363503054.0,364058399.0,368703851.0,369028288.0,377812354.0,378522968.0,378550330.0,379047891.0,385048594.0,385615651.0,395445890.0,400421533.0,400593501.0,404044738.0,405036179.0,405767586.0,408554407.0,410292300.0,430130708.0,431373916.0,433260940.0,433499571.0,441155820.0,446601052.0
1,5858532.0,0.0,24.0,54.0,0.0,81.0,8.0,7.0,12.0,20.0,13.0,59.0,26.0,16.0,35.0,82.0,31.0,2.0,36.0,3.0,65.0,46.0,15.0,12.0,0.0,1.0,58.0,3.0,0.0,49.0,65.0,0.0,21.0,2.0,8.0,54.0,15.0,13.0,86.0,5.0,5.0,16.0,2.0,2.0,70.0,6.0,1.0,0.0,49.0,1.0,1.0,4.0,39.0,44.0,0.0,26.0,9.0,7.0,0.0,5.0,0.0,3.0,25.0,27.0,52.0,1.0,7.0,21.0,2.0,19.0,3.0,1.0,19.0,14.0,48.0,21.0,0.0,20.0,2.0,91.0,28.0,1.0,7.0,61.0,1.0,34.0,9.0,1.0,10.0,2.0,18.0,11.0,59.0,0.0,4.0,34.0,4.0,0.0,1.0,1.0,93.0,3.0,94.0,0.0,17.0,9.0,51.0,3.0,2.0,0.0,19.0,1.0,0.0,1.0,14.0,0.0,7.0,5.0,1.0,6.0,36.0,2.0,67.0,0.0,3.0,3.0,1.0,4.0,8.0,50.0,1.0,7.0,1.0,19.0,10.0,28.0,0.0,0.0,1.0,2.0,10.0,7.0,8.0,2.0,4.0,0.0,0.0,3.0,3.0,72.0,0.0,57.0,11.0,5.0,2.0,34.0,0.0,1.0,0.0,0.0,33.0,0.0,1.0,3.0,3.0,0.0,4.0,14.0,24.0,4.0,7.0,0.0,0.0,0.0,19.0,0.0
2,14057516.0,24.0,0.0,31.0,0.0,15.0,2.0,14.0,9.0,11.0,0.0,40.0,29.0,4.0,3.0,26.0,14.0,1.0,45.0,6.0,8.0,22.0,5.0,21.0,0.0,4.0,18.0,10.0,4.0,18.0,4.0,0.0,17.0,23.0,19.0,14.0,50.0,22.0,17.0,5.0,8.0,6.0,5.0,2.0,34.0,2.0,3.0,0.0,12.0,0.0,1.0,2.0,12.0,17.0,0.0,45.0,12.0,7.0,0.0,6.0,0.0,3.0,8.0,34.0,10.0,4.0,35.0,5.0,14.0,8.0,0.0,2.0,18.0,3.0,80.0,48.0,0.0,13.0,0.0,23.0,2.0,2.0,8.0,27.0,0.0,9.0,1.0,0.0,5.0,1.0,1.0,1.0,15.0,0.0,1.0,29.0,0.0,0.0,1.0,8.0,18.0,0.0,44.0,0.0,11.0,0.0,26.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,5.0,6.0,0.0,0.0,25.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,25.0,5.0,5.0,6.0,3.0,0.0,0.0,1.0,3.0,31.0,0.0,42.0,0.0,6.0,12.0,32.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,6.0,0.0,2.0,9.0,15.0,2.0,1.0,3.0,0.0,4.0,0.0,2.0,1.0
3,14368769.0,54.0,31.0,0.0,0.0,52.0,1.0,12.0,131.0,38.0,15.0,96.0,64.0,23.0,25.0,79.0,87.0,3.0,69.0,32.0,28.0,45.0,27.0,28.0,2.0,11.0,88.0,17.0,9.0,64.0,39.0,1.0,64.0,24.0,32.0,154.0,21.0,47.0,56.0,38.0,25.0,13.0,39.0,40.0,125.0,74.0,43.0,0.0,158.0,31.0,5.0,6.0,129.0,64.0,0.0,72.0,21.0,13.0,0.0,7.0,4.0,11.0,134.0,27.0,27.0,4.0,44.0,46.0,22.0,160.0,74.0,7.0,64.0,26.0,33.0,67.0,11.0,64.0,46.0,140.0,34.0,15.0,147.0,205.0,40.0,48.0,4.0,21.0,24.0,33.0,118.0,46.0,132.0,0.0,44.0,61.0,24.0,0.0,0.0,37.0,271.0,2.0,172.0,38.0,20.0,85.0,309.0,4.0,13.0,12.0,234.0,4.0,0.0,34.0,134.0,0.0,3.0,17.0,44.0,75.0,72.0,6.0,133.0,0.0,24.0,12.0,6.0,84.0,7.0,187.0,10.0,5.0,5.0,82.0,103.0,23.0,5.0,0.0,22.0,4.0,34.0,37.0,14.0,44.0,56.0,4.0,66.0,2.0,23.0,91.0,0.0,94.0,18.0,109.0,13.0,40.0,10.0,3.0,2.0,13.0,317.0,0.0,1.0,7.0,4.0,3.0,2.0,28.0,188.0,37.0,40.0,0.0,1.0,2.0,65.0,16.0
4,14555736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14561418.0,81.0,15.0,52.0,0.0,0.0,83.0,9.0,13.0,12.0,7.0,49.0,19.0,61.0,8.0,286.0,18.0,3.0,32.0,4.0,13.0,14.0,4.0,12.0,0.0,2.0,26.0,6.0,4.0,23.0,28.0,1.0,13.0,9.0,14.0,20.0,15.0,11.0,38.0,9.0,5.0,69.0,3.0,1.0,25.0,7.0,1.0,0.0,35.0,0.0,0.0,2.0,12.0,24.0,0.0,20.0,10.0,5.0,0.0,4.0,0.0,5.0,25.0,21.0,21.0,2.0,10.0,10.0,2.0,8.0,0.0,0.0,13.0,1.0,22.0,40.0,0.0,8.0,0.0,27.0,20.0,0.0,7.0,32.0,0.0,14.0,6.0,0.0,7.0,2.0,6.0,9.0,28.0,0.0,1.0,15.0,0.0,0.0,0.0,4.0,92.0,1.0,27.0,0.0,8.0,4.0,58.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,4.0,0.0,1.0,25.0,4.0,13.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,2.0,1.0,3.0,4.0,2.0,10.0,1.0,0.0,0.0,3.0,10.0,9.0,2.0,6.0,3.0,0.0,1.0,0.0,10.0,36.0,0.0,42.0,0.0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,1.0,0.0,7.0,3.0,1.0,6.0,0.0,0.0,0.0,7.0,0.0
6,14962242.0,8.0,2.0,1.0,0.0,83.0,0.0,5.0,2.0,1.0,0.0,1.0,2.0,39.0,0.0,79.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15207331.0,7.0,14.0,12.0,0.0,9.0,5.0,0.0,7.0,6.0,2.0,20.0,22.0,6.0,0.0,12.0,4.0,3.0,21.0,2.0,4.0,9.0,3.0,16.0,1.0,1.0,10.0,2.0,0.0,9.0,2.0,0.0,7.0,13.0,9.0,5.0,10.0,9.0,8.0,5.0,6.0,2.0,3.0,2.0,17.0,1.0,2.0,0.0,3.0,0.0,1.0,3.0,11.0,7.0,1.0,19.0,6.0,8.0,0.0,5.0,0.0,3.0,8.0,19.0,5.0,2.0,22.0,1.0,6.0,4.0,0.0,0.0,8.0,4.0,7.0,32.0,0.0,16.0,0.0,15.0,0.0,1.0,1.0,8.0,0.0,11.0,3.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,4.0,10.0,0.0,0.0,0.0,3.0,9.0,0.0,15.0,1.0,5.0,0.0,18.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,4.0,0.0,1.0,14.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,18.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,9.0,18.0,0.0,25.0,0.0,15.0,10.0,32.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0
8,15288901.0,12.0,9.0,131.0,0.0,13.0,2.0,7.0,0.0,6.0,2.0,49.0,42.0,6.0,3.0,22.0,22.0,2.0,34.0,82.0,5.0,10.0,5.0,2.0,0.0,2.0,23.0,10.0,3.0,16.0,11.0,0.0,48.0,5.0,17.0,39.0,5.0,73.0,27.0,26.0,8.0,22.0,16.0,7.0,27.0,22.0,16.0,0.0,16.0,6.0,5.0,6.0,13.0,24.0,0.0,44.0,15.0,2.0,0.0,0.0,8.0,9.0,26.0,6.0,5.0,1.0,14.0,13.0,7.0,25.0,18.0,3.0,22.0,11.0,8.0,19.0,2.0,68.0,76.0,38.0,15.0,18.0,57.0,80.0,15.0,4.0,4.0,17.0,13.0,8.0,12.0,16.0,65.0,1.0,30.0,18.0,8.0,0.0,1.0,14.0,78.0,0.0,39.0,18.0,6.0,10.0,42.0,6.0,5.0,13.0,69.0,9.0,0.0,32.0,46.0,0.0,4.0,1.0,7.0,9.0,41.0,14.0,42.0,0.0,5.0,20.0,0.0,28.0,7.0,39.0,4.0,4.0,2.0,17.0,38.0,9.0,1.0,0.0,4.0,0.0,15.0,31.0,1.0,13.0,17.0,3.0,28.0,3.0,41.0,43.0,0.0,47.0,3.0,76.0,11.0,50.0,4.0,5.0,2.0,2.0,28.0,0.0,0.0,1.0,6.0,1.0,0.0,3.0,19.0,4.0,5.0,0.0,1.0,0.0,11.0,3.0
9,16419291.0,20.0,11.0,38.0,0.0,12.0,1.0,6.0,6.0,0.0,4.0,54.0,14.0,2.0,5.0,21.0,9.0,1.0,19.0,1.0,6.0,9.0,5.0,14.0,0.0,0.0,23.0,6.0,3.0,15.0,11.0,0.0,14.0,13.0,11.0,16.0,8.0,10.0,8.0,6.0,4.0,4.0,5.0,3.0,18.0,3.0,2.0,0.0,28.0,1.0,2.0,3.0,14.0,14.0,0.0,28.0,4.0,4.0,0.0,2.0,0.0,2.0,15.0,18.0,14.0,1.0,28.0,12.0,2.0,13.0,0.0,1.0,13.0,1.0,11.0,21.0,0.0,6.0,1.0,20.0,3.0,0.0,4.0,23.0,0.0,12.0,0.0,1.0,6.0,1.0,8.0,2.0,15.0,0.0,1.0,17.0,2.0,0.0,0.0,3.0,23.0,0.0,31.0,0.0,5.0,0.0,17.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,3.0,14.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,0.0,1.0,9.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,19.0,0.0,27.0,0.0,7.0,5.0,8.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,4.0,1.0,2.0,2.0,7.0,5.0,2.0,2.0,0.0,1.0,0.0,6.0,0.0
