,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,-1.0,15427580.0,15630587.0,20097381.0,21485514.0,21487677.0,22741371.0,24655962.0,29979814.0,47847315.0,48114697.0,48495906.0,48959778.0,50552213.0,51827732.0,52346375.0,68524735.0,75055396.0,77254498.0,140198531.0,143531181.0,153321487.0,165748245.0,187670741.0,192477353.0,194920096.0,203533542.0,209651406.0,210824047.0,222492390.0,223055984.0,232823702.0,234333247.0,244529400.0,246223044.0,253303368.0,254688158.0,257171724.0,266263003.0,268236675.0,271791007.0,273889354.0,274246546.0,275661557.0,280105124.0,280978003.0,283718439.0,285793392.0,297771685.0,298087938.0,303450744.0,305078782.0,305787501.0,316144548.0,317262357.0,328933147.0,330185697.0,330229987.0,335473582.0,339474731.0,346585747.0,350202078.0,360113939.0,367841940.0,369028288.0,376061066.0,376761481.0,377220960.0,385090839.0,389239423.0,402892880.0,405452697.0,406558256.0,406647184.0,412663554.0,423782407.0,424509446.0,425840443.0,435637085.0,436029388.0
1,15427580.0,0.0,7.0,8.0,46.0,71.0,135.0,54.0,61.0,149.0,0.0,93.0,46.0,83.0,133.0,0.0,121.0,10.0,10.0,60.0,3.0,17.0,2.0,51.0,139.0,34.0,89.0,16.0,7.0,16.0,6.0,0.0,12.0,29.0,5.0,2.0,26.0,2.0,39.0,2.0,11.0,6.0,28.0,12.0,10.0,8.0,3.0,0.0,37.0,11.0,9.0,4.0,0.0,1.0,1.0,5.0,41.0,15.0,39.0,3.0,0.0,2.0,9.0,23.0,40.0,18.0,12.0,3.0,0.0,1.0,0.0,7.0,0.0,1.0,5.0,0.0,8.0,5.0,0.0,22.0
2,15630587.0,7.0,0.0,1.0,37.0,9.0,111.0,9.0,7.0,21.0,9.0,10.0,6.0,9.0,11.0,0.0,7.0,2.0,1.0,2.0,5.0,0.0,48.0,4.0,12.0,14.0,24.0,20.0,16.0,9.0,21.0,0.0,3.0,15.0,2.0,16.0,68.0,3.0,2.0,112.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,14.0,15.0,20.0,0.0,0.0,16.0,3.0,2.0,1.0,2.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
3,20097381.0,8.0,1.0,0.0,10.0,41.0,51.0,35.0,28.0,66.0,0.0,140.0,41.0,55.0,57.0,0.0,34.0,2.0,55.0,32.0,0.0,34.0,5.0,9.0,331.0,6.0,60.0,5.0,5.0,3.0,0.0,0.0,7.0,3.0,1.0,0.0,8.0,1.0,11.0,2.0,9.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,12.0,15.0,5.0,0.0,2.0,1.0,0.0,1.0,51.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0
4,21485514.0,46.0,37.0,10.0,0.0,50.0,262.0,65.0,47.0,69.0,5.0,155.0,56.0,52.0,75.0,0.0,74.0,6.0,10.0,36.0,2.0,8.0,27.0,20.0,99.0,22.0,159.0,36.0,35.0,51.0,34.0,0.0,11.0,240.0,2.0,1.0,138.0,1.0,17.0,46.0,9.0,9.0,26.0,5.0,8.0,3.0,2.0,2.0,16.0,5.0,5.0,4.0,0.0,3.0,1.0,5.0,77.0,59.0,32.0,2.0,1.0,4.0,7.0,18.0,32.0,16.0,19.0,1.0,0.0,9.0,0.0,5.0,0.0,1.0,10.0,0.0,1.0,4.0,0.0,15.0
5,21487677.0,71.0,9.0,41.0,50.0,0.0,106.0,135.0,67.0,260.0,1.0,96.0,76.0,158.0,349.0,0.0,314.0,16.0,71.0,51.0,2.0,11.0,2.0,134.0,622.0,19.0,133.0,20.0,12.0,9.0,7.0,0.0,77.0,25.0,3.0,0.0,12.0,1.0,38.0,4.0,20.0,5.0,26.0,8.0,8.0,4.0,2.0,0.0,40.0,7.0,39.0,5.0,0.0,2.0,1.0,4.0,106.0,17.0,86.0,2.0,1.0,0.0,5.0,34.0,64.0,30.0,4.0,2.0,1.0,2.0,0.0,8.0,2.0,1.0,5.0,0.0,6.0,4.0,0.0,51.0
6,22741371.0,135.0,111.0,51.0,262.0,106.0,0.0,203.0,175.0,192.0,25.0,449.0,162.0,140.0,337.0,0.0,190.0,11.0,24.0,120.0,16.0,14.0,78.0,40.0,274.0,78.0,539.0,79.0,59.0,92.0,58.0,0.0,10.0,231.0,6.0,9.0,288.0,8.0,36.0,129.0,41.0,18.0,56.0,9.0,12.0,8.0,4.0,5.0,65.0,10.0,33.0,12.0,0.0,8.0,2.0,19.0,169.0,105.0,76.0,3.0,2.0,17.0,16.0,40.0,123.0,32.0,100.0,0.0,0.0,9.0,0.0,13.0,0.0,1.0,19.0,1.0,9.0,4.0,0.0,58.0
7,24655962.0,54.0,9.0,35.0,65.0,135.0,203.0,0.0,24.0,219.0,1.0,102.0,79.0,532.0,178.0,0.0,164.0,9.0,26.0,32.0,3.0,10.0,7.0,37.0,255.0,23.0,127.0,18.0,16.0,9.0,5.0,0.0,17.0,34.0,0.0,0.0,15.0,0.0,29.0,1.0,9.0,7.0,20.0,2.0,1.0,1.0,2.0,0.0,20.0,2.0,117.0,3.0,0.0,0.0,0.0,1.0,90.0,20.0,93.0,1.0,1.0,0.0,1.0,25.0,37.0,17.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,1.0,6.0,0.0,0.0,3.0,0.0,71.0
8,29979814.0,61.0,7.0,28.0,47.0,67.0,175.0,24.0,0.0,66.0,1.0,166.0,33.0,33.0,180.0,0.0,95.0,7.0,22.0,49.0,0.0,5.0,1.0,20.0,282.0,10.0,183.0,10.0,7.0,14.0,2.0,0.0,11.0,32.0,4.0,2.0,37.0,1.0,16.0,10.0,30.0,3.0,11.0,6.0,4.0,2.0,1.0,1.0,78.0,7.0,1.0,6.0,0.0,0.0,0.0,6.0,45.0,12.0,14.0,2.0,0.0,0.0,15.0,10.0,39.0,17.0,21.0,4.0,0.0,1.0,0.0,3.0,0.0,1.0,4.0,0.0,4.0,4.0,0.0,11.0
9,47847315.0,149.0,21.0,66.0,69.0,260.0,192.0,219.0,66.0,0.0,1.0,154.0,109.0,369.0,448.0,0.0,324.0,19.0,70.0,58.0,6.0,30.0,4.0,137.0,511.0,48.0,189.0,20.0,5.0,8.0,3.0,0.0,31.0,34.0,2.0,0.0,19.0,3.0,67.0,3.0,18.0,7.0,42.0,4.0,3.0,4.0,5.0,0.0,65.0,2.0,159.0,1.0,0.0,2.0,1.0,4.0,120.0,11.0,223.0,0.0,3.0,4.0,3.0,47.0,134.0,49.0,4.0,0.0,0.0,0.0,0.0,16.0,3.0,6.0,9.0,0.0,0.0,5.0,0.0,116.0
