,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294
0,-1.0,9076542.0,14571632.0,15299119.0,17682351.0,18021621.0,18213476.0,18725815.0,19042030.0,19682785.0,19814618.0,20263645.0,20801977.0,21082169.0,21344248.0,23495123.0,25161342.0,25886969.0,27219100.0,31135856.0,39006021.0,39344961.0,39953073.0,43165560.0,43789332.0,44168643.0,48959778.0,48970444.0,49644385.0,50594829.0,51478771.0,51792690.0,52258638.0,52487389.0,52842945.0,52915212.0,53028350.0,53389180.0,54498037.0,56392681.0,60112585.0,60585863.0,64635420.0,67425191.0,68492468.0,69854362.0,70115569.0,71365276.0,73225309.0,74481416.0,76932332.0,79082506.0,81230646.0,86976234.0,92228888.0,92624664.0,93516189.0,96132700.0,99486551.0,100682954.0,101093065.0,102818182.0,106504800.0,106726908.0,109392688.0,115701851.0,116496187.0,118237085.0,120870645.0,122928586.0,123350039.0,124203870.0,132556121.0,140777970.0,144617059.0,149854829.0,162650265.0,164078957.0,166747269.0,168710349.0,173861236.0,176546158.0,178073925.0,179531189.0,180345865.0,183189083.0,184452449.0,188088061.0,196556403.0,197386976.0,199176866.0,201179429.0,210824047.0,213217188.0,216468858.0,216810337.0,221393952.0,222295354.0,227452005.0,228373821.0,234059520.0,235653086.0,237519969.0,239395885.0,240573413.0,241314646.0,242833670.0,242983206.0,243925540.0,244001839.0,244191468.0,245588060.0,245985411.0,246130326.0,246422033.0,247202005.0,248165915.0,248829205.0,250702100.0,251817767.0,251975467.0,251980601.0,252031811.0,252052670.0,252096845.0,252462974.0,252727382.0,253116845.0,253531983.0,253596561.0,253668686.0,253766102.0,253920836.0,254071578.0,254513164.0,254873869.0,255007697.0,255056286.0,255630029.0,255632183.0,256979228.0,258394449.0,258694951.0,259181047.0,259438599.0,259601946.0,259606982.0,259618478.0,260314188.0,260571293.0,260655847.0,261696064.0,262067630.0,262721088.0,262745521.0,263185590.0,263194335.0,263225101.0,263672809.0,264121528.0,266673406.0,268428741.0,269251561.0,269927326.0,270038036.0,272104741.0,272308325.0,274937626.0,275093764.0,275115527.0,275214787.0,275523472.0,278431499.0,278593848.0,280196372.0,280579391.0,281553266.0,283103568.0,284219535.0,284237774.0,286571358.0,286970741.0,287848520.0,288755234.0,289174593.0,289513787.0,291922856.0,292655292.0,293093636.0,293994308.0,294044271.0,295366074.0,295483749.0,297944652.0,302018889.0,304181609.0,309041796.0,309614442.0,310324793.0,310769612.0,311508374.0,311948375.0,312583267.0,312669043.0,313218030.0,313983586.0,314048797.0,315993982.0,317262357.0,317359349.0,317773504.0,318476327.0,318897590.0,319021106.0,319579623.0,319632892.0,321539119.0,323559063.0,323993099.0,324501150.0,325604225.0,328933147.0,331456351.0,332444891.0,332751087.0,335432912.0,336576775.0,336622675.0,338297532.0,341394359.0,341686225.0,341725090.0,346167423.0,348226010.0,348632309.0,350545056.0,352286306.0,353441284.0,356723901.0,357114939.0,360086054.0,361947583.0,362838465.0,363361912.0,364524612.0,366281076.0,366437511.0,370232106.0,371247232.0,375193583.0,376306383.0,376390853.0,377995503.0,378676528.0,379379068.0,380785929.0,382306503.0,383993470.0,384136892.0,385090839.0,387850747.0,389300339.0,390002624.0,391021685.0,391282804.0,394098186.0,394694673.0,395517232.0,399218339.0,399747272.0,400861491.0,402687781.0,405793312.0,406621992.0,406881345.0,407339525.0,408554407.0,410940243.0,412728046.0,415681188.0,418984643.0,419786434.0,420351613.0,422831686.0,423782407.0,427111253.0,437651082.0,439896774.0,441155820.0,447158147.0,447409017.0,448206507.0,452355215.0,454722021.0,455483819.0
1,9076542.0,0.0,147.0,22.0,124.0,119.0,6.0,111.0,103.0,2.0,52.0,6.0,122.0,5.0,131.0,18.0,85.0,52.0,56.0,57.0,31.0,93.0,26.0,38.0,4.0,37.0,65.0,22.0,35.0,50.0,103.0,28.0,11.0,94.0,18.0,102.0,20.0,42.0,23.0,49.0,18.0,0.0,2.0,12.0,63.0,43.0,57.0,73.0,111.0,46.0,95.0,9.0,1.0,50.0,28.0,27.0,22.0,128.0,1.0,28.0,37.0,59.0,78.0,11.0,47.0,1.0,40.0,50.0,84.0,136.0,11.0,60.0,3.0,26.0,17.0,77.0,14.0,92.0,12.0,37.0,15.0,5.0,200.0,52.0,9.0,19.0,1.0,7.0,14.0,27.0,0.0,168.0,7.0,7.0,0.0,97.0,0.0,7.0,93.0,3.0,9.0,9.0,60.0,1.0,2.0,291.0,85.0,15.0,17.0,39.0,32.0,0.0,11.0,6.0,55.0,324.0,13.0,0.0,147.0,77.0,19.0,107.0,34.0,13.0,1.0,91.0,18.0,25.0,15.0,12.0,22.0,24.0,19.0,35.0,115.0,116.0,68.0,86.0,2.0,34.0,19.0,13.0,101.0,19.0,53.0,129.0,10.0,147.0,18.0,8.0,106.0,7.0,107.0,42.0,4.0,21.0,14.0,7.0,81.0,281.0,48.0,22.0,34.0,178.0,84.0,40.0,15.0,25.0,15.0,20.0,10.0,26.0,9.0,5.0,146.0,5.0,111.0,11.0,10.0,13.0,8.0,2.0,74.0,56.0,3.0,0.0,290.0,0.0,6.0,11.0,7.0,76.0,150.0,31.0,43.0,159.0,10.0,80.0,3.0,123.0,11.0,9.0,20.0,145.0,13.0,21.0,0.0,5.0,1.0,119.0,18.0,34.0,12.0,5.0,77.0,0.0,120.0,21.0,1.0,17.0,24.0,92.0,8.0,52.0,24.0,41.0,59.0,9.0,54.0,1.0,1.0,0.0,13.0,1.0,46.0,0.0,15.0,34.0,0.0,12.0,2.0,8.0,2.0,0.0,18.0,12.0,18.0,10.0,40.0,18.0,42.0,24.0,11.0,19.0,64.0,30.0,6.0,0.0,31.0,1.0,3.0,69.0,0.0,0.0,50.0,6.0,109.0,29.0,7.0,13.0,3.0,15.0,0.0,0.0,4.0,22.0,24.0,13.0,2.0,192.0,1.0,18.0,18.0,0.0,0.0,11.0,9.0,116.0,17.0,0.0,3.0,0.0,5.0,1.0,0.0
2,14571632.0,147.0,0.0,1.0,33.0,3.0,0.0,26.0,2.0,0.0,16.0,0.0,9.0,0.0,2.0,0.0,5.0,12.0,1.0,7.0,5.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,10.0,3.0,0.0,8.0,0.0,55.0,2.0,1.0,1.0,0.0,9.0,0.0,1.0,5.0,40.0,5.0,5.0,6.0,19.0,9.0,42.0,0.0,0.0,1.0,0.0,8.0,0.0,145.0,1.0,0.0,7.0,0.0,0.0,2.0,9.0,0.0,8.0,2.0,105.0,10.0,0.0,6.0,0.0,0.0,3.0,86.0,2.0,5.0,2.0,1.0,1.0,0.0,226.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,272.0,1.0,1.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,6.0,12.0,0.0,0.0,264.0,9.0,5.0,0.0,8.0,0.0,0.0,2.0,0.0,4.0,271.0,0.0,0.0,9.0,43.0,2.0,111.0,6.0,1.0,1.0,115.0,1.0,12.0,4.0,1.0,3.0,2.0,0.0,1.0,75.0,9.0,21.0,20.0,0.0,4.0,1.0,3.0,187.0,1.0,3.0,158.0,2.0,86.0,2.0,0.0,11.0,1.0,161.0,33.0,0.0,0.0,0.0,1.0,107.0,364.0,65.0,2.0,54.0,201.0,72.0,2.0,2.0,1.0,0.0,4.0,1.0,5.0,12.0,0.0,206.0,1.0,160.0,0.0,0.0,5.0,1.0,0.0,75.0,5.0,0.0,0.0,353.0,0.0,2.0,1.0,2.0,17.0,148.0,6.0,62.0,130.0,1.0,114.0,1.0,173.0,0.0,0.0,2.0,197.0,0.0,9.0,0.0,0.0,0.0,154.0,0.0,5.0,2.0,0.0,64.0,0.0,164.0,2.0,0.0,1.0,0.0,129.0,0.0,5.0,0.0,5.0,79.0,1.0,55.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,28.0,67.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,162.0,7.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,9.0,6.0,15.0,0.0,131.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,15299119.0,22.0,1.0,0.0,101.0,83.0,14.0,60.0,60.0,3.0,6.0,1.0,72.0,10.0,221.0,68.0,30.0,3.0,41.0,37.0,2.0,65.0,2.0,3.0,2.0,3.0,24.0,8.0,14.0,14.0,159.0,1.0,5.0,102.0,10.0,15.0,2.0,10.0,5.0,14.0,6.0,0.0,1.0,0.0,5.0,15.0,8.0,12.0,16.0,12.0,21.0,3.0,1.0,14.0,28.0,3.0,18.0,3.0,0.0,5.0,3.0,20.0,94.0,2.0,12.0,2.0,0.0,10.0,2.0,34.0,3.0,12.0,1.0,8.0,9.0,2.0,9.0,171.0,1.0,6.0,1.0,6.0,3.0,6.0,3.0,1.0,0.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,12.0,0.0,3.0,0.0,8.0,1.0,1.0,20.0,21.0,10.0,0.0,8.0,6.0,0.0,8.0,0.0,7.0,22.0,2.0,0.0,68.0,12.0,0.0,2.0,4.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,23.0,10.0,184.0,38.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,2.0,0.0,14.0,6.0,3.0,40.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,13.0,0.0,2.0,0.0,4.0,1.0,4.0,2.0,6.0,16.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,102.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,7.0,3.0,15.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,10.0,5.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,9.0,7.0,4.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,12.0,0.0,1.0,33.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,56.0,0.0,0.0,63.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
4,17682351.0,124.0,33.0,101.0,0.0,345.0,6.0,393.0,325.0,10.0,32.0,10.0,464.0,18.0,510.0,47.0,433.0,89.0,72.0,162.0,37.0,220.0,2.0,9.0,92.0,6.0,81.0,40.0,33.0,37.0,352.0,10.0,10.0,193.0,21.0,78.0,21.0,166.0,31.0,28.0,7.0,2.0,1.0,17.0,51.0,48.0,31.0,50.0,49.0,93.0,97.0,5.0,0.0,203.0,20.0,24.0,54.0,89.0,0.0,59.0,53.0,34.0,146.0,20.0,160.0,11.0,4.0,184.0,21.0,231.0,11.0,150.0,1.0,10.0,33.0,26.0,74.0,390.0,12.0,26.0,3.0,14.0,55.0,15.0,1.0,51.0,0.0,10.0,41.0,37.0,0.0,39.0,9.0,3.0,0.0,136.0,0.0,2.0,168.0,0.0,5.0,2.0,205.0,9.0,4.0,174.0,303.0,8.0,1.0,137.0,79.0,0.0,14.0,0.0,65.0,106.0,4.0,0.0,115.0,51.0,0.0,34.0,11.0,3.0,0.0,25.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,65.0,60.0,620.0,223.0,116.0,1.0,2.0,5.0,0.0,11.0,4.0,100.0,30.0,6.0,92.0,132.0,12.0,134.0,3.0,26.0,8.0,0.0,1.0,1.0,2.0,9.0,71.0,12.0,10.0,3.0,77.0,15.0,69.0,11.0,35.0,21.0,1.0,0.0,5.0,2.0,0.0,30.0,3.0,16.0,15.0,0.0,0.0,1.0,2.0,27.0,323.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,140.0,40.0,129.0,7.0,46.0,57.0,15.0,0.0,16.0,13.0,0.0,0.0,42.0,0.0,50.0,0.0,0.0,0.0,19.0,1.0,3.0,1.0,1.0,6.0,0.0,22.0,4.0,13.0,0.0,4.0,13.0,0.0,29.0,15.0,23.0,11.0,6.0,27.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,50.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,8.0,33.0,37.0,40.0,56.0,1.0,0.0,2.0,9.0,135.0,1.0,5.0,23.0,0.0,4.0,59.0,0.0,1.0,18.0,17.0,13.0,2.0,2.0,4.0,8.0,2.0,0.0,0.0,0.0,4.0,12.0,1.0,1.0,664.0,0.0,0.0,129.0,0.0,0.0,1.0,5.0,51.0,13.0,0.0,0.0,0.0,1.0,0.0,2.0
5,18021621.0,119.0,3.0,83.0,345.0,0.0,8.0,267.0,172.0,4.0,25.0,6.0,268.0,5.0,317.0,54.0,206.0,79.0,76.0,101.0,51.0,253.0,8.0,23.0,17.0,13.0,81.0,36.0,38.0,40.0,250.0,15.0,13.0,296.0,42.0,75.0,17.0,100.0,24.0,50.0,7.0,1.0,2.0,18.0,40.0,75.0,66.0,94.0,86.0,93.0,69.0,7.0,0.0,77.0,27.0,31.0,41.0,44.0,0.0,41.0,30.0,62.0,168.0,17.0,111.0,0.0,13.0,126.0,12.0,217.0,10.0,112.0,2.0,31.0,39.0,13.0,44.0,358.0,9.0,30.0,11.0,8.0,35.0,40.0,4.0,27.0,1.0,15.0,22.0,28.0,0.0,9.0,17.0,3.0,0.0,148.0,0.0,2.0,150.0,1.0,6.0,0.0,114.0,4.0,3.0,134.0,210.0,19.0,4.0,93.0,53.0,0.0,10.0,0.0,64.0,104.0,6.0,0.0,198.0,52.0,3.0,18.0,11.0,4.0,0.0,6.0,4.0,1.0,8.0,1.0,4.0,7.0,4.0,44.0,77.0,444.0,141.0,105.0,3.0,6.0,12.0,2.0,2.0,6.0,98.0,6.0,8.0,95.0,58.0,11.0,130.0,8.0,7.0,8.0,0.0,6.0,5.0,1.0,3.0,64.0,6.0,9.0,2.0,35.0,6.0,50.0,12.0,33.0,21.0,4.0,1.0,6.0,2.0,0.0,13.0,3.0,6.0,13.0,2.0,1.0,1.0,0.0,9.0,148.0,0.0,0.0,67.0,0.0,1.0,0.0,2.0,92.0,23.0,80.0,3.0,35.0,39.0,2.0,1.0,4.0,12.0,1.0,3.0,17.0,2.0,27.0,0.0,5.0,1.0,9.0,3.0,12.0,1.0,0.0,4.0,0.0,9.0,14.0,6.0,2.0,3.0,5.0,1.0,34.0,21.0,30.0,4.0,8.0,17.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,39.0,16.0,0.0,2.0,0.0,3.0,0.0,0.0,7.0,1.0,11.0,14.0,44.0,43.0,53.0,5.0,2.0,1.0,3.0,92.0,0.0,1.0,81.0,0.0,6.0,78.0,0.0,5.0,30.0,16.0,2.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,2.0,8.0,20.0,1.0,6.0,349.0,1.0,1.0,66.0,0.0,0.0,5.0,2.0,39.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0
6,18213476.0,6.0,0.0,14.0,6.0,8.0,0.0,5.0,12.0,0.0,3.0,0.0,4.0,1.0,17.0,5.0,1.0,0.0,151.0,7.0,2.0,8.0,3.0,3.0,1.0,1.0,9.0,2.0,5.0,7.0,15.0,2.0,1.0,8.0,2.0,2.0,0.0,6.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,6.0,6.0,1.0,8.0,2.0,0.0,5.0,6.0,2.0,2.0,5.0,0.0,4.0,1.0,11.0,12.0,2.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,5.0,2.0,2.0,6.0,0.0,0.0,9.0,0.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,11.0,5.0,7.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,9.0,2.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,9.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,3.0,2.0,58.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,2.0,0.0,0.0,2.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,8.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,18725815.0,111.0,26.0,60.0,393.0,267.0,5.0,0.0,80.0,6.0,124.0,6.0,366.0,18.0,173.0,30.0,341.0,51.0,52.0,121.0,74.0,236.0,15.0,75.0,10.0,37.0,69.0,36.0,74.0,64.0,168.0,82.0,4.0,156.0,17.0,62.0,70.0,129.0,110.0,19.0,23.0,1.0,10.0,31.0,40.0,53.0,76.0,140.0,85.0,132.0,63.0,23.0,1.0,30.0,17.0,43.0,42.0,117.0,2.0,74.0,192.0,24.0,99.0,39.0,174.0,4.0,70.0,192.0,21.0,277.0,8.0,175.0,4.0,7.0,31.0,58.0,70.0,243.0,6.0,28.0,69.0,17.0,72.0,84.0,4.0,89.0,3.0,23.0,59.0,214.0,0.0,39.0,28.0,11.0,0.0,104.0,0.0,21.0,187.0,10.0,2.0,30.0,133.0,14.0,10.0,217.0,147.0,26.0,59.0,157.0,45.0,0.0,23.0,4.0,105.0,139.0,46.0,0.0,282.0,88.0,13.0,51.0,107.0,25.0,14.0,29.0,21.0,10.0,9.0,13.0,21.0,7.0,10.0,54.0,85.0,551.0,165.0,249.0,4.0,26.0,6.0,7.0,18.0,15.0,110.0,53.0,29.0,166.0,142.0,12.0,250.0,17.0,35.0,75.0,1.0,13.0,32.0,47.0,20.0,118.0,27.0,71.0,11.0,83.0,17.0,81.0,38.0,82.0,19.0,20.0,8.0,28.0,2.0,10.0,36.0,7.0,23.0,31.0,11.0,5.0,7.0,6.0,15.0,287.0,4.0,0.0,127.0,0.0,22.0,14.0,10.0,156.0,42.0,94.0,9.0,59.0,85.0,17.0,24.0,26.0,19.0,9.0,29.0,38.0,25.0,57.0,0.0,1.0,1.0,23.0,19.0,24.0,11.0,10.0,44.0,0.0,62.0,22.0,6.0,12.0,73.0,23.0,10.0,141.0,16.0,77.0,11.0,10.0,62.0,3.0,2.0,0.0,18.0,6.0,46.0,0.0,47.0,18.0,1.0,7.0,0.0,30.0,0.0,0.0,18.0,14.0,49.0,14.0,16.0,49.0,119.0,45.0,8.0,14.0,15.0,194.0,24.0,0.0,16.0,1.0,5.0,40.0,0.0,3.0,173.0,12.0,17.0,87.0,23.0,54.0,3.0,31.0,0.0,5.0,20.0,143.0,143.0,2.0,10.0,476.0,2.0,16.0,103.0,0.0,7.0,5.0,29.0,45.0,62.0,0.0,13.0,0.0,2.0,0.0,1.0
8,19042030.0,103.0,2.0,60.0,325.0,172.0,12.0,80.0,0.0,3.0,14.0,6.0,252.0,13.0,438.0,47.0,161.0,37.0,76.0,68.0,18.0,110.0,6.0,15.0,94.0,8.0,86.0,30.0,36.0,73.0,191.0,12.0,13.0,168.0,30.0,81.0,9.0,58.0,15.0,59.0,6.0,1.0,3.0,5.0,9.0,39.0,53.0,72.0,93.0,41.0,86.0,6.0,0.0,348.0,41.0,12.0,53.0,17.0,2.0,29.0,14.0,96.0,142.0,4.0,54.0,2.0,5.0,63.0,5.0,132.0,13.0,76.0,3.0,35.0,23.0,4.0,15.0,144.0,12.0,27.0,6.0,8.0,18.0,36.0,2.0,9.0,1.0,13.0,8.0,7.0,0.0,9.0,10.0,2.0,0.0,88.0,0.0,0.0,70.0,0.0,6.0,1.0,65.0,2.0,1.0,85.0,122.0,20.0,0.0,19.0,42.0,0.0,14.0,1.0,41.0,127.0,8.0,0.0,179.0,31.0,2.0,6.0,8.0,1.0,1.0,8.0,1.0,2.0,5.0,4.0,7.0,8.0,3.0,48.0,67.0,205.0,66.0,43.0,1.0,5.0,16.0,1.0,0.0,2.0,83.0,4.0,4.0,61.0,36.0,11.0,102.0,5.0,5.0,2.0,0.0,8.0,3.0,0.0,2.0,51.0,8.0,6.0,1.0,12.0,2.0,52.0,9.0,27.0,18.0,4.0,2.0,4.0,1.0,0.0,6.0,1.0,6.0,11.0,1.0,3.0,1.0,4.0,8.0,87.0,0.0,0.0,56.0,0.0,0.0,2.0,1.0,52.0,17.0,41.0,1.0,25.0,21.0,2.0,1.0,2.0,18.0,0.0,1.0,7.0,1.0,20.0,0.0,5.0,1.0,4.0,3.0,12.0,1.0,1.0,1.0,0.0,3.0,8.0,36.0,2.0,9.0,2.0,0.0,23.0,43.0,26.0,1.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,16.0,18.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,2.0,5.0,6.0,47.0,22.0,29.0,0.0,1.0,0.0,0.0,25.0,0.0,2.0,39.0,0.0,3.0,106.0,0.0,1.0,9.0,7.0,3.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,9.0,0.0,3.0,127.0,1.0,0.0,36.0,0.0,0.0,4.0,6.0,27.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0
9,19682785.0,2.0,0.0,3.0,10.0,4.0,0.0,6.0,3.0,0.0,0.0,0.0,5.0,5.0,11.0,2.0,7.0,1.0,2.0,19.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
