,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,-1.0,15486485.0,16542687.0,17602530.0,20801977.0,22971942.0,24617059.0,24655962.0,27054706.0,27972159.0,30650096.0,36953448.0,43035186.0,43789332.0,48107374.0,48912297.0,48983320.0,49208641.0,50552213.0,50594829.0,51220792.0,53400136.0,55312035.0,69772862.0,80155484.0,89222644.0,98730352.0,101824385.0,104771512.0,109179092.0,110202867.0,116644138.0,152641640.0,177002568.0,192477353.0,194677466.0,197404857.0,210824047.0,217078361.0,222183480.0,232823702.0,232917031.0,235656055.0,238169051.0,239025813.0,240725906.0,242267116.0,248624378.0,253087503.0,253648970.0,254516366.0,257026661.0,257155988.0,260724365.0,261078220.0,262067630.0,264909253.0,265821444.0,266759283.0,268958968.0,269680826.0,269927326.0,270252987.0,271878218.0,274714575.0,275523472.0,276654387.0,276891481.0,278934052.0,279166692.0,279358548.0,281432161.0,286970741.0,300342390.0,301983788.0,306088103.0,311948375.0,317773504.0,328640181.0,330229987.0,350519556.0,371095791.0,377826053.0,380511052.0,382736027.0,387346317.0,390083671.0,395364431.0,401651305.0,402809534.0,402892880.0,409876365.0,415931947.0,425842620.0,430530678.0,433387163.0,434334403.0,442420721.0,442854043.0
1,15486485.0,0.0,138.0,35.0,500.0,81.0,1264.0,174.0,100.0,40.0,4.0,12.0,211.0,121.0,282.0,40.0,4.0,155.0,161.0,197.0,38.0,236.0,206.0,7.0,146.0,51.0,50.0,8.0,424.0,144.0,38.0,205.0,9.0,569.0,1230.0,98.0,316.0,16.0,297.0,101.0,0.0,4.0,0.0,242.0,58.0,111.0,196.0,117.0,116.0,22.0,1.0,86.0,10.0,386.0,133.0,10.0,0.0,1.0,0.0,4.0,0.0,52.0,2.0,1.0,27.0,1.0,4.0,17.0,3.0,1.0,385.0,5.0,1.0,3.0,142.0,1.0,0.0,3.0,30.0,32.0,5.0,62.0,173.0,57.0,0.0,48.0,0.0,379.0,773.0,0.0,0.0,0.0,51.0,55.0,39.0,66.0,0.0,114.0,3.0
2,16542687.0,138.0,0.0,6.0,137.0,27.0,55.0,30.0,20.0,5.0,14.0,1.0,201.0,91.0,66.0,15.0,19.0,31.0,46.0,34.0,18.0,193.0,30.0,26.0,9.0,11.0,23.0,1.0,67.0,12.0,4.0,41.0,0.0,81.0,256.0,12.0,58.0,5.0,91.0,11.0,0.0,0.0,0.0,49.0,10.0,14.0,29.0,22.0,11.0,10.0,0.0,6.0,1.0,35.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,1.0,0.0,7.0,0.0,1.0,38.0,4.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,7.0,1.0,30.0,34.0,25.0,0.0,13.0,0.0,28.0,29.0,2.0,0.0,0.0,5.0,7.0,12.0,11.0,0.0,34.0,0.0
3,17602530.0,35.0,6.0,0.0,31.0,5.0,29.0,33.0,11.0,4.0,0.0,12.0,12.0,1.0,4.0,16.0,0.0,16.0,38.0,15.0,2.0,41.0,6.0,0.0,15.0,18.0,16.0,0.0,14.0,28.0,11.0,8.0,4.0,56.0,51.0,1.0,9.0,1.0,39.0,23.0,0.0,0.0,0.0,5.0,11.0,1.0,4.0,24.0,10.0,2.0,0.0,6.0,1.0,14.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,9.0,0.0,0.0,47.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,6.0,3.0,2.0,5.0,12.0,2.0,0.0,13.0,0.0,7.0,7.0,0.0,0.0,0.0,14.0,12.0,16.0,6.0,0.0,41.0,0.0
4,20801977.0,500.0,137.0,31.0,0.0,5.0,117.0,200.0,31.0,11.0,12.0,17.0,169.0,56.0,95.0,40.0,12.0,59.0,199.0,70.0,2.0,292.0,186.0,19.0,40.0,19.0,129.0,0.0,177.0,88.0,20.0,113.0,8.0,387.0,587.0,36.0,58.0,25.0,316.0,34.0,0.0,1.0,0.0,199.0,35.0,27.0,62.0,97.0,111.0,60.0,1.0,82.0,7.0,111.0,54.0,14.0,0.0,1.0,0.0,6.0,0.0,46.0,3.0,1.0,38.0,4.0,3.0,16.0,3.0,1.0,155.0,9.0,0.0,1.0,3.0,2.0,0.0,5.0,41.0,57.0,2.0,17.0,112.0,15.0,0.0,65.0,0.0,129.0,140.0,0.0,0.0,0.0,65.0,60.0,30.0,15.0,0.0,111.0,6.0
5,22971942.0,81.0,27.0,5.0,5.0,0.0,18.0,3.0,2.0,39.0,0.0,2.0,101.0,99.0,37.0,4.0,0.0,25.0,3.0,292.0,137.0,30.0,0.0,0.0,16.0,26.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,83.0,262.0,1.0,266.0,1.0,6.0,14.0,0.0,0.0,0.0,5.0,2.0,22.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,251.0,8.0,39.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,70.0,0.0,29.0,0.0
6,24617059.0,1264.0,55.0,29.0,117.0,18.0,0.0,51.0,44.0,12.0,3.0,11.0,149.0,82.0,42.0,29.0,1.0,118.0,82.0,53.0,10.0,139.0,53.0,5.0,105.0,33.0,31.0,7.0,301.0,60.0,21.0,104.0,5.0,178.0,450.0,16.0,142.0,4.0,154.0,39.0,0.0,0.0,0.0,84.0,18.0,50.0,121.0,51.0,41.0,5.0,0.0,26.0,3.0,310.0,63.0,5.0,0.0,1.0,0.0,1.0,0.0,15.0,2.0,0.0,15.0,2.0,0.0,15.0,0.0,0.0,152.0,0.0,1.0,3.0,35.0,0.0,0.0,4.0,17.0,5.0,0.0,29.0,44.0,25.0,0.0,36.0,0.0,92.0,249.0,0.0,0.0,0.0,25.0,31.0,21.0,23.0,0.0,73.0,0.0
7,24655962.0,174.0,30.0,33.0,200.0,3.0,51.0,0.0,30.0,7.0,3.0,9.0,32.0,5.0,15.0,148.0,3.0,36.0,533.0,31.0,2.0,199.0,36.0,5.0,20.0,115.0,382.0,7.0,37.0,50.0,15.0,28.0,8.0,294.0,255.0,11.0,26.0,16.0,199.0,42.0,0.0,1.0,0.0,40.0,17.0,2.0,19.0,49.0,35.0,32.0,0.0,15.0,0.0,45.0,41.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,15.0,1.0,2.0,18.0,0.0,0.0,111.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,31.0,20.0,3.0,7.0,53.0,9.0,0.0,32.0,0.0,15.0,25.0,0.0,0.0,0.0,23.0,27.0,39.0,12.0,0.0,247.0,1.0
8,27054706.0,100.0,20.0,11.0,31.0,2.0,44.0,30.0,0.0,3.0,0.0,7.0,12.0,1.0,3.0,10.0,0.0,13.0,77.0,20.0,4.0,35.0,13.0,2.0,11.0,6.0,26.0,15.0,19.0,21.0,11.0,18.0,1.0,57.0,74.0,9.0,10.0,2.0,62.0,13.0,0.0,0.0,0.0,27.0,14.0,0.0,9.0,29.0,30.0,4.0,0.0,8.0,0.0,22.0,11.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,8.0,2.0,0.0,13.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,3.0,13.0,1.0,0.0,21.0,0.0,5.0,19.0,0.0,0.0,0.0,12.0,24.0,28.0,3.0,0.0,37.0,0.0
9,27972159.0,40.0,5.0,4.0,11.0,39.0,12.0,7.0,3.0,0.0,0.0,0.0,18.0,9.0,10.0,4.0,0.0,6.0,6.0,44.0,13.0,14.0,3.0,0.0,14.0,9.0,2.0,0.0,6.0,12.0,3.0,1.0,0.0,31.0,40.0,2.0,22.0,0.0,8.0,7.0,0.0,0.0,0.0,3.0,4.0,5.0,9.0,8.0,4.0,1.0,0.0,2.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,18.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,25.0,3.0,8.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,0.0,12.0,0.0
10,30650096.0,4.0,14.0,0.0,12.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,24.0,12.0,6.0,0.0,9.0,0.0,3.0,0.0,0.0,23.0,0.0,10.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,6.0,0.0,7.0,22.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,36953448.0,12.0,1.0,12.0,17.0,2.0,11.0,9.0,7.0,0.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,5.0,13.0,11.0,0.0,13.0,1.0,0.0,6.0,3.0,7.0,0.0,4.0,9.0,6.0,6.0,3.0,25.0,28.0,2.0,5.0,0.0,15.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,10.0,4.0,0.0,0.0,4.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,2.0,9.0,0.0,0.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,6.0,10.0,3.0,0.0,18.0,0.0
12,43035186.0,211.0,201.0,12.0,169.0,101.0,149.0,32.0,12.0,18.0,24.0,8.0,0.0,307.0,101.0,17.0,14.0,156.0,51.0,246.0,111.0,324.0,15.0,24.0,80.0,18.0,28.0,0.0,87.0,33.0,6.0,53.0,1.0,266.0,692.0,8.0,687.0,5.0,100.0,44.0,0.0,1.0,0.0,67.0,14.0,47.0,110.0,48.0,16.0,8.0,0.0,7.0,0.0,254.0,24.0,5.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,10.0,4.0,0.0,10.0,0.0,0.0,166.0,1.0,0.0,4.0,30.0,2.0,0.0,0.0,9.0,6.0,2.0,166.0,61.0,67.0,0.0,19.0,1.0,54.0,97.0,0.0,0.0,0.0,12.0,16.0,12.0,94.0,0.0,57.0,0.0
13,43789332.0,121.0,91.0,1.0,56.0,99.0,82.0,5.0,1.0,9.0,12.0,0.0,307.0,0.0,74.0,10.0,3.0,407.0,8.0,333.0,86.0,128.0,3.0,8.0,43.0,26.0,4.0,0.0,38.0,2.0,0.0,38.0,0.0,130.0,689.0,1.0,779.0,5.0,33.0,40.0,0.0,0.0,0.0,25.0,3.0,47.0,63.0,13.0,4.0,3.0,0.0,0.0,1.0,218.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,260.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,2.0,1.0,136.0,42.0,93.0,0.0,2.0,0.0,30.0,64.0,0.0,0.0,0.0,1.0,3.0,2.0,59.0,0.0,26.0,0.0
14,48107374.0,282.0,66.0,4.0,95.0,37.0,42.0,15.0,3.0,10.0,6.0,1.0,101.0,74.0,0.0,8.0,3.0,54.0,11.0,49.0,24.0,81.0,37.0,12.0,24.0,11.0,6.0,1.0,76.0,21.0,1.0,39.0,0.0,86.0,284.0,13.0,85.0,3.0,61.0,17.0,0.0,0.0,0.0,56.0,13.0,29.0,36.0,20.0,28.0,6.0,0.0,17.0,3.0,74.0,21.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,118.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,44.0,39.0,24.0,0.0,9.0,0.0,56.0,48.0,0.0,0.0,0.0,10.0,6.0,6.0,14.0,0.0,19.0,0.0
15,48912297.0,40.0,15.0,16.0,40.0,4.0,29.0,148.0,10.0,4.0,0.0,5.0,17.0,10.0,8.0,0.0,1.0,24.0,460.0,18.0,5.0,68.0,8.0,2.0,16.0,18.0,179.0,0.0,19.0,14.0,7.0,13.0,1.0,53.0,138.0,2.0,13.0,7.0,82.0,14.0,0.0,0.0,0.0,16.0,7.0,6.0,11.0,19.0,11.0,16.0,1.0,5.0,0.0,20.0,19.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,12.0,2.0,2.0,10.0,1.0,0.0,33.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,6.0,5.0,2.0,7.0,13.0,2.0,1.0,15.0,0.0,6.0,20.0,1.0,0.0,1.0,6.0,7.0,17.0,7.0,0.0,285.0,3.0
16,48983320.0,4.0,19.0,0.0,12.0,0.0,1.0,3.0,0.0,0.0,9.0,0.0,14.0,3.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,19.0,1.0,28.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
17,49208641.0,155.0,31.0,16.0,59.0,25.0,118.0,36.0,13.0,6.0,0.0,5.0,156.0,407.0,54.0,24.0,1.0,0.0,34.0,35.0,25.0,69.0,8.0,3.0,60.0,16.0,11.0,1.0,40.0,25.0,6.0,30.0,2.0,81.0,1184.0,2.0,2113.0,1.0,53.0,53.0,0.0,0.0,0.0,22.0,8.0,61.0,48.0,16.0,12.0,4.0,0.0,5.0,0.0,1010.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,6.0,0.0,0.0,1127.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,3.0,4.0,0.0,57.0,53.0,269.0,0.0,7.0,0.0,60.0,74.0,0.0,0.0,0.0,5.0,5.0,14.0,14.0,0.0,30.0,0.0
18,50552213.0,161.0,46.0,38.0,199.0,3.0,82.0,533.0,77.0,6.0,3.0,13.0,51.0,8.0,11.0,460.0,4.0,34.0,0.0,49.0,1.0,238.0,38.0,7.0,33.0,90.0,486.0,5.0,54.0,78.0,22.0,59.0,9.0,262.0,353.0,13.0,39.0,14.0,245.0,45.0,0.0,3.0,0.0,53.0,23.0,5.0,24.0,86.0,40.0,31.0,2.0,20.0,0.0,58.0,44.0,5.0,0.0,4.0,2.0,9.0,0.0,6.0,7.0,2.0,32.0,6.0,4.0,31.0,7.0,5.0,142.0,0.0,1.0,5.0,1.0,4.0,4.0,12.0,22.0,25.0,11.0,8.0,70.0,14.0,2.0,64.0,0.0,24.0,44.0,2.0,0.0,2.0,34.0,52.0,42.0,14.0,0.0,544.0,3.0
19,50594829.0,197.0,34.0,15.0,70.0,292.0,53.0,31.0,20.0,44.0,0.0,11.0,246.0,333.0,49.0,18.0,1.0,35.0,49.0,0.0,183.0,99.0,32.0,0.0,32.0,21.0,15.0,5.0,30.0,33.0,21.0,12.0,2.0,217.0,339.0,5.0,589.0,19.0,58.0,25.0,0.0,12.0,0.0,24.0,36.0,12.0,25.0,47.0,13.0,15.0,9.0,20.0,7.0,60.0,33.0,4.0,0.0,15.0,3.0,22.0,0.0,5.0,9.0,11.0,23.0,9.0,6.0,56.0,20.0,6.0,63.0,5.0,6.0,9.0,12.0,21.0,4.0,20.0,8.0,5.0,57.0,231.0,43.0,30.0,0.0,39.0,2.0,13.0,35.0,3.0,0.0,2.0,11.0,30.0,34.0,163.0,0.0,53.0,5.0
20,51220792.0,38.0,18.0,2.0,2.0,137.0,10.0,2.0,4.0,13.0,0.0,0.0,111.0,86.0,24.0,5.0,0.0,25.0,1.0,183.0,0.0,21.0,0.0,0.0,6.0,22.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,48.0,136.0,0.0,210.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,110.0,9.0,21.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,59.0,0.0,12.0,0.0
21,53400136.0,236.0,193.0,41.0,292.0,30.0,139.0,199.0,35.0,14.0,23.0,13.0,324.0,128.0,81.0,68.0,19.0,69.0,238.0,99.0,21.0,0.0,49.0,29.0,41.0,386.0,169.0,0.0,130.0,71.0,24.0,83.0,5.0,365.0,479.0,12.0,107.0,9.0,287.0,50.0,0.0,2.0,0.0,96.0,30.0,22.0,78.0,98.0,46.0,16.0,2.0,21.0,2.0,80.0,59.0,6.0,0.0,2.0,1.0,9.0,0.0,11.0,4.0,1.0,22.0,5.0,1.0,24.0,1.0,1.0,117.0,2.0,1.0,5.0,3.0,3.0,1.0,5.0,41.0,13.0,5.0,58.0,59.0,32.0,0.0,44.0,1.0,55.0,72.0,0.0,0.0,0.0,39.0,42.0,45.0,37.0,0.0,174.0,4.0
