,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,-1.0,16079937.0,25161342.0,26376601.0,34699794.0,46751760.0,48495906.0,48959778.0,49323761.0,60568628.0,63579041.0,73027585.0,78787098.0,85657389.0,91172895.0,101710782.0,115773894.0,117482917.0,124407978.0,230844017.0,238169051.0,238369902.0,239065881.0,253673210.0,253742998.0,253985692.0,255327405.0,256473884.0,257747817.0,260314188.0,262821567.0,267088381.0,269266951.0,269281101.0,274246546.0,276669698.0,294523668.0,296532899.0,309041796.0,314048797.0,316006382.0,317836964.0,321612773.0,326991289.0,330185697.0,349146547.0,359509980.0,364695005.0,378889645.0,390244807.0,428978217.0,428999682.0,441155820.0,444279470.0
1,16079937.0,0.0,206.0,31.0,53.0,14.0,183.0,88.0,122.0,108.0,8.0,3.0,90.0,8.0,3.0,4.0,53.0,68.0,13.0,25.0,69.0,51.0,99.0,3.0,3.0,48.0,13.0,77.0,29.0,65.0,111.0,49.0,63.0,24.0,31.0,91.0,0.0,5.0,25.0,0.0,23.0,175.0,0.0,2.0,98.0,24.0,93.0,35.0,13.0,16.0,0.0,0.0,19.0,39.0
2,25161342.0,206.0,0.0,63.0,109.0,57.0,419.0,142.0,279.0,246.0,4.0,12.0,211.0,3.0,9.0,5.0,43.0,100.0,72.0,61.0,259.0,35.0,104.0,2.0,12.0,45.0,46.0,111.0,23.0,250.0,159.0,168.0,104.0,26.0,50.0,91.0,0.0,21.0,135.0,0.0,61.0,305.0,0.0,2.0,107.0,35.0,77.0,57.0,6.0,60.0,6.0,0.0,27.0,46.0
3,26376601.0,31.0,63.0,0.0,20.0,27.0,68.0,22.0,37.0,104.0,6.0,20.0,20.0,1.0,11.0,6.0,5.0,10.0,33.0,34.0,45.0,10.0,50.0,1.0,1.0,11.0,22.0,17.0,28.0,50.0,84.0,77.0,31.0,10.0,11.0,30.0,0.0,13.0,45.0,0.0,18.0,59.0,0.0,1.0,25.0,20.0,31.0,34.0,1.0,50.0,4.0,0.0,13.0,19.0
4,34699794.0,53.0,109.0,20.0,0.0,21.0,106.0,61.0,67.0,48.0,2.0,5.0,48.0,3.0,2.0,0.0,13.0,25.0,10.0,7.0,100.0,22.0,35.0,0.0,3.0,14.0,29.0,23.0,9.0,74.0,55.0,35.0,29.0,4.0,30.0,38.0,0.0,6.0,26.0,0.0,4.0,137.0,0.0,2.0,22.0,14.0,24.0,23.0,2.0,12.0,1.0,0.0,9.0,25.0
5,46751760.0,14.0,57.0,27.0,21.0,0.0,57.0,7.0,29.0,54.0,3.0,4.0,12.0,0.0,5.0,3.0,2.0,4.0,35.0,19.0,50.0,4.0,42.0,0.0,0.0,7.0,25.0,11.0,3.0,37.0,54.0,41.0,27.0,9.0,11.0,15.0,0.0,12.0,31.0,0.0,9.0,43.0,1.0,0.0,10.0,16.0,13.0,28.0,0.0,31.0,2.0,0.0,11.0,17.0
6,48495906.0,183.0,419.0,68.0,106.0,57.0,0.0,152.0,270.0,189.0,3.0,8.0,176.0,1.0,9.0,5.0,27.0,51.0,69.0,79.0,189.0,20.0,128.0,6.0,9.0,38.0,65.0,177.0,19.0,300.0,175.0,167.0,107.0,25.0,61.0,104.0,0.0,25.0,130.0,0.0,56.0,262.0,1.0,1.0,96.0,52.0,60.0,69.0,8.0,74.0,6.0,0.0,33.0,32.0
7,48959778.0,88.0,142.0,22.0,61.0,7.0,152.0,0.0,77.0,75.0,2.0,1.0,59.0,7.0,2.0,1.0,43.0,39.0,22.0,28.0,63.0,13.0,72.0,1.0,10.0,36.0,19.0,44.0,20.0,104.0,88.0,40.0,46.0,21.0,50.0,44.0,0.0,5.0,47.0,0.0,25.0,132.0,0.0,1.0,70.0,28.0,25.0,28.0,12.0,18.0,3.0,0.0,22.0,13.0
8,49323761.0,122.0,279.0,37.0,67.0,29.0,270.0,77.0,0.0,76.0,4.0,4.0,201.0,15.0,3.0,1.0,40.0,44.0,37.0,67.0,142.0,16.0,65.0,4.0,10.0,38.0,24.0,132.0,18.0,314.0,105.0,112.0,69.0,15.0,19.0,56.0,0.0,10.0,60.0,0.0,30.0,144.0,0.0,2.0,54.0,23.0,98.0,39.0,13.0,30.0,0.0,0.0,15.0,19.0
9,60568628.0,108.0,246.0,104.0,48.0,54.0,189.0,75.0,76.0,0.0,31.0,11.0,72.0,3.0,24.0,10.0,32.0,34.0,83.0,50.0,98.0,17.0,151.0,1.0,5.0,73.0,54.0,44.0,24.0,103.0,189.0,110.0,108.0,46.0,55.0,64.0,0.0,27.0,97.0,0.0,72.0,155.0,1.0,5.0,112.0,73.0,53.0,84.0,6.0,78.0,3.0,0.0,47.0,27.0
