,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
0,-1.0,19480571.0,20666494.0,30521599.0,40717358.0,54182296.0,69527368.0,75416951.0,83869098.0,91771258.0,98724873.0,107913356.0,150121038.0,190181946.0,197026372.0,201179429.0,210824047.0,224191683.0,232917031.0,238096920.0,244101797.0,244511558.0,246223044.0,246922506.0,252013761.0,252052670.0,252076958.0,253423791.0,253753754.0,253766102.0,254510174.0,254516366.0,254918743.0,257155988.0,259166764.0,260004196.0,260258650.0,260689065.0,261351451.0,264909253.0,265608153.0,265821444.0,266701788.0,266759283.0,267321942.0,268298436.0,269245304.0,270252987.0,270626776.0,271878218.0,272308325.0,275925375.0,276573521.0,276891481.0,278934052.0,279166692.0,279265814.0,280196372.0,280978003.0,282636043.0,283235408.0,285115375.0,288927802.0,295796393.0,295816454.0,297949771.0,298112519.0,298204423.0,299064557.0,300342390.0,305787501.0,306088103.0,306157587.0,307213351.0,310329972.0,310769612.0,311180181.0,311948375.0,312468028.0,312548457.0,312861587.0,316144548.0,317262357.0,317359349.0,318390538.0,318523147.0,319225412.0,321539119.0,328933147.0,336185509.0,338067793.0,339034131.0,339474731.0,348632309.0,350519556.0,350545056.0,353318286.0,356723901.0,358410427.0,359179176.0,363282940.0,364147931.0,364524612.0,365546327.0,366222982.0,369171106.0,369224982.0,371624190.0,379753339.0,382368139.0,382736027.0,385160961.0,386459560.0,388494824.0,389477315.0,390083671.0,395364892.0,395517232.0,396823485.0,398315667.0,402809534.0,403595628.0,405802185.0,406274689.0,409876365.0,412020731.0,412663554.0,414917342.0,422529224.0,427111253.0,428843595.0,430530678.0,430943066.0,436776858.0,443926556.0,448691746.0,449925509.0,449929555.0,450091762.0,451355490.0,451575515.0,451693527.0
1,19480571.0,0.0,2.0,2.0,1.0,2.0,25.0,11.0,5.0,2.0,0.0,1.0,46.0,42.0,0.0,114.0,1.0,2.0,18.0,0.0,63.0,93.0,36.0,5.0,11.0,2.0,5.0,84.0,174.0,2.0,0.0,2.0,3.0,4.0,14.0,14.0,53.0,11.0,4.0,0.0,5.0,2.0,18.0,1.0,1.0,11.0,4.0,3.0,23.0,2.0,7.0,0.0,1.0,6.0,4.0,8.0,1.0,113.0,18.0,17.0,28.0,0.0,16.0,33.0,0.0,6.0,3.0,1.0,9.0,7.0,0.0,1.0,0.0,52.0,6.0,94.0,5.0,1.0,0.0,94.0,0.0,0.0,0.0,79.0,1.0,13.0,2.0,80.0,55.0,128.0,0.0,3.0,26.0,16.0,9.0,0.0,69.0,0.0,0.0,6.0,0.0,87.0,5.0,47.0,86.0,0.0,38.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,33.0,7.0,5.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,2.0,5.0,1.0,7.0,0.0,11.0,0.0,9.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0
2,20666494.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,5.0,6.0,0.0,2.0,0.0,7.0,2.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,19.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,3.0,6.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,2.0,1.0,13.0,1.0,28.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
3,30521599.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,7.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,40717358.0,1.0,0.0,0.0,0.0,1.0,29.0,2.0,0.0,11.0,6.0,0.0,0.0,33.0,3.0,4.0,2.0,0.0,3.0,0.0,0.0,5.0,2.0,32.0,28.0,7.0,14.0,1.0,3.0,30.0,20.0,12.0,29.0,1.0,25.0,0.0,4.0,20.0,4.0,8.0,5.0,14.0,34.0,23.0,20.0,22.0,22.0,27.0,33.0,28.0,5.0,1.0,9.0,22.0,12.0,9.0,2.0,0.0,1.0,0.0,34.0,1.0,0.0,1.0,6.0,32.0,1.0,10.0,23.0,27.0,0.0,26.0,21.0,1.0,27.0,2.0,14.0,24.0,22.0,0.0,0.0,1.0,0.0,7.0,13.0,0.0,36.0,2.0,4.0,2.0,1.0,40.0,1.0,36.0,38.0,0.0,1.0,9.0,2.0,2.0,5.0,5.0,18.0,1.0,8.0,0.0,0.0,27.0,0.0,0.0,6.0,2.0,8.0,18.0,1.0,17.0,0.0,9.0,0.0,6.0,4.0,16.0,25.0,7.0,9.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0,13.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
5,54182296.0,2.0,4.0,1.0,1.0,0.0,19.0,4.0,4.0,2.0,7.0,0.0,2.0,3.0,0.0,4.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,12.0,3.0,0.0,0.0,2.0,0.0,1.0,70.0,2.0,4.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,2.0,43.0,0.0,6.0,2.0,0.0,1.0,2.0,2.0,2.0,12.0,30.0,7.0,0.0,0.0,6.0,7.0,0.0,4.0,3.0,0.0,6.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,10.0,2.0,1.0,1.0,4.0,0.0,68.0,0.0,4.0,24.0,0.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
6,69527368.0,25.0,0.0,1.0,29.0,19.0,0.0,4.0,5.0,12.0,59.0,1.0,17.0,131.0,7.0,49.0,9.0,0.0,27.0,0.0,22.0,27.0,13.0,102.0,98.0,36.0,42.0,24.0,48.0,76.0,58.0,38.0,77.0,1.0,97.0,1.0,49.0,69.0,1.0,18.0,16.0,26.0,110.0,106.0,56.0,93.0,73.0,82.0,127.0,67.0,14.0,20.0,14.0,85.0,30.0,30.0,6.0,24.0,9.0,3.0,121.0,5.0,5.0,10.0,13.0,91.0,15.0,26.0,82.0,110.0,0.0,76.0,53.0,29.0,132.0,31.0,57.0,43.0,75.0,37.0,0.0,0.0,0.0,34.0,56.0,4.0,135.0,31.0,28.0,42.0,2.0,268.0,11.0,148.0,187.0,0.0,24.0,29.0,8.0,7.0,13.0,31.0,57.0,21.0,45.0,0.0,16.0,90.0,0.0,0.0,6.0,0.0,12.0,53.0,1.0,39.0,9.0,25.0,4.0,9.0,17.0,60.0,71.0,24.0,19.0,0.0,1.0,20.0,7.0,3.0,0.0,8.0,7.0,31.0,0.0,0.0,2.0,1.0,6.0,4.0,1.0,3.0
7,75416951.0,11.0,2.0,3.0,2.0,4.0,4.0,0.0,14.0,7.0,1.0,1.0,2.0,12.0,3.0,8.0,4.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,2.0,2.0,3.0,25.0,5.0,0.0,1.0,2.0,46.0,2.0,7.0,9.0,6.0,14.0,0.0,3.0,3.0,4.0,0.0,0.0,5.0,10.0,1.0,7.0,2.0,4.0,1.0,0.0,8.0,1.0,0.0,0.0,11.0,1.0,4.0,22.0,2.0,8.0,1.0,1.0,6.0,2.0,0.0,11.0,3.0,0.0,5.0,1.0,4.0,1.0,4.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,8.0,3.0,9.0,0.0,8.0,4.0,11.0,0.0,3.0,1.0,11.0,6.0,0.0,4.0,0.0,1.0,3.0,4.0,7.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0,3.0,2.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,13.0,1.0,15.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
8,83869098.0,5.0,5.0,1.0,0.0,4.0,5.0,14.0,0.0,5.0,1.0,2.0,3.0,10.0,1.0,4.0,3.0,4.0,1.0,0.0,4.0,8.0,0.0,3.0,0.0,3.0,2.0,1.0,26.0,3.0,0.0,1.0,2.0,3.0,1.0,12.0,8.0,7.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,7.0,1.0,7.0,1.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,6.0,4.0,3.0,11.0,1.0,6.0,1.0,1.0,2.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,9.0,0.0,12.0,6.0,7.0,0.0,2.0,1.0,12.0,2.0,0.0,7.0,0.0,0.0,7.0,1.0,9.0,0.0,2.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,14.0,0.0,8.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0
9,91771258.0,2.0,6.0,0.0,11.0,2.0,12.0,7.0,5.0,0.0,3.0,3.0,1.0,22.0,6.0,3.0,8.0,5.0,8.0,0.0,1.0,8.0,1.0,11.0,15.0,5.0,8.0,2.0,21.0,15.0,10.0,10.0,17.0,0.0,21.0,6.0,10.0,17.0,8.0,3.0,6.0,13.0,20.0,5.0,10.0,14.0,14.0,18.0,20.0,10.0,13.0,0.0,7.0,21.0,9.0,9.0,2.0,5.0,4.0,2.0,26.0,1.0,5.0,0.0,6.0,11.0,4.0,1.0,30.0,13.0,0.0,12.0,7.0,7.0,10.0,5.0,7.0,11.0,12.0,2.0,0.0,1.0,0.0,4.0,3.0,3.0,8.0,1.0,5.0,5.0,3.0,18.0,0.0,25.0,17.0,0.0,8.0,4.0,3.0,5.0,4.0,7.0,16.0,5.0,8.0,0.0,1.0,23.0,0.0,0.0,4.0,2.0,4.0,6.0,3.0,4.0,0.0,26.0,5.0,12.0,3.0,12.0,17.0,6.0,4.0,0.0,3.0,4.0,4.0,3.0,0.0,9.0,2.0,17.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0
