,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
0,-1.0,10211442.0,18525043.0,18594520.0,20097381.0,22741371.0,23792734.0,26304800.0,34898084.0,48495906.0,48959778.0,51056700.0,52206201.0,58455154.0,64234543.0,67964859.0,70115569.0,71442697.0,72761871.0,74481416.0,75055396.0,76932332.0,88955642.0,93714606.0,94647128.0,106311646.0,107736469.0,109982213.0,124756260.0,125797024.0,136208159.0,145832580.0,150413331.0,150881077.0,155832368.0,176015466.0,178779512.0,192477353.0,193652442.0,196572401.0,197509029.0,210824047.0,224682566.0,225618759.0,227411792.0,230844017.0,232084857.0,234333247.0,239154848.0,241540569.0,244152633.0,245370629.0,245455196.0,246223044.0,247012412.0,247494866.0,249133743.0,249846861.0,250334613.0,253856394.0,254198581.0,256996506.0,257592414.0,258536563.0,262821567.0,263937073.0,264649934.0,266562398.0,266674985.0,267088381.0,268934421.0,269680826.0,270592241.0,271565431.0,272259832.0,273061905.0,273889354.0,274937626.0,274982664.0,279039469.0,279947636.0,283718439.0,287263554.0,288927802.0,289104235.0,289508193.0,290039931.0,290698882.0,290840403.0,294280010.0,295366074.0,296418534.0,297664153.0,298209264.0,301699344.0,302144631.0,302672280.0,303383154.0,303599294.0,304659133.0,304677043.0,313799444.0,315673304.0,317401345.0,318621520.0,322658558.0,339474731.0,346760056.0,349146547.0,355897168.0,361525299.0,367473622.0,369028288.0,375451125.0,388466657.0,396823485.0,406558256.0,415826305.0,419193664.0
1,10211442.0,0.0,198.0,19.0,9.0,333.0,36.0,13.0,284.0,185.0,54.0,71.0,16.0,1.0,150.0,28.0,48.0,51.0,23.0,109.0,5.0,30.0,8.0,1.0,0.0,56.0,31.0,189.0,22.0,232.0,59.0,13.0,0.0,71.0,13.0,70.0,22.0,91.0,86.0,56.0,35.0,33.0,97.0,131.0,31.0,86.0,0.0,5.0,85.0,17.0,132.0,49.0,47.0,2.0,268.0,22.0,8.0,54.0,46.0,51.0,5.0,22.0,143.0,166.0,155.0,11.0,11.0,10.0,140.0,148.0,147.0,0.0,2.0,114.0,2.0,54.0,9.0,58.0,55.0,63.0,62.0,1.0,13.0,24.0,50.0,71.0,290.0,159.0,81.0,50.0,97.0,30.0,0.0,5.0,16.0,11.0,52.0,23.0,166.0,50.0,6.0,0.0,20.0,177.0,17.0,9.0,3.0,3.0,36.0,64.0,0.0,13.0,43.0,9.0,49.0,27.0,0.0,8.0,27.0
2,18525043.0,198.0,0.0,22.0,14.0,507.0,56.0,38.0,410.0,304.0,105.0,85.0,76.0,2.0,289.0,42.0,63.0,98.0,36.0,127.0,7.0,38.0,16.0,1.0,0.0,115.0,67.0,236.0,56.0,316.0,101.0,20.0,2.0,71.0,20.0,140.0,25.0,171.0,151.0,90.0,71.0,69.0,197.0,195.0,39.0,87.0,0.0,13.0,135.0,42.0,174.0,100.0,117.0,2.0,347.0,39.0,2.0,109.0,54.0,90.0,7.0,13.0,255.0,365.0,272.0,11.0,6.0,6.0,51.0,215.0,270.0,0.0,6.0,145.0,5.0,97.0,21.0,127.0,110.0,140.0,121.0,3.0,31.0,60.0,85.0,217.0,464.0,314.0,196.0,119.0,103.0,33.0,1.0,34.0,28.0,8.0,103.0,70.0,316.0,79.0,13.0,1.0,50.0,295.0,61.0,24.0,0.0,4.0,59.0,124.0,0.0,15.0,58.0,15.0,134.0,61.0,5.0,11.0,34.0
3,18594520.0,19.0,22.0,0.0,2.0,48.0,8.0,9.0,52.0,16.0,17.0,11.0,14.0,1.0,29.0,2.0,14.0,23.0,2.0,12.0,2.0,11.0,2.0,0.0,0.0,6.0,7.0,52.0,8.0,18.0,10.0,17.0,3.0,33.0,9.0,16.0,7.0,31.0,30.0,18.0,7.0,3.0,25.0,29.0,16.0,0.0,0.0,4.0,4.0,16.0,19.0,4.0,4.0,0.0,32.0,1.0,0.0,8.0,12.0,3.0,1.0,11.0,31.0,28.0,27.0,5.0,3.0,0.0,4.0,10.0,12.0,0.0,1.0,24.0,8.0,19.0,1.0,6.0,12.0,5.0,5.0,2.0,2.0,4.0,4.0,8.0,23.0,15.0,7.0,13.0,19.0,3.0,0.0,1.0,6.0,5.0,0.0,13.0,14.0,10.0,0.0,0.0,2.0,30.0,1.0,8.0,1.0,1.0,11.0,4.0,0.0,10.0,38.0,12.0,17.0,6.0,0.0,2.0,4.0
4,20097381.0,9.0,14.0,2.0,0.0,51.0,7.0,2.0,95.0,140.0,41.0,2.0,6.0,0.0,29.0,11.0,3.0,29.0,33.0,10.0,2.0,13.0,0.0,0.0,0.0,8.0,10.0,49.0,5.0,30.0,8.0,8.0,1.0,45.0,0.0,9.0,0.0,331.0,18.0,13.0,2.0,5.0,18.0,22.0,0.0,6.0,0.0,7.0,39.0,6.0,18.0,1.0,0.0,1.0,27.0,70.0,0.0,7.0,11.0,3.0,2.0,0.0,37.0,35.0,13.0,3.0,2.0,0.0,1.0,7.0,11.0,0.0,0.0,10.0,1.0,15.0,2.0,22.0,45.0,7.0,6.0,0.0,4.0,10.0,3.0,16.0,73.0,26.0,12.0,31.0,11.0,1.0,0.0,2.0,1.0,3.0,2.0,26.0,6.0,12.0,0.0,35.0,1.0,35.0,3.0,4.0,0.0,0.0,6.0,4.0,0.0,1.0,51.0,7.0,10.0,9.0,0.0,69.0,1.0
5,22741371.0,333.0,507.0,48.0,51.0,0.0,109.0,63.0,1150.0,449.0,162.0,162.0,80.0,12.0,357.0,58.0,169.0,195.0,55.0,282.0,11.0,59.0,35.0,0.0,0.0,151.0,58.0,390.0,97.0,569.0,130.0,66.0,3.0,154.0,101.0,226.0,62.0,274.0,256.0,165.0,51.0,59.0,242.0,319.0,80.0,202.0,0.0,10.0,157.0,32.0,363.0,105.0,107.0,6.0,568.0,53.0,10.0,137.0,61.0,93.0,11.0,62.0,380.0,368.0,333.0,20.0,15.0,17.0,143.0,252.0,263.0,0.0,11.0,277.0,7.0,184.0,18.0,138.0,172.0,123.0,104.0,4.0,24.0,51.0,79.0,143.0,622.0,286.0,149.0,152.0,196.0,79.0,0.0,18.0,35.0,15.0,84.0,51.0,428.0,98.0,9.0,5.0,54.0,337.0,33.0,26.0,3.0,5.0,75.0,132.0,0.0,30.0,123.0,29.0,175.0,47.0,0.0,28.0,38.0
6,23792734.0,36.0,56.0,8.0,7.0,109.0,0.0,33.0,189.0,67.0,40.0,25.0,41.0,9.0,49.0,4.0,30.0,95.0,14.0,33.0,8.0,35.0,3.0,0.0,0.0,31.0,27.0,66.0,42.0,44.0,25.0,27.0,0.0,22.0,5.0,26.0,17.0,74.0,76.0,43.0,7.0,5.0,34.0,60.0,22.0,10.0,0.0,5.0,27.0,13.0,51.0,16.0,5.0,0.0,67.0,8.0,0.0,8.0,15.0,20.0,7.0,13.0,83.0,61.0,62.0,9.0,5.0,1.0,3.0,20.0,46.0,0.0,5.0,52.0,2.0,44.0,6.0,21.0,52.0,12.0,9.0,1.0,4.0,20.0,8.0,25.0,74.0,32.0,28.0,27.0,27.0,24.0,0.0,1.0,12.0,1.0,5.0,26.0,35.0,30.0,0.0,1.0,0.0,60.0,20.0,17.0,2.0,1.0,14.0,11.0,0.0,8.0,22.0,5.0,25.0,15.0,0.0,9.0,15.0
7,26304800.0,13.0,38.0,9.0,2.0,63.0,33.0,0.0,29.0,19.0,25.0,9.0,68.0,12.0,37.0,2.0,16.0,29.0,6.0,20.0,7.0,25.0,3.0,0.0,0.0,14.0,23.0,45.0,59.0,24.0,16.0,30.0,2.0,22.0,4.0,26.0,19.0,104.0,57.0,30.0,3.0,0.0,27.0,34.0,23.0,1.0,0.0,12.0,6.0,11.0,14.0,15.0,5.0,1.0,28.0,5.0,0.0,5.0,10.0,11.0,4.0,11.0,48.0,37.0,41.0,7.0,3.0,0.0,2.0,2.0,20.0,0.0,3.0,31.0,5.0,30.0,2.0,7.0,51.0,1.0,5.0,3.0,1.0,11.0,4.0,11.0,28.0,13.0,9.0,19.0,19.0,18.0,0.0,1.0,10.0,1.0,1.0,43.0,21.0,19.0,0.0,2.0,0.0,62.0,23.0,18.0,1.0,1.0,10.0,13.0,0.0,8.0,42.0,6.0,21.0,10.0,1.0,10.0,6.0
8,34898084.0,284.0,410.0,52.0,95.0,1150.0,189.0,29.0,0.0,524.0,196.0,97.0,36.0,4.0,261.0,56.0,103.0,551.0,78.0,208.0,19.0,75.0,20.0,0.0,0.0,105.0,93.0,445.0,38.0,578.0,158.0,69.0,13.0,326.0,40.0,156.0,33.0,325.0,308.0,384.0,44.0,36.0,322.0,322.0,47.0,182.0,0.0,23.0,145.0,54.0,459.0,79.0,59.0,4.0,555.0,58.0,3.0,68.0,73.0,70.0,12.0,34.0,377.0,270.0,218.0,12.0,13.0,7.0,70.0,187.0,176.0,0.0,6.0,182.0,19.0,176.0,16.0,98.0,141.0,84.0,60.0,3.0,16.0,42.0,48.0,114.0,592.0,197.0,132.0,126.0,198.0,43.0,0.0,9.0,22.0,30.0,37.0,43.0,278.0,107.0,3.0,5.0,24.0,266.0,22.0,51.0,4.0,4.0,50.0,46.0,0.0,75.0,190.0,70.0,124.0,45.0,0.0,45.0,24.0
9,48495906.0,185.0,304.0,16.0,140.0,449.0,67.0,19.0,524.0,0.0,153.0,65.0,35.0,1.0,194.0,40.0,51.0,104.0,26.0,110.0,8.0,48.0,9.0,0.0,0.0,62.0,52.0,238.0,47.0,253.0,104.0,26.0,1.0,73.0,4.0,91.0,26.0,261.0,184.0,79.0,46.0,36.0,143.0,258.0,41.0,78.0,0.0,19.0,208.0,24.0,167.0,57.0,53.0,3.0,317.0,73.0,2.0,65.0,38.0,66.0,19.0,12.0,257.0,275.0,175.0,21.0,13.0,6.0,59.0,167.0,179.0,0.0,3.0,111.0,3.0,88.0,24.0,94.0,127.0,121.0,98.0,2.0,29.0,93.0,61.0,140.0,419.0,213.0,140.0,134.0,122.0,31.0,1.0,9.0,25.0,6.0,50.0,53.0,200.0,140.0,6.0,2.0,14.0,260.0,28.0,14.0,3.0,5.0,52.0,67.0,0.0,8.0,77.0,12.0,76.0,52.0,0.0,17.0,28.0
