,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,-1.0,11456652.0,17973289.0,19761396.0,20801977.0,25063161.0,40417914.0,46175464.0,49946953.0,55070643.0,58649685.0,75835349.0,98730352.0,99731681.0,178779512.0,192477353.0,203238176.0,232823702.0,252221366.0,259618478.0,259986699.0,260724365.0,263607988.0,268139655.0,269680826.0,280185619.0,289104235.0,289640962.0,296743132.0,307512769.0,313432395.0,328640181.0,363655391.0,388432699.0,401651305.0,402892880.0,412384569.0,446971067.0
1,11456652.0,0.0,4.0,14.0,62.0,14.0,0.0,2.0,58.0,2.0,12.0,5.0,3.0,9.0,3.0,34.0,0.0,0.0,1.0,12.0,14.0,15.0,22.0,6.0,0.0,3.0,0.0,34.0,4.0,0.0,7.0,0.0,0.0,4.0,29.0,0.0,3.0,1.0
2,17973289.0,4.0,0.0,31.0,27.0,52.0,1.0,2.0,29.0,0.0,10.0,4.0,5.0,7.0,8.0,89.0,0.0,0.0,2.0,11.0,6.0,7.0,8.0,5.0,0.0,5.0,1.0,11.0,5.0,0.0,3.0,4.0,0.0,0.0,13.0,0.0,6.0,4.0
3,19761396.0,14.0,31.0,0.0,153.0,190.0,15.0,79.0,156.0,18.0,29.0,78.0,33.0,23.0,58.0,369.0,0.0,0.0,8.0,62.0,21.0,74.0,43.0,30.0,0.0,18.0,6.0,40.0,16.0,0.0,23.0,16.0,0.0,19.0,49.0,0.0,27.0,10.0
4,20801977.0,62.0,27.0,153.0,0.0,146.0,36.0,14.0,455.0,45.0,111.0,43.0,128.0,35.0,55.0,584.0,0.0,0.0,21.0,72.0,45.0,111.0,142.0,23.0,0.0,117.0,42.0,115.0,30.0,1.0,27.0,41.0,0.0,38.0,140.0,0.0,15.0,7.0
5,25063161.0,14.0,52.0,190.0,146.0,0.0,17.0,2.0,171.0,331.0,23.0,13.0,42.0,11.0,13.0,384.0,0.0,0.0,2.0,12.0,8.0,41.0,31.0,3.0,0.0,18.0,3.0,26.0,2.0,0.0,8.0,170.0,0.0,2.0,27.0,0.0,9.0,1.0
6,40417914.0,0.0,1.0,15.0,36.0,17.0,0.0,2.0,33.0,27.0,11.0,1.0,22.0,6.0,12.0,56.0,0.0,0.0,16.0,33.0,8.0,9.0,24.0,41.0,0.0,10.0,7.0,12.0,8.0,6.0,3.0,9.0,1.0,7.0,8.0,0.0,12.0,0.0
7,46175464.0,2.0,2.0,79.0,14.0,2.0,2.0,0.0,35.0,5.0,5.0,66.0,11.0,5.0,6.0,48.0,0.0,0.0,2.0,9.0,7.0,21.0,6.0,6.0,0.0,1.0,0.0,8.0,3.0,1.0,2.0,2.0,0.0,6.0,12.0,0.0,4.0,2.0
8,49946953.0,58.0,29.0,156.0,455.0,171.0,33.0,35.0,0.0,80.0,102.0,45.0,90.0,51.0,59.0,508.0,0.0,0.0,39.0,105.0,62.0,153.0,177.0,29.0,0.0,94.0,29.0,91.0,25.0,1.0,20.0,44.0,0.0,28.0,187.0,0.0,22.0,10.0
9,55070643.0,2.0,0.0,18.0,45.0,331.0,27.0,5.0,80.0,0.0,15.0,13.0,102.0,3.0,0.0,233.0,0.0,0.0,4.0,9.0,3.0,65.0,20.0,4.0,0.0,3.0,3.0,8.0,0.0,5.0,0.0,197.0,0.0,101.0,24.0,0.0,0.0,6.0
10,58649685.0,12.0,10.0,29.0,111.0,23.0,11.0,5.0,102.0,15.0,0.0,8.0,35.0,16.0,10.0,82.0,0.0,0.0,9.0,15.0,12.0,15.0,36.0,11.0,0.0,28.0,16.0,21.0,9.0,0.0,8.0,10.0,1.0,0.0,15.0,0.0,11.0,2.0
11,75835349.0,5.0,4.0,78.0,43.0,13.0,1.0,66.0,45.0,13.0,8.0,0.0,5.0,3.0,0.0,83.0,0.0,0.0,2.0,7.0,7.0,20.0,19.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,4.0,1.0,0.0,15.0,73.0,0.0,1.0,0.0
12,98730352.0,3.0,5.0,33.0,128.0,42.0,22.0,11.0,90.0,102.0,35.0,5.0,0.0,8.0,18.0,142.0,0.0,0.0,11.0,18.0,8.0,14.0,18.0,19.0,0.0,42.0,16.0,11.0,12.0,5.0,3.0,21.0,0.0,2.0,10.0,0.0,7.0,0.0
13,99731681.0,9.0,7.0,23.0,35.0,11.0,6.0,5.0,51.0,3.0,16.0,3.0,8.0,0.0,8.0,52.0,0.0,0.0,3.0,18.0,13.0,15.0,18.0,13.0,0.0,7.0,3.0,16.0,4.0,1.0,6.0,3.0,0.0,2.0,16.0,0.0,8.0,0.0
14,178779512.0,3.0,8.0,58.0,55.0,13.0,12.0,6.0,59.0,0.0,10.0,0.0,18.0,8.0,0.0,59.0,0.0,0.0,14.0,36.0,7.0,14.0,26.0,18.0,0.0,10.0,6.0,15.0,11.0,0.0,8.0,7.0,1.0,0.0,12.0,0.0,16.0,0.0
15,192477353.0,34.0,89.0,369.0,584.0,384.0,56.0,48.0,508.0,233.0,82.0,83.0,142.0,52.0,59.0,0.0,0.0,0.0,51.0,78.0,195.0,1209.0,386.0,34.0,0.0,46.0,21.0,288.0,15.0,2.0,25.0,54.0,0.0,862.0,505.0,0.0,27.0,23.0
16,203238176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,232823702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,252221366.0,1.0,2.0,8.0,21.0,2.0,16.0,2.0,39.0,4.0,9.0,2.0,11.0,3.0,14.0,51.0,0.0,0.0,0.0,19.0,10.0,11.0,35.0,19.0,0.0,10.0,5.0,18.0,5.0,2.0,4.0,5.0,1.0,4.0,6.0,0.0,12.0,0.0
19,259618478.0,12.0,11.0,62.0,72.0,12.0,33.0,9.0,105.0,9.0,15.0,7.0,18.0,18.0,36.0,78.0,0.0,0.0,19.0,0.0,11.0,24.0,74.0,29.0,0.0,32.0,13.0,36.0,16.0,7.0,141.0,12.0,0.0,1.0,22.0,0.0,29.0,1.0
20,259986699.0,14.0,6.0,21.0,45.0,8.0,8.0,7.0,62.0,3.0,12.0,7.0,8.0,13.0,7.0,195.0,0.0,0.0,10.0,11.0,0.0,104.0,33.0,8.0,0.0,5.0,2.0,34.0,3.0,0.0,3.0,2.0,0.0,22.0,96.0,0.0,5.0,2.0
21,260724365.0,15.0,7.0,74.0,111.0,41.0,9.0,21.0,153.0,65.0,15.0,20.0,14.0,15.0,14.0,1209.0,0.0,0.0,11.0,24.0,104.0,0.0,96.0,10.0,0.0,8.0,4.0,105.0,5.0,0.0,3.0,6.0,0.0,848.0,275.0,0.0,8.0,1.0
22,263607988.0,22.0,8.0,43.0,142.0,31.0,24.0,6.0,177.0,20.0,36.0,19.0,18.0,18.0,26.0,386.0,0.0,0.0,35.0,74.0,33.0,96.0,0.0,14.0,0.0,33.0,10.0,61.0,10.0,0.0,41.0,15.0,0.0,31.0,56.0,0.0,12.0,3.0
23,268139655.0,6.0,5.0,30.0,23.0,3.0,41.0,6.0,29.0,4.0,11.0,0.0,19.0,13.0,18.0,34.0,0.0,0.0,19.0,29.0,8.0,10.0,14.0,0.0,0.0,11.0,5.0,12.0,10.0,11.0,18.0,7.0,3.0,0.0,14.0,0.0,29.0,1.0
24,269680826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,280185619.0,3.0,5.0,18.0,117.0,18.0,10.0,1.0,94.0,3.0,28.0,3.0,42.0,7.0,10.0,46.0,0.0,0.0,10.0,32.0,5.0,8.0,33.0,11.0,0.0,0.0,86.0,33.0,39.0,0.0,8.0,14.0,0.0,1.0,11.0,0.0,7.0,0.0
26,289104235.0,0.0,1.0,6.0,42.0,3.0,7.0,0.0,29.0,3.0,16.0,3.0,16.0,3.0,6.0,21.0,0.0,0.0,5.0,13.0,2.0,4.0,10.0,5.0,0.0,86.0,0.0,8.0,19.0,0.0,3.0,6.0,0.0,0.0,6.0,0.0,7.0,0.0
27,289640962.0,34.0,11.0,40.0,115.0,26.0,12.0,8.0,91.0,8.0,21.0,4.0,11.0,16.0,15.0,288.0,0.0,0.0,18.0,36.0,34.0,105.0,61.0,12.0,0.0,33.0,8.0,0.0,11.0,0.0,9.0,5.0,0.0,147.0,54.0,0.0,9.0,3.0
28,296743132.0,4.0,5.0,16.0,30.0,2.0,8.0,3.0,25.0,0.0,9.0,0.0,12.0,4.0,11.0,15.0,0.0,0.0,5.0,16.0,3.0,5.0,10.0,10.0,0.0,39.0,19.0,11.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,8.0,1.0
29,307512769.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,5.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,2.0,0.0,0.0,8.0,0.0
30,313432395.0,7.0,3.0,23.0,27.0,8.0,3.0,2.0,20.0,0.0,8.0,4.0,3.0,6.0,8.0,25.0,0.0,0.0,4.0,141.0,3.0,3.0,41.0,18.0,0.0,8.0,3.0,9.0,6.0,2.0,0.0,2.0,0.0,1.0,6.0,0.0,20.0,0.0
31,328640181.0,0.0,4.0,16.0,41.0,170.0,9.0,2.0,44.0,197.0,10.0,1.0,21.0,3.0,7.0,54.0,0.0,0.0,5.0,12.0,2.0,6.0,15.0,7.0,0.0,14.0,6.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0
32,363655391.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
33,388432699.0,4.0,0.0,19.0,38.0,2.0,7.0,6.0,28.0,101.0,0.0,15.0,2.0,2.0,0.0,862.0,0.0,0.0,4.0,1.0,22.0,848.0,31.0,0.0,0.0,1.0,0.0,147.0,0.0,2.0,1.0,1.0,0.0,0.0,130.0,0.0,1.0,7.0
34,401651305.0,29.0,13.0,49.0,140.0,27.0,8.0,12.0,187.0,24.0,15.0,73.0,10.0,16.0,12.0,505.0,0.0,0.0,6.0,22.0,96.0,275.0,56.0,14.0,0.0,11.0,6.0,54.0,6.0,0.0,6.0,3.0,0.0,130.0,0.0,0.0,8.0,5.0
35,402892880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,412384569.0,3.0,6.0,27.0,15.0,9.0,12.0,4.0,22.0,0.0,11.0,1.0,7.0,8.0,16.0,27.0,0.0,0.0,12.0,29.0,5.0,8.0,12.0,29.0,0.0,7.0,7.0,9.0,8.0,8.0,20.0,3.0,4.0,1.0,8.0,0.0,0.0,0.0
37,446971067.0,1.0,4.0,10.0,7.0,1.0,0.0,2.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,7.0,5.0,0.0,0.0,0.0
