,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
0,-1.0,5242.0,9624742.0,11277572.0,11966392.0,14358520.0,15699801.0,17469492.0,17682351.0,18916716.0,20107290.0,20708260.0,20753721.0,24179525.0,24264540.0,25937737.0,30709612.0,32517594.0,35617996.0,37593470.0,39953073.0,47066924.0,47107118.0,47870267.0,48376323.0,48495906.0,48680856.0,48700450.0,48959778.0,48983320.0,49472202.0,49923648.0,49986620.0,50064327.0,50552213.0,50645038.0,51820950.0,52763281.0,56920617.0,57072321.0,57246401.0,59587240.0,60568628.0,62810335.0,64954756.0,71024346.0,71294722.0,75055396.0,79596678.0,80352427.0,85855414.0,88273770.0,93796425.0,94763091.0,98724873.0,101710782.0,108711275.0,110810192.0,113328432.0,120058328.0,124578114.0,140714549.0,141180837.0,149428179.0,150134916.0,151753975.0,153949977.0,153992051.0,159002621.0,177002568.0,183138723.0,190408552.0,190932580.0,192477353.0,194008664.0,194920096.0,205504482.0,210824047.0,217078361.0,221644660.0,224191683.0,224387167.0,225931255.0,230847428.0,232678279.0,233052695.0,234871417.0,235784026.0,244305479.0,244511558.0,245650642.0,245901604.0,246114884.0,246875675.0,249040812.0,251196980.0,252221366.0,252513670.0,253451653.0,253985692.0,254923486.0,255078164.0,255946453.0,256442158.0,258536563.0,258694951.0,259618478.0,262777973.0,263225101.0,265814972.0,266141540.0,267088381.0,267612513.0,268139655.0,268433279.0,268445390.0,269535015.0,271056512.0,271622481.0,271791007.0,275093764.0,275188451.0,275523472.0,275596449.0,277455563.0,281553266.0,282259323.0,283217424.0,283223454.0,285115375.0,285876938.0,286424432.0,288211201.0,288917382.0,290436372.0,290474399.0,291329034.0,292202330.0,294523668.0,298110296.0,299566836.0,301155113.0,302144631.0,305163986.0,306876691.0,306983485.0,307512769.0,312669043.0,317009052.0,317262357.0,317678508.0,326375492.0,330994588.0,332525543.0,333904942.0,335545738.0,338067793.0,339451456.0,346822832.0,348661583.0,353291813.0,360183195.0,366079944.0,367473622.0,369028288.0,369820320.0,370129195.0,370728558.0,373381781.0,373842798.0,374574322.0,378419883.0,380823724.0,390677644.0,391006249.0,391454776.0,393348427.0,394694673.0,406558256.0,412303032.0,413489377.0,427024439.0,427865020.0,432717648.0,438412675.0,439843069.0,442650840.0,442956656.0,453289121.0,453868198.0
1,5242.0,0.0,3.0,1.0,22.0,8.0,71.0,189.0,202.0,7.0,30.0,6.0,0.0,0.0,155.0,66.0,0.0,4.0,28.0,52.0,3.0,46.0,60.0,1.0,1.0,102.0,34.0,84.0,17.0,0.0,6.0,88.0,20.0,8.0,21.0,65.0,13.0,165.0,22.0,2.0,0.0,10.0,71.0,48.0,9.0,11.0,2.0,0.0,22.0,117.0,17.0,0.0,34.0,4.0,0.0,4.0,71.0,5.0,16.0,0.0,33.0,2.0,6.0,12.0,5.0,26.0,16.0,4.0,18.0,65.0,2.0,0.0,13.0,65.0,49.0,26.0,0.0,6.0,57.0,31.0,2.0,50.0,5.0,12.0,0.0,7.0,4.0,10.0,57.0,19.0,97.0,188.0,3.0,47.0,0.0,8.0,8.0,0.0,93.0,27.0,0.0,7.0,11.0,435.0,81.0,8.0,150.0,5.0,6.0,0.0,38.0,63.0,2.0,6.0,0.0,39.0,10.0,0.0,4.0,21.0,11.0,39.0,9.0,3.0,4.0,10.0,0.0,45.0,9.0,1.0,25.0,13.0,10.0,0.0,15.0,9.0,1.0,2.0,0.0,32.0,63.0,2.0,0.0,86.0,43.0,23.0,2.0,11.0,42.0,0.0,0.0,20.0,0.0,8.0,0.0,3.0,0.0,9.0,12.0,5.0,0.0,0.0,0.0,5.0,15.0,1.0,0.0,6.0,18.0,14.0,18.0,0.0,0.0,17.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,19.0,7.0,8.0,0.0,0.0,1.0,8.0,0.0
2,9624742.0,3.0,0.0,0.0,37.0,0.0,20.0,339.0,2.0,16.0,9.0,1.0,1.0,7.0,9.0,8.0,0.0,1.0,349.0,7.0,1.0,25.0,70.0,7.0,0.0,2.0,58.0,5.0,8.0,0.0,0.0,7.0,0.0,28.0,42.0,39.0,5.0,58.0,0.0,0.0,3.0,3.0,5.0,0.0,191.0,19.0,2.0,4.0,3.0,11.0,22.0,0.0,6.0,0.0,1.0,0.0,35.0,11.0,2.0,0.0,203.0,18.0,2.0,0.0,0.0,2.0,0.0,3.0,305.0,70.0,0.0,0.0,11.0,61.0,5.0,2.0,10.0,1.0,37.0,53.0,0.0,0.0,1.0,61.0,0.0,12.0,87.0,10.0,0.0,0.0,15.0,13.0,4.0,4.0,0.0,0.0,2.0,0.0,8.0,6.0,0.0,1.0,2.0,6.0,14.0,0.0,6.0,1.0,0.0,0.0,9.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,155.0,2.0,1.0,2.0,4.0,33.0,14.0,0.0,13.0,42.0,1.0
3,11277572.0,1.0,0.0,0.0,14.0,8.0,28.0,17.0,13.0,12.0,6.0,0.0,1.0,4.0,14.0,4.0,6.0,1.0,4.0,11.0,1.0,4.0,9.0,1.0,2.0,7.0,11.0,5.0,10.0,0.0,3.0,7.0,7.0,13.0,6.0,20.0,2.0,12.0,4.0,10.0,1.0,9.0,7.0,2.0,3.0,157.0,28.0,1.0,5.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,26.0,4.0,17.0,2.0,12.0,18.0,0.0,6.0,0.0,5.0,0.0,2.0,6.0,24.0,32.0,0.0,18.0,34.0,7.0,12.0,3.0,0.0,30.0,16.0,2.0,1.0,0.0,22.0,10.0,1.0,0.0,4.0,10.0,0.0,43.0,8.0,4.0,2.0,0.0,0.0,3.0,0.0,16.0,5.0,0.0,1.0,1.0,20.0,14.0,1.0,13.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,28.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,5.0,42.0,37.0,9.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,12.0,0.0,0.0,0.0,20.0,144.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,17.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,14.0,2.0,5.0,2.0,0.0,4.0,3.0,11.0
4,11966392.0,22.0,37.0,14.0,0.0,41.0,172.0,305.0,120.0,84.0,43.0,38.0,6.0,55.0,43.0,37.0,25.0,222.0,142.0,177.0,6.0,83.0,188.0,26.0,16.0,80.0,194.0,18.0,60.0,2.0,37.0,61.0,20.0,154.0,108.0,192.0,49.0,246.0,4.0,5.0,4.0,46.0,39.0,29.0,89.0,73.0,20.0,9.0,12.0,31.0,88.0,0.0,7.0,0.0,2.0,5.0,194.0,110.0,49.0,10.0,191.0,64.0,4.0,25.0,4.0,29.0,0.0,37.0,114.0,244.0,6.0,1.0,168.0,358.0,47.0,35.0,50.0,5.0,164.0,236.0,8.0,2.0,2.0,208.0,41.0,22.0,22.0,174.0,32.0,2.0,105.0,113.0,34.0,24.0,0.0,1.0,28.0,0.0,64.0,32.0,0.0,5.0,6.0,119.0,87.0,2.0,42.0,1.0,2.0,0.0,34.0,17.0,1.0,15.0,1.0,26.0,4.0,0.0,1.0,23.0,13.0,5.0,2.0,2.0,1.0,1.0,0.0,18.0,2.0,7.0,0.0,56.0,2.0,2.0,6.0,7.0,2.0,0.0,0.0,14.0,41.0,9.0,13.0,73.0,6.0,8.0,2.0,4.0,61.0,1.0,2.0,14.0,0.0,38.0,0.0,2.0,2.0,11.0,14.0,48.0,0.0,0.0,0.0,15.0,83.0,3.0,0.0,2.0,21.0,8.0,5.0,1.0,8.0,7.0,0.0,0.0,37.0,1.0,2.0,28.0,12.0,5.0,65.0,7.0,32.0,18.0,0.0,26.0,118.0,10.0
5,14358520.0,8.0,0.0,8.0,41.0,0.0,49.0,46.0,130.0,19.0,7.0,1.0,5.0,3.0,17.0,8.0,4.0,46.0,17.0,21.0,3.0,23.0,21.0,19.0,0.0,18.0,12.0,5.0,17.0,0.0,15.0,28.0,4.0,17.0,17.0,48.0,22.0,21.0,3.0,0.0,0.0,24.0,10.0,13.0,9.0,21.0,3.0,4.0,2.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,45.0,39.0,15.0,2.0,25.0,21.0,0.0,9.0,2.0,10.0,0.0,9.0,11.0,47.0,6.0,0.0,48.0,123.0,11.0,9.0,13.0,0.0,19.0,61.0,4.0,0.0,0.0,40.0,11.0,3.0,1.0,55.0,20.0,0.0,63.0,14.0,26.0,6.0,0.0,0.0,16.0,0.0,9.0,9.0,0.0,2.0,2.0,18.0,14.0,0.0,13.0,0.0,0.0,0.0,15.0,0.0,0.0,7.0,1.0,7.0,0.0,0.0,0.0,27.0,8.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,99.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,7.0,7.0,3.0,19.0,2.0,3.0,0.0,3.0,31.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,8.0,5.0,0.0,0.0,0.0,3.0,39.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,3.0,4.0,0.0,0.0,116.0,0.0,0.0,0.0,4.0,2.0,45.0,1.0,4.0,0.0,0.0,3.0,14.0,2.0
6,15699801.0,71.0,20.0,28.0,172.0,49.0,0.0,358.0,243.0,61.0,85.0,16.0,6.0,22.0,159.0,73.0,12.0,27.0,135.0,116.0,15.0,122.0,168.0,40.0,4.0,138.0,152.0,37.0,99.0,0.0,35.0,133.0,36.0,95.0,145.0,289.0,84.0,235.0,61.0,8.0,4.0,97.0,116.0,181.0,69.0,117.0,27.0,22.0,23.0,50.0,145.0,0.0,16.0,1.0,1.0,6.0,306.0,87.0,73.0,13.0,149.0,85.0,7.0,40.0,16.0,44.0,6.0,38.0,106.0,302.0,15.0,1.0,136.0,361.0,82.0,46.0,25.0,15.0,212.0,221.0,12.0,18.0,9.0,199.0,12.0,27.0,11.0,86.0,134.0,6.0,234.0,175.0,54.0,49.0,0.0,11.0,34.0,0.0,131.0,60.0,0.0,22.0,15.0,284.0,146.0,3.0,84.0,2.0,9.0,1.0,110.0,32.0,8.0,26.0,2.0,56.0,7.0,0.0,1.0,41.0,36.0,23.0,7.0,3.0,2.0,5.0,0.0,40.0,5.0,3.0,12.0,68.0,6.0,4.0,22.0,8.0,7.0,1.0,0.0,37.0,62.0,28.0,13.0,122.0,21.0,22.0,2.0,17.0,308.0,2.0,3.0,21.0,0.0,30.0,0.0,1.0,3.0,18.0,39.0,28.0,0.0,0.0,0.0,25.0,192.0,3.0,0.0,4.0,33.0,17.0,18.0,1.0,10.0,22.0,0.0,0.0,49.0,4.0,1.0,24.0,15.0,5.0,104.0,16.0,39.0,20.0,0.0,20.0,112.0,13.0
7,17469492.0,189.0,339.0,17.0,305.0,46.0,358.0,0.0,547.0,158.0,148.0,78.0,7.0,100.0,243.0,295.0,17.0,91.0,918.0,399.0,6.0,244.0,622.0,49.0,18.0,254.0,467.0,37.0,107.0,0.0,66.0,170.0,54.0,258.0,572.0,548.0,119.0,1187.0,23.0,6.0,5.0,199.0,164.0,99.0,363.0,88.0,20.0,21.0,28.0,78.0,160.0,0.0,16.0,1.0,1.0,3.0,981.0,191.0,73.0,19.0,507.0,106.0,5.0,69.0,9.0,149.0,1.0,78.0,649.0,770.0,3.0,0.0,191.0,1038.0,141.0,63.0,44.0,12.0,375.0,717.0,10.0,9.0,5.0,480.0,12.0,54.0,109.0,258.0,128.0,4.0,360.0,753.0,77.0,80.0,0.0,10.0,52.0,0.0,198.0,71.0,0.0,13.0,15.0,508.0,261.0,0.0,112.0,2.0,0.0,1.0,94.0,78.0,1.0,34.0,2.0,106.0,6.0,0.0,5.0,26.0,34.0,18.0,9.0,4.0,1.0,3.0,0.0,44.0,4.0,15.0,4.0,65.0,3.0,1.0,17.0,7.0,4.0,1.0,0.0,30.0,106.0,9.0,7.0,320.0,13.0,29.0,3.0,18.0,487.0,1.0,1.0,22.0,0.0,34.0,0.0,0.0,0.0,17.0,26.0,36.0,0.0,0.0,0.0,15.0,134.0,5.0,0.0,2.0,50.0,16.0,14.0,1.0,9.0,21.0,0.0,0.0,68.0,1.0,8.0,199.0,16.0,11.0,165.0,23.0,239.0,66.0,0.0,42.0,299.0,8.0
8,17682351.0,202.0,2.0,13.0,120.0,130.0,243.0,547.0,0.0,58.0,67.0,10.0,15.0,80.0,275.0,191.0,18.0,115.0,61.0,169.0,2.0,94.0,308.0,23.0,71.0,558.0,310.0,11.0,81.0,26.0,170.0,65.0,109.0,182.0,107.0,392.0,50.0,405.0,71.0,6.0,11.0,245.0,150.0,149.0,30.0,92.0,9.0,12.0,12.0,31.0,42.0,0.0,29.0,5.0,0.0,1.0,259.0,60.0,164.0,9.0,113.0,42.0,2.0,72.0,7.0,81.0,0.0,149.0,59.0,282.0,5.0,0.0,105.0,536.0,124.0,44.0,17.0,9.0,254.0,139.0,5.0,7.0,5.0,96.0,11.0,33.0,6.0,117.0,262.0,9.0,245.0,343.0,28.0,72.0,0.0,20.0,18.0,0.0,164.0,35.0,0.0,10.0,33.0,776.0,155.0,11.0,92.0,10.0,2.0,0.0,52.0,98.0,0.0,12.0,0.0,85.0,14.0,0.0,11.0,89.0,21.0,7.0,5.0,5.0,15.0,16.0,0.0,76.0,17.0,3.0,0.0,168.0,20.0,0.0,13.0,27.0,8.0,0.0,0.0,54.0,72.0,11.0,11.0,218.0,4.0,47.0,0.0,42.0,166.0,0.0,0.0,40.0,0.0,25.0,0.0,0.0,1.0,24.0,38.0,22.0,1.0,3.0,0.0,20.0,140.0,5.0,0.0,8.0,57.0,33.0,47.0,1.0,8.0,5.0,0.0,0.0,105.0,13.0,1.0,3.0,10.0,3.0,141.0,6.0,32.0,4.0,0.0,3.0,37.0,7.0
9,18916716.0,7.0,16.0,12.0,84.0,19.0,61.0,158.0,58.0,0.0,12.0,22.0,6.0,54.0,26.0,6.0,19.0,49.0,101.0,85.0,4.0,54.0,113.0,11.0,7.0,23.0,99.0,10.0,31.0,0.0,14.0,37.0,10.0,132.0,96.0,65.0,47.0,160.0,2.0,2.0,2.0,24.0,21.0,7.0,47.0,35.0,11.0,11.0,12.0,13.0,42.0,0.0,3.0,0.0,1.0,1.0,152.0,43.0,32.0,6.0,95.0,58.0,2.0,21.0,2.0,17.0,0.0,16.0,59.0,109.0,8.0,0.0,64.0,181.0,16.0,10.0,25.0,2.0,59.0,152.0,7.0,1.0,1.0,214.0,6.0,13.0,11.0,57.0,10.0,1.0,67.0,21.0,23.0,12.0,0.0,1.0,14.0,0.0,38.0,19.0,0.0,2.0,5.0,18.0,75.0,0.0,18.0,0.0,0.0,0.0,23.0,3.0,0.0,15.0,0.0,8.0,3.0,0.0,1.0,33.0,6.0,3.0,1.0,3.0,3.0,1.0,0.0,10.0,0.0,1.0,1.0,49.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,10.0,15.0,13.0,4.0,27.0,4.0,5.0,0.0,3.0,19.0,1.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0,8.0,21.0,142.0,0.0,0.0,0.0,7.0,59.0,3.0,0.0,1.0,16.0,4.0,1.0,2.0,6.0,9.0,0.0,0.0,17.0,0.0,2.0,12.0,12.0,1.0,46.0,11.0,9.0,8.0,0.0,7.0,82.0,8.0
