,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
0,-1.0,778057.0,9103722.0,17001490.0,17325149.0,17738439.0,18594520.0,31147535.0,38924117.0,47950082.0,48495906.0,50645038.0,53507617.0,54866233.0,55388856.0,55509865.0,59114343.0,63579041.0,65558029.0,70115569.0,74481416.0,76932332.0,78256945.0,78985632.0,88902818.0,88955642.0,96894552.0,98310966.0,98361818.0,101710782.0,101824385.0,108556027.0,109982213.0,116502194.0,124407978.0,125797024.0,126619322.0,140124014.0,144219102.0,150881077.0,159809011.0,178779512.0,182321775.0,198848442.0,210824047.0,218657077.0,225423130.0,227274347.0,232007496.0,238169051.0,243045180.0,245455196.0,246544892.0,246613943.0,246875675.0,251148773.0,253202602.0,253742998.0,253766102.0,253856394.0,258536563.0,266141540.0,266562398.0,267088381.0,273325600.0,274982664.0,275093764.0,279039469.0,282080237.0,283080633.0,294280010.0,294523668.0,299231191.0,302144631.0,304677043.0,306380299.0,313176788.0,313799444.0,315467525.0,316006382.0,317401345.0,319225412.0,325641343.0,329350931.0,338676684.0,340956453.0,347439137.0,349146547.0,351576574.0,360319422.0,362115130.0,362973396.0,368594265.0,368737554.0,369028288.0,371024329.0,371624190.0,373381781.0,375451125.0,380785929.0,388466657.0,395364431.0,402037439.0,405730888.0,406558256.0,408190913.0,418834841.0,419193664.0,425840443.0,434606180.0,438899734.0,441155820.0
1,778057.0,0.0,106.0,55.0,313.0,64.0,24.0,2.0,71.0,138.0,261.0,226.0,13.0,30.0,16.0,32.0,154.0,3.0,116.0,49.0,93.0,55.0,1.0,7.0,0.0,6.0,0.0,19.0,39.0,0.0,1.0,344.0,219.0,9.0,26.0,159.0,13.0,0.0,23.0,85.0,58.0,20.0,0.0,108.0,17.0,247.0,94.0,37.0,11.0,159.0,116.0,19.0,15.0,46.0,74.0,12.0,13.0,2.0,5.0,39.0,156.0,58.0,4.0,96.0,1.0,136.0,18.0,60.0,25.0,74.0,75.0,0.0,0.0,10.0,3.0,36.0,2.0,1.0,0.0,29.0,191.0,2.0,0.0,30.0,2.0,149.0,79.0,28.0,135.0,83.0,0.0,223.0,1.0,4.0,83.0,1.0,11.0,55.0,20.0,102.0,62.0,104.0,155.0,17.0,0.0,0.0,15.0,22.0,5.0,270.0,2.0,24.0
2,9103722.0,106.0,0.0,13.0,96.0,12.0,5.0,0.0,7.0,30.0,56.0,33.0,9.0,4.0,0.0,8.0,35.0,2.0,13.0,10.0,16.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,39.0,63.0,0.0,10.0,69.0,10.0,0.0,5.0,16.0,8.0,0.0,0.0,33.0,3.0,40.0,7.0,4.0,7.0,53.0,21.0,7.0,5.0,14.0,17.0,0.0,0.0,0.0,0.0,8.0,33.0,9.0,2.0,20.0,1.0,15.0,1.0,7.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,4.0,32.0,0.0,0.0,1.0,0.0,96.0,37.0,0.0,39.0,7.0,0.0,64.0,0.0,2.0,21.0,0.0,0.0,5.0,1.0,35.0,5.0,20.0,30.0,2.0,0.0,0.0,3.0,1.0,3.0,52.0,1.0,2.0
3,17001490.0,55.0,13.0,0.0,63.0,11.0,7.0,0.0,20.0,30.0,45.0,34.0,2.0,8.0,3.0,6.0,31.0,0.0,22.0,6.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,61.0,78.0,0.0,3.0,38.0,3.0,0.0,5.0,34.0,1.0,4.0,1.0,18.0,1.0,22.0,19.0,9.0,3.0,15.0,21.0,1.0,2.0,5.0,7.0,1.0,1.0,2.0,2.0,3.0,20.0,14.0,1.0,10.0,0.0,26.0,1.0,3.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,36.0,0.0,0.0,4.0,1.0,43.0,5.0,5.0,26.0,11.0,0.0,45.0,1.0,3.0,23.0,0.0,3.0,6.0,3.0,39.0,15.0,14.0,26.0,3.0,0.0,0.0,1.0,3.0,1.0,31.0,1.0,9.0
4,17325149.0,313.0,96.0,63.0,0.0,65.0,37.0,2.0,90.0,187.0,303.0,272.0,20.0,36.0,43.0,45.0,149.0,17.0,189.0,106.0,178.0,81.0,0.0,15.0,2.0,17.0,0.0,24.0,41.0,2.0,2.0,460.0,302.0,5.0,60.0,327.0,16.0,3.0,21.0,137.0,70.0,49.0,23.0,176.0,21.0,220.0,109.0,91.0,11.0,125.0,123.0,46.0,21.0,35.0,82.0,9.0,6.0,12.0,16.0,59.0,224.0,84.0,8.0,114.0,21.0,181.0,36.0,63.0,29.0,84.0,115.0,0.0,2.0,16.0,5.0,25.0,9.0,3.0,1.0,62.0,277.0,6.0,5.0,33.0,8.0,249.0,62.0,58.0,184.0,60.0,0.0,227.0,1.0,24.0,111.0,0.0,26.0,44.0,31.0,229.0,107.0,63.0,246.0,18.0,1.0,1.0,19.0,28.0,6.0,304.0,3.0,41.0
5,17738439.0,64.0,12.0,11.0,65.0,0.0,14.0,2.0,28.0,29.0,68.0,71.0,3.0,26.0,4.0,6.0,22.0,11.0,55.0,28.0,29.0,25.0,0.0,5.0,1.0,3.0,0.0,14.0,22.0,1.0,0.0,56.0,48.0,3.0,15.0,49.0,7.0,1.0,4.0,22.0,30.0,23.0,8.0,36.0,5.0,158.0,31.0,20.0,12.0,38.0,27.0,19.0,5.0,9.0,36.0,6.0,7.0,2.0,6.0,15.0,58.0,35.0,3.0,22.0,6.0,40.0,8.0,18.0,15.0,21.0,25.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0,1.0,9.0,56.0,1.0,0.0,7.0,1.0,60.0,15.0,26.0,42.0,27.0,0.0,44.0,0.0,6.0,22.0,1.0,15.0,20.0,4.0,23.0,27.0,21.0,38.0,7.0,1.0,0.0,5.0,8.0,2.0,62.0,0.0,9.0
6,18594520.0,24.0,5.0,7.0,37.0,14.0,0.0,1.0,16.0,23.0,16.0,28.0,1.0,12.0,0.0,3.0,13.0,3.0,29.0,14.0,12.0,11.0,0.0,3.0,0.0,2.0,0.0,3.0,11.0,0.0,0.0,23.0,52.0,0.0,6.0,18.0,8.0,1.0,2.0,33.0,10.0,7.0,9.0,17.0,3.0,31.0,12.0,6.0,6.0,8.0,15.0,4.0,1.0,12.0,6.0,1.0,2.0,1.0,2.0,3.0,28.0,12.0,0.0,10.0,8.0,12.0,5.0,5.0,6.0,9.0,13.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,1.0,4.0,30.0,1.0,3.0,3.0,0.0,20.0,10.0,11.0,31.0,15.0,0.0,23.0,0.0,2.0,38.0,0.0,6.0,5.0,12.0,15.0,17.0,14.0,16.0,0.0,0.0,0.0,2.0,4.0,3.0,28.0,2.0,9.0
7,31147535.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,76.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
8,38924117.0,71.0,7.0,20.0,90.0,28.0,16.0,0.0,0.0,44.0,42.0,107.0,5.0,29.0,37.0,8.0,4.0,4.0,55.0,32.0,21.0,44.0,0.0,6.0,0.0,3.0,0.0,6.0,17.0,0.0,1.0,118.0,140.0,8.0,4.0,29.0,23.0,0.0,13.0,45.0,27.0,18.0,4.0,25.0,4.0,52.0,48.0,11.0,7.0,37.0,26.0,19.0,3.0,21.0,19.0,4.0,4.0,2.0,8.0,14.0,73.0,35.0,2.0,5.0,3.0,102.0,7.0,8.0,14.0,15.0,31.0,0.0,1.0,5.0,0.0,12.0,44.0,78.0,1.0,5.0,134.0,5.0,1.0,28.0,3.0,13.0,15.0,16.0,52.0,37.0,0.0,93.0,2.0,4.0,110.0,3.0,12.0,16.0,16.0,21.0,42.0,88.0,19.0,5.0,0.0,1.0,3.0,13.0,2.0,85.0,13.0,12.0
9,47950082.0,138.0,30.0,30.0,187.0,29.0,23.0,4.0,44.0,0.0,163.0,201.0,11.0,9.0,1.0,13.0,64.0,0.0,59.0,25.0,54.0,65.0,0.0,2.0,0.0,6.0,0.0,1.0,19.0,1.0,0.0,157.0,125.0,1.0,15.0,113.0,13.0,1.0,6.0,96.0,11.0,22.0,0.0,85.0,8.0,84.0,59.0,32.0,7.0,82.0,41.0,6.0,3.0,27.0,36.0,3.0,2.0,10.0,5.0,16.0,84.0,39.0,3.0,48.0,1.0,79.0,7.0,16.0,6.0,27.0,42.0,0.0,0.0,3.0,2.0,13.0,12.0,2.0,0.0,18.0,74.0,0.0,0.0,5.0,1.0,76.0,44.0,20.0,107.0,32.0,0.0,141.0,0.0,3.0,82.0,1.0,9.0,14.0,14.0,73.0,39.0,44.0,106.0,5.0,0.0,0.0,4.0,7.0,5.0,84.0,3.0,12.0
