,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,-1.0,23781315.0,50451325.0,55837229.0,64385029.0,73618875.0,106653207.0,125207364.0,131121996.0,203533542.0,204811301.0,210824047.0,215577838.0,225423130.0,228183223.0,231487749.0,238169051.0,239154848.0,252070564.0,258047934.0,279263583.0,281669464.0,296871972.0,297027788.0,338985020.0,358013788.0,360359045.0,425840443.0,446034908.0,448168468.0
1,23781315.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0
2,50451325.0,7.0,0.0,5.0,15.0,228.0,37.0,0.0,159.0,577.0,33.0,4.0,0.0,124.0,1.0,5.0,31.0,74.0,140.0,29.0,24.0,41.0,35.0,74.0,64.0,43.0,6.0,0.0,1.0,15.0
3,55837229.0,0.0,5.0,0.0,12.0,5.0,16.0,0.0,2.0,39.0,8.0,66.0,5.0,8.0,2.0,1.0,31.0,31.0,0.0,25.0,0.0,38.0,8.0,32.0,0.0,1.0,0.0,2.0,6.0,0.0
4,64385029.0,0.0,15.0,12.0,0.0,40.0,23.0,0.0,9.0,99.0,28.0,4.0,14.0,48.0,2.0,2.0,27.0,28.0,0.0,75.0,2.0,23.0,20.0,12.0,8.0,6.0,0.0,4.0,2.0,2.0
5,73618875.0,1.0,228.0,5.0,40.0,0.0,49.0,0.0,36.0,298.0,54.0,5.0,0.0,34.0,1.0,1.0,52.0,76.0,16.0,27.0,3.0,22.0,16.0,32.0,8.0,25.0,3.0,1.0,0.0,3.0
6,106653207.0,1.0,37.0,16.0,23.0,49.0,0.0,0.0,15.0,133.0,55.0,6.0,5.0,44.0,0.0,1.0,96.0,84.0,0.0,23.0,2.0,18.0,42.0,15.0,3.0,9.0,3.0,6.0,2.0,3.0
7,125207364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,131121996.0,4.0,159.0,2.0,9.0,36.0,15.0,0.0,0.0,117.0,12.0,0.0,2.0,121.0,2.0,5.0,8.0,13.0,20.0,22.0,10.0,13.0,4.0,13.0,3.0,16.0,2.0,0.0,0.0,5.0
9,203533542.0,10.0,577.0,39.0,99.0,298.0,133.0,0.0,117.0,0.0,92.0,23.0,8.0,248.0,1.0,6.0,139.0,239.0,65.0,112.0,21.0,195.0,74.0,178.0,66.0,52.0,11.0,8.0,4.0,17.0
10,204811301.0,0.0,33.0,8.0,28.0,54.0,55.0,0.0,12.0,92.0,0.0,6.0,8.0,51.0,2.0,2.0,77.0,78.0,0.0,29.0,5.0,16.0,34.0,11.0,4.0,10.0,9.0,1.0,1.0,2.0
11,210824047.0,0.0,4.0,66.0,4.0,5.0,6.0,0.0,0.0,23.0,6.0,0.0,1.0,4.0,0.0,3.0,18.0,20.0,0.0,15.0,0.0,23.0,2.0,22.0,0.0,1.0,0.0,1.0,4.0,0.0
12,215577838.0,0.0,0.0,5.0,14.0,0.0,5.0,0.0,2.0,8.0,8.0,1.0,0.0,9.0,2.0,1.0,5.0,3.0,0.0,6.0,1.0,3.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
13,225423130.0,3.0,124.0,8.0,48.0,34.0,44.0,0.0,121.0,248.0,51.0,4.0,9.0,0.0,5.0,5.0,61.0,43.0,12.0,47.0,13.0,16.0,44.0,16.0,2.0,14.0,1.0,7.0,1.0,8.0
14,228183223.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,5.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
15,231487749.0,0.0,5.0,1.0,2.0,1.0,1.0,0.0,5.0,6.0,2.0,3.0,1.0,5.0,3.0,0.0,1.0,6.0,0.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
16,238169051.0,0.0,31.0,31.0,27.0,52.0,96.0,0.0,8.0,139.0,77.0,18.0,5.0,61.0,1.0,1.0,0.0,147.0,0.0,39.0,8.0,32.0,68.0,25.0,1.0,12.0,2.0,4.0,5.0,3.0
17,239154848.0,2.0,74.0,31.0,28.0,76.0,84.0,0.0,13.0,239.0,78.0,20.0,3.0,43.0,1.0,6.0,147.0,0.0,14.0,44.0,27.0,101.0,14.0,122.0,4.0,11.0,8.0,4.0,2.0,4.0
18,252070564.0,2.0,140.0,0.0,0.0,16.0,0.0,0.0,20.0,65.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,8.0,0.0,4.0,2.0,1.0,10.0,0.0,0.0,0.0
19,258047934.0,0.0,29.0,25.0,75.0,27.0,23.0,0.0,22.0,112.0,29.0,15.0,6.0,47.0,3.0,4.0,39.0,44.0,0.0,0.0,1.0,54.0,16.0,35.0,3.0,11.0,0.0,1.0,3.0,2.0
20,279263583.0,0.0,24.0,0.0,2.0,3.0,2.0,0.0,10.0,21.0,5.0,0.0,1.0,13.0,0.0,0.0,8.0,27.0,9.0,1.0,0.0,14.0,20.0,5.0,0.0,0.0,9.0,9.0,0.0,1.0
21,281669464.0,1.0,41.0,38.0,23.0,22.0,18.0,0.0,13.0,195.0,16.0,23.0,3.0,16.0,2.0,1.0,32.0,101.0,8.0,54.0,14.0,0.0,7.0,113.0,0.0,7.0,2.0,0.0,2.0,0.0
22,296871972.0,0.0,35.0,8.0,20.0,16.0,42.0,0.0,4.0,74.0,34.0,2.0,7.0,44.0,1.0,1.0,68.0,14.0,0.0,16.0,20.0,7.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0
23,297027788.0,5.0,74.0,32.0,12.0,32.0,15.0,0.0,13.0,178.0,11.0,22.0,1.0,16.0,3.0,4.0,25.0,122.0,4.0,35.0,5.0,113.0,3.0,0.0,2.0,14.0,0.0,0.0,3.0,1.0
24,338985020.0,0.0,64.0,0.0,8.0,8.0,3.0,0.0,3.0,66.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
25,358013788.0,3.0,43.0,1.0,6.0,25.0,9.0,0.0,16.0,52.0,10.0,1.0,1.0,14.0,0.0,0.0,12.0,11.0,1.0,11.0,0.0,7.0,3.0,14.0,3.0,0.0,0.0,1.0,0.0,2.0
26,360359045.0,0.0,6.0,0.0,0.0,3.0,3.0,0.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,1.0,2.0,8.0,10.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,425840443.0,0.0,0.0,2.0,4.0,1.0,6.0,0.0,0.0,8.0,1.0,1.0,1.0,7.0,0.0,0.0,4.0,4.0,0.0,1.0,9.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,446034908.0,0.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
29,448168468.0,1.0,15.0,0.0,2.0,3.0,3.0,0.0,5.0,17.0,2.0,0.0,0.0,8.0,0.0,0.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
