Synchrony,Label
Sync2_#syriatube,NONEVENT
Sync4_#syriatube,NONEVENT
Sync8_#jan25,NONEVENT
Sync7_#aljazeera,NONEVENT
Sync3_#assadabuses,NONEVENT
Sync2_#aljazeera,NONEVENT
Sync4_#aljazeera,NONEVENT
Sync2_#palestine,EVENT
Sync5_#aljazeera,NONEVENT
Sync4_#palestine,EVENT
Sync2_#jordan,EVENT
Sync3_#palestine,EVENT
Sync1_#palestine,EVENT
Sync5_#palestine,EVENT
Sync2_#rifdimashq,EVENT
Sync5_#jordan,EVENT
Sync1_#jordan,EVENT
Sync2_#kuwait,EVENT
Sync4_#humanrights,EVENT
Sync4_#usa,NONEVENT
Sync1_#syrian,EVENT
Sync9_#un,NONEVENT
Sync2_#arab,EVENT
Sync6_#syrian,EVENT
Sync1_#al,EVENT
Sync4_#deirezzor,EVENT
Sync5_#humanrights,EVENT
Sync6_#humanrights,EVENT
Sync6_#Russia,NONEVENT
Sync8_#deirezzor,EVENT
Sync6_#uk,EVENT
Sync5_#damascus,EVENT
Sync6_#snc,EVENT
Sync5_#Russia,EVENT
Sync6_#usa,NONEVENT
Sync7_#Russia,EVENT
Sync7_#humanrights,EVENT
Sync5_#us,EVENT
Sync6_#us,EVENT
Sync2_#al,NONEVENT
Sync1_#iran,EVENT
Sync5_#arabspring,NONEVENT
Sync6_#iran,NONEVENT
Sync2_#Russia,NONEVENT
Sync4_#aleppo,EVENT
Sync4_#arabspring,NONEVENT
Sync1_#Russia,EVENT
Sync11_#syrie,NONEVENT
Sync4_#un,EVENT
Sync2_#us,NONEVENT
Sync5_#assad,NONEVENT
Sync8_#syrie,NONEVENT
Sync3_#turkey,NONEVENT
Sync2_#turkey,EVENT
Sync2_#arableague,EVENT
Sync6_#assad,NONEVENT
Sync1_#turkey,EVENT
Sync7_#snc,EVENT
Sync6_#arabspring,NONEVENT
Sync8_#humanrights,EVENT
Sync4_#al,EVENT
Sync3_#un,EVENT
Sync1_#arabspring,EVENT
Sync5_#uk,NONEVENT
Sync9_#syrian,EVENT
Sync4_#us,EVENT
Sync8_#iran,EVENT
Sync8_#syrian,EVENT
Sync1_#assad,EVENT
Sync3_#snc,EVENT
Sync2_#snc,EVENT
Sync1_#us,NONEVENT
Sync5_#algeria,NONEVENT
Sync2_#un,EVENT
Sync3_#uk,EVENT
Sync3_#humanrights,EVENT
Sync2_#arabspring,EVENT
Sync7_#syrian,EVENT
Sync2_#iran,EVENT
Sync5_#un,EVENT
Sync2_#assad,EVENT
Sync2_#humanrights,EVENT
Sync4_#idlib,EVENT
Sync3_#usa,EVENT
Sync5_#iran,EVENT
Sync1_#un,EVENT
Sync2_#syrias,EVENT
Sync1_#snc,NONEVENT
Sync4_#assad,NONEVENT
Sync4_#snc,NONEVENT
Sync3_#arableague,EVENT
Sync1_#algeria,NONEVENT
Sync7_#uk,NONEVENT
Sync3_#al,EVENT
Sync5_#syrias,EVENT
Sync3_#aleppo,EVENT
Sync3_#us,EVENT
Sync1_#syrias,EVENT
Sync3_#syrian,EVENT
Sync3_#idlib,EVENT
Sync4_#syrian,EVENT
Sync6_#syrias,EVENT
Sync2_#uk,EVENT
Sync2_#syrian,EVENT
Sync4_#syrias,EVENT
Sync4_#arableague,EVENT
Sync5_#syrian,EVENT
Sync7_#syrias,EVENT
Sync10_#un,EVENT
Sync4_#uk,NONEVENT
Sync3_#syrias,EVENT
Sync2_#jan25,EVENT
Sync5_#jan25,EVENT
