date and time,value
[2020-04-10 15:48:02.442] ,601
[2020-04-10 15:48:02.469] ,594
[2020-04-10 15:48:02.469] ,600
[2020-04-10 15:48:02.469] ,585
[2020-04-10 15:48:02.469] ,596
[2020-04-10 15:48:02.469] ,597
[2020-04-10 15:48:02.469] ,585
[2020-04-10 15:48:02.469] ,573
[2020-04-10 15:48:02.469] ,577
[2020-04-10 15:48:02.469] ,592
[2020-04-10 15:48:02.469] ,598
[2020-04-10 15:48:02.469] ,596
[2020-04-10 15:48:02.469] ,600
[2020-04-10 15:48:02.469] ,579
[2020-04-10 15:48:02.469] ,594
[2020-04-10 15:48:02.469] ,603
[2020-04-10 15:48:02.469] ,610
[2020-04-10 15:48:02.469] ,606
[2020-04-10 15:48:02.469] ,614
[2020-04-10 15:48:02.469] ,607
[2020-04-10 15:48:02.469] ,614
[2020-04-10 15:48:02.469] ,617
[2020-04-10 15:48:02.469] ,617
[2020-04-10 15:48:02.469] ,615
[2020-04-10 15:48:02.469] ,615
[2020-04-10 15:48:02.469] ,620
[2020-04-10 15:48:02.469] ,522
[2020-04-10 15:48:02.469] ,484
[2020-04-10 15:48:02.469] ,504
[2020-04-10 15:48:02.469] ,584
[2020-04-10 15:48:02.469] ,605
[2020-04-10 15:48:02.469] ,579
[2020-04-10 15:48:02.469] ,508
[2020-04-10 15:48:02.469] ,483
[2020-04-10 15:48:02.469] ,473
[2020-04-10 15:48:02.469] ,480
[2020-04-10 15:48:02.469] ,494
[2020-04-10 15:48:02.469] ,512
[2020-04-10 15:48:02.469] ,531
[2020-04-10 15:48:02.469] ,536
[2020-04-10 15:48:02.469] ,531
[2020-04-10 15:48:02.469] ,521
[2020-04-10 15:48:02.469] ,522
[2020-04-10 15:48:02.469] ,532
[2020-04-10 15:48:02.469] ,546
[2020-04-10 15:48:02.469] ,556
[2020-04-10 15:48:02.469] ,561
[2020-04-10 15:48:02.469] ,562
[2020-04-10 15:48:02.469] ,573
[2020-04-10 15:48:02.469] ,569
[2020-04-10 15:48:02.469] ,581
[2020-04-10 15:48:02.469] ,580
[2020-04-10 15:48:02.469] ,609
[2020-04-10 15:48:02.469] ,624
[2020-04-10 15:48:02.469] ,632
[2020-04-10 15:48:02.469] ,627
[2020-04-10 15:48:02.469] ,618
[2020-04-10 15:48:02.469] ,609
[2020-04-10 15:48:02.469] ,622
[2020-04-10 15:48:02.469] ,628
[2020-04-10 15:48:02.469] ,622
[2020-04-10 15:48:02.469] ,630
[2020-04-10 15:48:02.469] ,619
[2020-04-10 15:48:02.469] ,630
[2020-04-10 15:48:02.469] ,626
[2020-04-10 15:48:02.469] ,613
[2020-04-10 15:48:02.469] ,619
[2020-04-10 15:48:02.469] ,628
[2020-04-10 15:48:02.469] ,636
[2020-04-10 15:48:02.469] ,632
[2020-04-10 15:48:02.469] ,634
[2020-04-10 15:48:02.469] ,638
[2020-04-10 15:48:02.469] ,641
[2020-04-10 15:48:02.469] ,640
[2020-04-10 15:48:02.469] ,618
[2020-04-10 15:48:02.469] ,614
[2020-04-10 15:48:02.469] ,615
[2020-04-10 15:48:02.469] ,614
[2020-04-10 15:48:02.469] ,612
[2020-04-10 15:48:02.469] ,610
[2020-04-10 15:48:02.469] ,609
[2020-04-10 15:48:02.469] ,613
[2020-04-10 15:48:02.469] ,612
[2020-04-10 15:48:02.469] ,617
[2020-04-10 15:48:02.469] ,627
[2020-04-10 15:48:02.469] ,627
[2020-04-10 15:48:02.469] ,626
[2020-04-10 15:48:02.469] ,627
[2020-04-10 15:48:02.469] ,628
[2020-04-10 15:48:02.469] ,630
[2020-04-10 15:48:02.469] ,636
[2020-04-10 15:48:02.469] ,633
[2020-04-10 15:48:02.469] ,640
[2020-04-10 15:48:02.469] ,644
[2020-04-10 15:48:02.469] ,646
[2020-04-10 15:48:02.469] ,643
[2020-04-10 15:48:02.469] ,646
