date and time,value
[2020-04-10 15:44:53.702] ,649
[2020-04-10 15:44:53.721] ,648
[2020-04-10 15:44:53.721] ,644
[2020-04-10 15:44:53.721] ,644
[2020-04-10 15:44:53.721] ,646
[2020-04-10 15:44:53.721] ,643
[2020-04-10 15:44:53.721] ,641
[2020-04-10 15:44:53.721] ,640
[2020-04-10 15:44:53.721] ,639
[2020-04-10 15:44:53.721] ,636
[2020-04-10 15:44:53.721] ,636
[2020-04-10 15:44:53.721] ,640
[2020-04-10 15:44:53.721] ,672
[2020-04-10 15:44:53.721] ,720
[2020-04-10 15:44:53.721] ,724
[2020-04-10 15:44:53.721] ,723
[2020-04-10 15:44:53.721] ,713
[2020-04-10 15:44:53.721] ,666
[2020-04-10 15:44:53.721] ,642
[2020-04-10 15:44:53.721] ,598
[2020-04-10 15:44:53.721] ,561
[2020-04-10 15:44:53.721] ,543
[2020-04-10 15:44:53.721] ,546
[2020-04-10 15:44:53.722] ,505
[2020-04-10 15:44:53.722] ,483
[2020-04-10 15:44:53.722] ,469
[2020-04-10 15:44:53.722] ,458
[2020-04-10 15:44:53.722] ,461
[2020-04-10 15:44:53.722] ,532
[2020-04-10 15:44:53.722] ,568
[2020-04-10 15:44:53.722] ,568
[2020-04-10 15:44:53.722] ,569
[2020-04-10 15:44:53.722] ,566
[2020-04-10 15:44:53.722] ,564
[2020-04-10 15:44:53.722] ,573
[2020-04-10 15:44:53.722] ,572
[2020-04-10 15:44:53.722] ,581
[2020-04-10 15:44:53.722] ,586
[2020-04-10 15:44:53.722] ,601
[2020-04-10 15:44:53.722] ,630
[2020-04-10 15:44:53.722] ,642
[2020-04-10 15:44:53.722] ,622
[2020-04-10 15:44:53.722] ,590
[2020-04-10 15:44:53.722] ,568
[2020-04-10 15:44:53.722] ,568
[2020-04-10 15:44:53.722] ,569
[2020-04-10 15:44:53.722] ,570
[2020-04-10 15:44:53.722] ,577
[2020-04-10 15:44:53.722] ,590
[2020-04-10 15:44:53.722] ,593
[2020-04-10 15:44:53.722] ,606
[2020-04-10 15:44:53.722] ,607
[2020-04-10 15:44:53.722] ,614
[2020-04-10 15:44:53.722] ,617
[2020-04-10 15:44:53.722] ,609
[2020-04-10 15:44:53.722] ,601
[2020-04-10 15:44:53.722] ,595
[2020-04-10 15:44:53.722] ,603
[2020-04-10 15:44:53.722] ,632
[2020-04-10 15:44:53.723] ,648
[2020-04-10 15:44:53.723] ,648
[2020-04-10 15:44:53.723] ,634
[2020-04-10 15:44:53.723] ,628
[2020-04-10 15:44:53.723] ,637
[2020-04-10 15:44:53.723] ,629
[2020-04-10 15:44:53.723] ,624
[2020-04-10 15:44:53.723] ,622
[2020-04-10 15:44:53.723] ,633
[2020-04-10 15:44:53.723] ,636
[2020-04-10 15:44:53.723] ,639
[2020-04-10 15:44:53.723] ,616
[2020-04-10 15:44:53.723] ,630
[2020-04-10 15:44:53.723] ,639
[2020-04-10 15:44:53.723] ,632
[2020-04-10 15:44:53.723] ,610
[2020-04-10 15:44:53.723] ,614
[2020-04-10 15:44:53.723] ,600
[2020-04-10 15:44:53.723] ,588
[2020-04-10 15:44:53.723] ,595
[2020-04-10 15:44:53.723] ,604
[2020-04-10 15:44:53.723] ,609
[2020-04-10 15:44:53.723] ,616
[2020-04-10 15:44:53.723] ,622
[2020-04-10 15:44:53.723] ,630
[2020-04-10 15:44:53.723] ,634
[2020-04-10 15:44:53.723] ,636
[2020-04-10 15:44:53.723] ,627
[2020-04-10 15:44:53.723] ,630
[2020-04-10 15:44:53.723] ,636
[2020-04-10 15:44:53.723] ,630
[2020-04-10 15:44:53.723] ,638
[2020-04-10 15:44:53.723] ,655
[2020-04-10 15:44:53.723] ,672
[2020-04-10 15:44:53.723] ,662
[2020-04-10 15:44:53.723] ,628
[2020-04-10 15:44:53.723] ,620
[2020-04-10 15:44:53.723] ,630
[2020-04-10 15:44:53.723] ,645
[2020-04-10 15:44:53.723] ,652
[2020-04-10 15:44:53.723] ,652
[2020-04-10 15:44:53.723] ,652
[2020-04-10 15:44:53.723] ,652
[2020-04-10 15:44:53.723] ,651
[2020-04-10 15:44:53.723] ,649
[2020-04-10 15:44:53.723] ,649
[2020-04-10 15:44:53.723] ,646
[2020-04-10 15:44:53.723] ,649
[2020-04-10 15:44:53.723] ,644
[2020-04-10 15:44:53.723] ,649
[2020-04-10 15:44:53.723] ,649
[2020-04-10 15:44:53.723] ,646
[2020-04-10 15:44:53.723] ,653
[2020-04-10 15:44:53.737] ,654
[2020-04-10 15:44:53.837] ,673
[2020-04-10 15:44:53.937] ,713
[2020-04-10 15:44:54.038] ,801
[2020-04-10 15:44:54.137] ,829
[2020-04-10 15:44:54.239] ,830
[2020-04-10 15:44:54.338] ,756
[2020-04-10 15:44:54.438] ,504
[2020-04-10 15:44:54.544] ,285
[2020-04-10 15:44:54.638] ,426
[2020-04-10 15:44:54.739] ,412
[2020-04-10 15:44:54.838] ,253
[2020-04-10 15:44:54.935] ,142
[2020-04-10 15:44:55.035] ,188
[2020-04-10 15:44:55.134] ,209
[2020-04-10 15:44:55.239] ,123
[2020-04-10 15:44:55.340] ,52
[2020-04-10 15:44:55.432] ,103
[2020-04-10 15:44:55.542] ,176
[2020-04-10 15:44:55.642] ,168
[2020-04-10 15:44:55.731] ,86
[2020-04-10 15:44:55.842] ,100
[2020-04-10 15:44:55.942] ,188
[2020-04-10 15:44:56.042] ,175
[2020-04-10 15:44:56.143] ,121
[2020-04-10 15:44:56.242] ,78
[2020-04-10 15:44:56.343] ,277
[2020-04-10 15:44:56.443] ,410
[2020-04-10 15:44:56.544] ,256
[2020-04-10 15:44:56.644] ,109
[2020-04-10 15:44:56.744] ,208
[2020-04-10 15:44:56.834] ,436
[2020-04-10 15:44:56.944] ,376
[2020-04-10 15:44:57.044] ,161
[2020-04-10 15:44:57.144] ,88
[2020-04-10 15:44:57.244] ,297
[2020-04-10 15:44:57.344] ,361
[2020-04-10 15:44:57.444] ,253
[2020-04-10 15:44:57.544] ,108
[2020-04-10 15:44:57.644] ,150
[2020-04-10 15:44:57.744] ,302
[2020-04-10 15:44:57.845] ,236
[2020-04-10 15:44:57.945] ,112
[2020-04-10 15:44:58.045] ,75
[2020-04-10 15:44:58.146] ,273
[2020-04-10 15:44:58.247] ,313
[2020-04-10 15:44:58.347] ,223
[2020-04-10 15:44:58.447] ,117
[2020-04-10 15:44:58.547] ,214
[2020-04-10 15:44:58.648] ,454
[2020-04-10 15:44:58.748] ,413
[2020-04-10 15:44:58.847] ,213
[2020-04-10 15:44:58.947] ,96
[2020-04-10 15:44:59.047] ,255
[2020-04-10 15:44:59.147] ,356
[2020-04-10 15:44:59.247] ,331
[2020-04-10 15:44:59.347] ,114
[2020-04-10 15:44:59.447] ,82
[2020-04-10 15:44:59.547] ,417
[2020-04-10 15:44:59.647] ,448
[2020-04-10 15:44:59.747] ,254
[2020-04-10 15:44:59.850] ,12
[2020-04-10 15:44:59.951] ,218
[2020-04-10 15:45:00.051] ,397
[2020-04-10 15:45:00.152] ,360
[2020-04-10 15:45:00.252] ,141
[2020-04-10 15:45:00.351] ,69
[2020-04-10 15:45:00.452] ,365
[2020-04-10 15:45:00.553] ,386
[2020-04-10 15:45:00.652] ,282
[2020-04-10 15:45:00.753] ,111
[2020-04-10 15:45:00.854] ,106
[2020-04-10 15:45:00.953] ,354
[2020-04-10 15:45:01.054] ,344
[2020-04-10 15:45:01.154] ,170
[2020-04-10 15:45:01.253] ,72
[2020-04-10 15:45:01.354] ,277
[2020-04-10 15:45:01.455] ,459
[2020-04-10 15:45:01.554] ,397
[2020-04-10 15:45:01.655] ,135
[2020-04-10 15:45:01.754] ,62
[2020-04-10 15:45:01.855] ,328
[2020-04-10 15:45:01.956] ,384
[2020-04-10 15:45:02.055] ,218
[2020-04-10 15:45:02.154] ,75
[2020-04-10 15:45:02.256] ,169
[2020-04-10 15:45:02.355] ,434
[2020-04-10 15:45:02.456] ,386
[2020-04-10 15:45:02.556] ,158
[2020-04-10 15:45:02.656] ,77
[2020-04-10 15:45:02.757] ,279
[2020-04-10 15:45:02.858] ,381
[2020-04-10 15:45:02.957] ,341
[2020-04-10 15:45:03.058] ,106
[2020-04-10 15:45:03.157] ,68
[2020-04-10 15:45:03.257] ,355
[2020-04-10 15:45:03.357] ,346
