date and time,value
[2020-04-10 15:02:33.917] ,732
[2020-04-10 15:02:33.927] ,730
[2020-04-10 15:02:33.927] ,729
[2020-04-10 15:02:33.927] ,732
[2020-04-10 15:02:33.927] ,735
[2020-04-10 15:02:33.927] ,730
[2020-04-10 15:02:33.927] ,725
[2020-04-10 15:02:33.927] ,720
[2020-04-10 15:02:33.927] ,713
[2020-04-10 15:02:33.927] ,709
[2020-04-10 15:02:33.927] ,705
[2020-04-10 15:02:33.927] ,708
[2020-04-10 15:02:33.927] ,710
[2020-04-10 15:02:33.927] ,710
[2020-04-10 15:02:33.927] ,710
[2020-04-10 15:02:33.927] ,710
[2020-04-10 15:02:33.927] ,713
[2020-04-10 15:02:33.927] ,716
[2020-04-10 15:02:33.927] ,717
[2020-04-10 15:02:33.927] ,718
[2020-04-10 15:02:33.927] ,720
[2020-04-10 15:02:33.927] ,725
[2020-04-10 15:02:33.927] ,725
[2020-04-10 15:02:33.927] ,725
[2020-04-10 15:02:33.927] ,729
[2020-04-10 15:02:33.927] ,736
[2020-04-10 15:02:33.927] ,739
[2020-04-10 15:02:33.927] ,739
[2020-04-10 15:02:33.927] ,735
[2020-04-10 15:02:33.927] ,725
[2020-04-10 15:02:33.927] ,721
[2020-04-10 15:02:33.927] ,713
[2020-04-10 15:02:33.927] ,708
[2020-04-10 15:02:33.937] ,701
[2020-04-10 15:02:33.937] ,692
[2020-04-10 15:02:33.937] ,686
[2020-04-10 15:02:33.937] ,686
[2020-04-10 15:02:33.937] ,687
[2020-04-10 15:02:33.937] ,687
[2020-04-10 15:02:33.937] ,687
[2020-04-10 15:02:33.937] ,686
[2020-04-10 15:02:33.937] ,686
[2020-04-10 15:02:33.937] ,687
[2020-04-10 15:02:33.937] ,681
[2020-04-10 15:02:33.937] ,672
[2020-04-10 15:02:33.937] ,666
[2020-04-10 15:02:33.937] ,661
[2020-04-10 15:02:33.937] ,655
[2020-04-10 15:02:33.937] ,658
[2020-04-10 15:02:33.937] ,665
[2020-04-10 15:02:33.937] ,670
[2020-04-10 15:02:33.937] ,672
[2020-04-10 15:02:33.937] ,673
[2020-04-10 15:02:33.937] ,673
[2020-04-10 15:02:33.937] ,675
[2020-04-10 15:02:33.937] ,676
[2020-04-10 15:02:33.937] ,676
[2020-04-10 15:02:33.937] ,677
[2020-04-10 15:02:33.937] ,680
[2020-04-10 15:02:33.937] ,681
[2020-04-10 15:02:33.937] ,684
[2020-04-10 15:02:33.937] ,684
[2020-04-10 15:02:33.937] ,686
[2020-04-10 15:02:33.937] ,691
[2020-04-10 15:02:33.937] ,696
[2020-04-10 15:02:33.937] ,702
[2020-04-10 15:02:33.937] ,706
[2020-04-10 15:02:33.937] ,710
[2020-04-10 15:02:33.937] ,715
[2020-04-10 15:02:33.937] ,720
[2020-04-10 15:02:33.937] ,727
[2020-04-10 15:02:33.937] ,740
[2020-04-10 15:02:33.937] ,747
[2020-04-10 15:02:33.937] ,751
[2020-04-10 15:02:33.937] ,754
[2020-04-10 15:02:33.937] ,748
[2020-04-10 15:02:33.937] ,744
[2020-04-10 15:02:33.937] ,738
[2020-04-10 15:02:33.937] ,729
[2020-04-10 15:02:33.937] ,722
[2020-04-10 15:02:33.937] ,709
[2020-04-10 15:02:33.937] ,691
[2020-04-10 15:02:33.937] ,690
[2020-04-10 15:02:33.937] ,692
[2020-04-10 15:02:33.937] ,689
[2020-04-10 15:02:33.937] ,689
[2020-04-10 15:02:33.937] ,691
[2020-04-10 15:02:33.937] ,691
[2020-04-10 15:02:33.937] ,691
[2020-04-10 15:02:33.937] ,692
[2020-04-10 15:02:33.937] ,692
[2020-04-10 15:02:33.937] ,692
[2020-04-10 15:02:33.937] ,696
[2020-04-10 15:02:33.937] ,703
[2020-04-10 15:02:33.937] ,705
[2020-04-10 15:02:33.937] ,696
[2020-04-10 15:02:33.937] ,693
[2020-04-10 15:02:33.937] ,691
[2020-04-10 15:02:33.937] ,685
[2020-04-10 15:02:33.937] ,682
[2020-04-10 15:02:33.937] ,682
[2020-04-10 15:02:33.937] ,682
[2020-04-10 15:02:33.937] ,682
[2020-04-10 15:02:33.937] ,680
[2020-04-10 15:02:33.937] ,676
[2020-04-10 15:02:33.937] ,681
[2020-04-10 15:02:33.937] ,684
[2020-04-10 15:02:33.937] ,685
[2020-04-10 15:02:33.937] ,685
[2020-04-10 15:02:33.937] ,687
[2020-04-10 15:02:33.937] ,692
[2020-04-10 15:02:33.937] ,745
[2020-04-10 15:02:33.967] ,774
[2020-04-10 15:02:34.067] ,783
[2020-04-10 15:02:34.167] ,776
[2020-04-10 15:02:34.267] ,766
[2020-04-10 15:02:34.372] ,760
[2020-04-10 15:02:34.472] ,748
[2020-04-10 15:02:34.572] ,644
[2020-04-10 15:02:34.672] ,604
[2020-04-10 15:02:34.772] ,597
[2020-04-10 15:02:34.878] ,637
[2020-04-10 15:02:34.979] ,673
[2020-04-10 15:02:35.079] ,663
[2020-04-10 15:02:35.179] ,649
[2020-04-10 15:02:35.280] ,666
[2020-04-10 15:02:35.380] ,724
[2020-04-10 15:02:35.480] ,667
[2020-04-10 15:02:35.580] ,619
[2020-04-10 15:02:35.680] ,608
[2020-04-10 15:02:35.780] ,710
[2020-04-10 15:02:35.881] ,746
[2020-04-10 15:02:35.981] ,763
[2020-04-10 15:02:36.082] ,768
[2020-04-10 15:02:36.181] ,768
[2020-04-10 15:02:36.282] ,766
[2020-04-10 15:02:36.381] ,684
